"architecture","replicate","method","trait","simulation_seed","causal_selection_seed","mcmc_seed","sblr_version","qgg_version","sblrbench_commit","method_controls","runtime","convergence_status","status","reason"
"separated",1,"st_bed_bayesc","D1",3002,2002,10101,"0.2.0","1.1.6","ae5e9f06ffa72127f5bd2b6bac8174e333d51221","{""nit"":500,""nburn"":250,""nthin"":1,""nchains"":1,""ncores"":1,""convergence_control"":{""warn"":false},""seed"":10101,""convergence"":""core"",""verbose"":false}",65.2800000000001,"reported","ok",""
"separated",1,"st_bed_bayesr","D1",3002,2002,10102,"0.2.0","1.1.6","ae5e9f06ffa72127f5bd2b6bac8174e333d51221","{""nit"":500,""nburn"":250,""nthin"":1,""nchains"":1,""ncores"":1,""convergence_control"":{""warn"":false},""seed"":10102,""convergence"":""core"",""verbose"":false}",86.0899999999999,"reported","ok",""
"separated",1,"st_csr_sbayesc","D1",3002,2002,10103,"0.2.0","1.1.6","ae5e9f06ffa72127f5bd2b6bac8174e333d51221","{""nit"":500,""nburn"":250,""nthin"":1,""nchains"":1,""ncores"":1,""convergence_control"":{""warn"":false},""seed"":10103,""convergence"":""core"",""verbose"":false}",22.25,"reported","ok",""
"separated",1,"st_csr_sbayesr","D1",3002,2002,10104,"0.2.0","1.1.6","ae5e9f06ffa72127f5bd2b6bac8174e333d51221","{""nit"":500,""nburn"":250,""nthin"":1,""nchains"":1,""ncores"":1,""convergence_control"":{""warn"":false},""seed"":10104,""convergence"":""core"",""verbose"":false}",53.8300000000002,"reported","ok",""
"separated",2,"st_bed_bayesc","D1",3003,2003,10201,"0.2.0","1.1.6","ae5e9f06ffa72127f5bd2b6bac8174e333d51221","{""nit"":500,""nburn"":250,""nthin"":1,""nchains"":1,""ncores"":1,""convergence_control"":{""warn"":false},""seed"":10201,""convergence"":""core"",""verbose"":false}",76.8,"reported","ok",""
"separated",2,"st_bed_bayesr","D1",3003,2003,10202,"0.2.0","1.1.6","ae5e9f06ffa72127f5bd2b6bac8174e333d51221","{""nit"":500,""nburn"":250,""nthin"":1,""nchains"":1,""ncores"":1,""convergence_control"":{""warn"":false},""seed"":10202,""convergence"":""core"",""verbose"":false}",91.0599999999999,"reported","ok",""
"separated",2,"st_csr_sbayesc","D1",3003,2003,10203,"0.2.0","1.1.6","ae5e9f06ffa72127f5bd2b6bac8174e333d51221","{""nit"":500,""nburn"":250,""nthin"":1,""nchains"":1,""ncores"":1,""convergence_control"":{""warn"":false},""seed"":10203,""convergence"":""core"",""verbose"":false}",20.96,"reported","ok",""
"separated",2,"st_csr_sbayesr","D1",3003,2003,10204,"0.2.0","1.1.6","ae5e9f06ffa72127f5bd2b6bac8174e333d51221","{""nit"":500,""nburn"":250,""nthin"":1,""nchains"":1,""ncores"":1,""convergence_control"":{""warn"":false},""seed"":10204,""convergence"":""core"",""verbose"":false}",54.8099999999999,"reported","ok",""
"separated",3,"st_bed_bayesc","D1",3004,2004,10301,"0.2.0","1.1.6","ae5e9f06ffa72127f5bd2b6bac8174e333d51221","{""nit"":500,""nburn"":250,""nthin"":1,""nchains"":1,""ncores"":1,""convergence_control"":{""warn"":false},""seed"":10301,""convergence"":""core"",""verbose"":false}",69.28,"reported","ok",""
"separated",3,"st_bed_bayesr","D1",3004,2004,10302,"0.2.0","1.1.6","ae5e9f06ffa72127f5bd2b6bac8174e333d51221","{""nit"":500,""nburn"":250,""nthin"":1,""nchains"":1,""ncores"":1,""convergence_control"":{""warn"":false},""seed"":10302,""convergence"":""core"",""verbose"":false}",92.7199999999998,"reported","ok",""
