"replicate","method","causal_selection_seed","simulation_seed","fit_seed","chain","chain_seed"
1,"st_bed_bayesc",2002,3002,10101,1,10101
1,"st_bed_bayesr",2002,3002,10102,1,10102
1,"st_csr_sbayesc",2002,3002,10103,1,10103
1,"st_csr_sbayesr",2002,3002,10104,1,10104
2,"st_bed_bayesc",2003,3003,10201,1,10201
2,"st_bed_bayesr",2003,3003,10202,1,10202
2,"st_csr_sbayesc",2003,3003,10203,1,10203
2,"st_csr_sbayesr",2003,3003,10204,1,10204
3,"st_bed_bayesc",2004,3004,10301,1,10301
3,"st_bed_bayesr",2004,3004,10302,1,10302
3,"st_csr_sbayesc",2004,3004,10303,1,10303
3,"st_csr_sbayesr",2004,3004,10304,1,10304
4,"st_bed_bayesc",2005,3005,10401,1,10401
4,"st_bed_bayesr",2005,3005,10402,1,10402
4,"st_csr_sbayesc",2005,3005,10403,1,10403
4,"st_csr_sbayesr",2005,3005,10404,1,10404
5,"st_bed_bayesc",2006,3006,10501,1,10501
5,"st_bed_bayesr",2006,3006,10502,1,10502
5,"st_csr_sbayesc",2006,3006,10503,1,10503
5,"st_csr_sbayesr",2006,3006,10504,1,10504
6,"st_bed_bayesc",2007,3007,10601,1,10601
6,"st_bed_bayesr",2007,3007,10602,1,10602
6,"st_csr_sbayesc",2007,3007,10603,1,10603
6,"st_csr_sbayesr",2007,3007,10604,1,10604
7,"st_bed_bayesc",2008,3008,10701,1,10701
7,"st_bed_bayesr",2008,3008,10702,1,10702
7,"st_csr_sbayesc",2008,3008,10703,1,10703
7,"st_csr_sbayesr",2008,3008,10704,1,10704
8,"st_bed_bayesc",2009,3009,10801,1,10801
8,"st_bed_bayesr",2009,3009,10802,1,10802
8,"st_csr_sbayesc",2009,3009,10803,1,10803
8,"st_csr_sbayesr",2009,3009,10804,1,10804
9,"st_bed_bayesc",2010,3010,10901,1,10901
9,"st_bed_bayesr",2010,3010,10902,1,10902
9,"st_csr_sbayesc",2010,3010,10903,1,10903
9,"st_csr_sbayesr",2010,3010,10904,1,10904
10,"st_bed_bayesc",2011,3011,11001,1,11001
10,"st_bed_bayesr",2011,3011,11002,1,11002
10,"st_csr_sbayesc",2011,3011,11003,1,11003
10,"st_csr_sbayesr",2011,3011,11004,1,11004
