"replicate","causal_selection_seed","simulation_seed","causal_count","causal_markers","target_h2","realized_h2","oracle_ok","oracle_max_abs_error"
1,2002,3002,10,"1:107851333;2:212388043;5:165172627;7:33749153;7:106006952;8:121986887;11:17746197;11:22618626;12:39377167;15:78375142",0.2,0.197287796577814,TRUE,0
2,2003,3003,10,"1:144698747;1:157051348;1:188700069;3:1118426;5:137341910;9:2236643;9:29268938;11:101507022;13:22714469;16:25534326",0.2,0.200665884880657,TRUE,0
3,2004,3004,10,"1:16000037;2:14669510;2:126145781;2:186507555;4:163237944;7:114036921;10:80431928;12:128039360;16:4814767;20:52317443",0.2,0.202704696198525,TRUE,0
4,2005,3005,10,"1:32232942;2:37428420;2:152543706;2:214091971;3:15250000;5:110436918;7:127568983;10:131669890;12:25589049;16:47433534",0.2,0.207856285605043,TRUE,0
5,2006,3006,10,"1:14628444;1:17267885;1:102392834;9:121096343;11:37095080;12:59656614;12:67831306;15:53141726;16:78066566;18:45566276",0.2,0.202873783650974,TRUE,0
6,2007,3007,10,"1:20571691;3:133369610;7:72391112;7:136875269;8:5570972;12:27068317;13:34733484;15:84492592;20:51636715;21:43927219",0.2,0.199555859117959,TRUE,0
7,2008,3008,10,"1:103648978;1:113778202;3:21428273;3:193794437;4:129270903;4:141509633;4:184693389;9:28891384;9:134202251;11:51518624",0.2,0.191862820916031,TRUE,0
8,2009,3009,10,"1:48832833;2:158352774;2:217442886;4:33617710;6:71699207;6:81512076;8:77456282;15:62893088;21:17364001;21:40652142",0.2,0.200739277017787,TRUE,0
9,2010,3010,10,"1:170366124;1:231432691;1:243547186;4:67878373;6:104710643;6:115571589;7:18975056;12:70021122;17:80128007;20:56478002",0.2,0.197007295472279,TRUE,0
10,2011,3011,10,"1:111409757;1:237294111;3:171209419;4:9139679;4:24477340;5:167295668;6:81657586;9:137273550;10:96392368;16:31394179",0.2,0.196797495289393,TRUE,0
