"replicate","method","status","reason"
1,"st_bed_bayesc","ok",""
1,"st_bed_bayesr","ok",""
1,"st_csr_sbayesc","ok",""
1,"st_csr_sbayesr","ok",""
10,"st_bed_bayesc","ok",""
10,"st_bed_bayesr","ok",""
10,"st_csr_sbayesc","ok",""
10,"st_csr_sbayesr","ok",""
2,"st_bed_bayesc","ok",""
2,"st_bed_bayesr","ok",""
2,"st_csr_sbayesc","ok",""
2,"st_csr_sbayesr","ok",""
3,"st_bed_bayesc","ok",""
3,"st_bed_bayesr","ok",""
3,"st_csr_sbayesc","ok",""
3,"st_csr_sbayesr","ok",""
4,"st_bed_bayesc","ok",""
4,"st_bed_bayesr","ok",""
4,"st_csr_sbayesc","ok",""
4,"st_csr_sbayesr","ok",""
5,"st_bed_bayesc","ok",""
5,"st_bed_bayesr","ok",""
5,"st_csr_sbayesc","ok",""
5,"st_csr_sbayesr","ok",""
6,"st_bed_bayesc","ok",""
6,"st_bed_bayesr","ok",""
6,"st_csr_sbayesc","ok",""
6,"st_csr_sbayesr","ok",""
7,"st_bed_bayesc","ok",""
7,"st_bed_bayesr","ok",""
7,"st_csr_sbayesc","ok",""
7,"st_csr_sbayesr","ok",""
8,"st_bed_bayesc","ok",""
8,"st_bed_bayesr","ok",""
8,"st_csr_sbayesc","ok",""
8,"st_csr_sbayesr","ok",""
9,"st_bed_bayesc","ok",""
9,"st_bed_bayesr","ok",""
9,"st_csr_sbayesc","ok",""
9,"st_csr_sbayesr","ok",""
