"path","git_blob_sha","file_md5","role"
"_targets.R","04d43c06df3241fbe169989d6e22c1983489bd8b","a3c11d1155388fe5b200e802a5b29474","dispatcher"
"studies/01_finemapping/config.R","47a60e04e467c193bb46b182de5341c8eb21f837","1735f54b4fad208c334d569d7598835f","study configuration"
"studies/01_finemapping/targets.R","0a375b389351ed0517101a1f2499cbdc9f4ac8c9","10bd8081acbdaa6d2515dac5cad0f368","targets pipeline"
"studies/01_finemapping/setup_example_data.R","612dd57dd77445b7e1b72c2a62893b6c70f66904","19a12004be3bc0d1ccedf3fb731ac170","public data setup"
"studies/01_finemapping/pilot.R","185c7d2e1803c1ea09be2af0858f5759f8e9dba4","4f29b6a140fc998e0d44d824d0b4eabe","study helpers"
"R/example-data.R","7797cc18c4b037bc74ecbdbcd2532129523615dc","159d75bcb67a95451221f624bca46af5","pinned public-data downloader"
"R/metrics.R","0931fd48d8f9d1638cff0a092bd4c30a18ed5b2f","d09fb9e45daf1af67633b5ea1585c5b5","metric implementation"
"R/alignment.R","f7369a346ddf35d2f2b781d183be507faf93dfc8","ccd977563c59516931f1b675feabaedd","alignment contract"
"R/simulation.R","77013177e11b028488a968c74dc3f40c487ed22a","3c23b53a3d5a9270d18b8a3f17f8e6cb","simulation contract"
"R/adapter-sblr.R","db63b39ee8d8223a5283f08790492a13f948424e","f52e005d9e28005ea25ecf05143d7c7e","native adapter"
"scripts/worked_finemapping_example.R","a49b6c88ea7285b1858f96faab725f0ecc2f6b70","b47b711f2bafc8c2937f47925f6b5c9b","worked user example"
"scripts/contract_smoke_test.R","12fd5003acc4a9f345d385d78db39898d0d21878","20ac56e24e39d4ba22ea170582d03d2d","developer contract smoke test"
"scripts/run_benchmark.R","6a5cc6f35b8efcc80455466a755728a4c4d2cd97","6c879e62e53e9d30eba7c20deefa597c","complete benchmark entry point"
