"file","size_bytes","md5"
"benchmark_manifest.json",1555,"c2ebd0ac573e2c5183da73cf530562c4"
"benchmark_summary.csv",2044,"4d3f357b2f96e65ab88888f67e25e3ee"
"computational_summary.csv",12518,"2299392a8c03d79a22b5d5e07e34f812"
"config.R",865,"992207023eb7885b4cfc1ca917eee965"
"credible_set_metrics.csv",198026,"f04f9bab86c945bde5b002515756974d"
"credible_set_summary.csv",107183,"ec1072c64f59757565f710ff1d25e413"
"marker_metrics.csv",149356,"bcdbdb7917e1a8c8a5b1c9b98eedf5a4"
"minimal_example.R",1021,"9c01d3c07e359f40e394014680e29e6e"
"README.md",1575,"8b50d4d37a71a594bc5d63e289d63b25"
"replicate_status.csv",1144,"0ba474a17f4b55e60479972e1580d970"
"run_benchmark.R",604,"691a8af0b2f9a30c7ea4405a1ac8ca5c"
"session_info.txt",868,"5aeb442066a68d86b155912376c0b632"
"source_files.csv",1008,"cd5bee07510d5a5ddf9876c3cbd77a6d"
