"replicate","method","trait","metric","value","architecture","simulation_seed","causal_selection_seed","mcmc_seed","sblr_version","qgg_version","sblrbench_commit","method_controls","runtime","convergence_status","status","reason"
1,"st_bed_bayesc","D1","number_of_credible_sets",7,"separated",3002,2002,10101,"0.1.2","1.1.6","f178b332fb3ac6cee95914d519a84301a305ff24","{""nit"":500,""nburn"":250,""nthin"":1,""nchains"":1,""ncores"":1,""convergence_control"":{""warn"":false},""seed"":10101,""convergence"":""core"",""verbose"":false}",70.03,"reported","ok",""
1,"st_bed_bayesc","D1","mean_set_size",1,"separated",3002,2002,10101,"0.1.2","1.1.6","f178b332fb3ac6cee95914d519a84301a305ff24","{""nit"":500,""nburn"":250,""nthin"":1,""nchains"":1,""ncores"":1,""convergence_control"":{""warn"":false},""seed"":10101,""convergence"":""core"",""verbose"":false}",70.03,"reported","ok",""
1,"st_bed_bayesc","D1","median_set_size",1,"separated",3002,2002,10101,"0.1.2","1.1.6","f178b332fb3ac6cee95914d519a84301a305ff24","{""nit"":500,""nburn"":250,""nthin"":1,""nchains"":1,""ncores"":1,""convergence_control"":{""warn"":false},""seed"":10101,""convergence"":""core"",""verbose"":false}",70.03,"reported","ok",""
1,"st_bed_bayesc","D1","exact_coverage_fraction",1,"separated",3002,2002,10101,"0.1.2","1.1.6","f178b332fb3ac6cee95914d519a84301a305ff24","{""nit"":500,""nburn"":250,""nthin"":1,""nchains"":1,""ncores"":1,""convergence_control"":{""warn"":false},""seed"":10101,""convergence"":""core"",""verbose"":false}",70.03,"reported","ok",""
1,"st_bed_bayesc","D1","ld_proxy_coverage_fraction",1,"separated",3002,2002,10101,"0.1.2","1.1.6","f178b332fb3ac6cee95914d519a84301a305ff24","{""nit"":500,""nburn"":250,""nthin"":1,""nchains"":1,""ncores"":1,""convergence_control"":{""warn"":false},""seed"":10101,""convergence"":""core"",""verbose"":false}",70.03,"reported","ok",""
1,"st_bed_bayesc","D1","causal_loci_detected",7,"separated",3002,2002,10101,"0.1.2","1.1.6","f178b332fb3ac6cee95914d519a84301a305ff24","{""nit"":500,""nburn"":250,""nthin"":1,""nchains"":1,""ncores"":1,""convergence_control"":{""warn"":false},""seed"":10101,""convergence"":""core"",""verbose"":false}",70.03,"reported","ok",""
1,"st_bed_bayesc","D1","sets_without_exact_causal",0,"separated",3002,2002,10101,"0.1.2","1.1.6","f178b332fb3ac6cee95914d519a84301a305ff24","{""nit"":500,""nburn"":250,""nthin"":1,""nchains"":1,""ncores"":1,""convergence_control"":{""warn"":false},""seed"":10101,""convergence"":""core"",""verbose"":false}",70.03,"reported","ok",""
1,"st_bed_bayesc","D1","sets_without_causal_or_proxy",0,"separated",3002,2002,10101,"0.1.2","1.1.6","f178b332fb3ac6cee95914d519a84301a305ff24","{""nit"":500,""nburn"":250,""nthin"":1,""nchains"":1,""ncores"":1,""convergence_control"":{""warn"":false},""seed"":10101,""convergence"":""core"",""verbose"":false}",70.03,"reported","ok",""
1,"st_bed_bayesr","D1","number_of_credible_sets",7,"separated",3002,2002,10102,"0.1.2","1.1.6","f178b332fb3ac6cee95914d519a84301a305ff24","{""nit"":500,""nburn"":250,""nthin"":1,""nchains"":1,""ncores"":1,""convergence_control"":{""warn"":false},""seed"":10102,""convergence"":""core"",""verbose"":false}",87.98,"reported","ok",""
1,"st_bed_bayesr","D1","mean_set_size",1,"separated",3002,2002,10102,"0.1.2","1.1.6","f178b332fb3ac6cee95914d519a84301a305ff24","{""nit"":500,""nburn"":250,""nthin"":1,""nchains"":1,""ncores"":1,""convergence_control"":{""warn"":false},""seed"":10102,""convergence"":""core"",""verbose"":false}",87.98,"reported","ok",""
1,"st_bed_bayesr","D1","median_set_size",1,"separated",3002,2002,10102,"0.1.2","1.1.6","f178b332fb3ac6cee95914d519a84301a305ff24","{""nit"":500,""nburn"":250,""nthin"":1,""nchains"":1,""ncores"":1,""convergence_control"":{""warn"":false},""seed"":10102,""convergence"":""core"",""verbose"":false}",87.98,"reported","ok",""
1,"st_bed_bayesr","D1","exact_coverage_fraction",1,"separated",3002,2002,10102,"0.1.2","1.1.6","f178b332fb3ac6cee95914d519a84301a305ff24","{""nit"":500,""nburn"":250,""nthin"":1,""nchains"":1,""ncores"":1,""convergence_control"":{""warn"":false},""seed"":10102,""convergence"":""core"",""verbose"":false}",87.98,"reported","ok",""
