"replicate","method","trait","study","scenario","metric","value","status.x","reason.x","architecture","simulation_seed","causal_selection_seed","mcmc_seed","sblr_version","qgg_version","sblrbench_commit","method_controls","runtime","convergence_status","status.y","reason.y"
1,"st_bed_bayesc","D1","01_finemapping","separated","pip_brier",6.12604037798426e-05,"ok","","separated",3002,2002,10101,"0.1.2","1.1.6","f178b332fb3ac6cee95914d519a84301a305ff24","{""nit"":500,""nburn"":250,""nthin"":1,""nchains"":1,""ncores"":1,""convergence_control"":{""warn"":false},""seed"":10101,""convergence"":""core"",""verbose"":false}",70.03,"reported","ok",""
1,"st_bed_bayesc","D1","01_finemapping","separated","effect_rmse",0.000488917506790191,"ok","","separated",3002,2002,10101,"0.1.2","1.1.6","f178b332fb3ac6cee95914d519a84301a305ff24","{""nit"":500,""nburn"":250,""nthin"":1,""nchains"":1,""ncores"":1,""convergence_control"":{""warn"":false},""seed"":10101,""convergence"":""core"",""verbose"":false}",70.03,"reported","ok",""
1,"st_bed_bayesc","D1","01_finemapping","separated","average_precision",0.800425783543674,"ok","","separated",3002,2002,10101,"0.1.2","1.1.6","f178b332fb3ac6cee95914d519a84301a305ff24","{""nit"":500,""nburn"":250,""nthin"":1,""nchains"":1,""ncores"":1,""convergence_control"":{""warn"":false},""seed"":10101,""convergence"":""core"",""verbose"":false}",70.03,"reported","ok",""
1,"st_bed_bayesc","D1","01_finemapping","separated","causal_rank_mean",3434.8,"ok","","separated",3002,2002,10101,"0.1.2","1.1.6","f178b332fb3ac6cee95914d519a84301a305ff24","{""nit"":500,""nburn"":250,""nthin"":1,""nchains"":1,""ncores"":1,""convergence_control"":{""warn"":false},""seed"":10101,""convergence"":""core"",""verbose"":false}",70.03,"reported","ok",""
1,"st_bed_bayesc","D1","01_finemapping","separated","causal_rank_median",5.5,"ok","","separated",3002,2002,10101,"0.1.2","1.1.6","f178b332fb3ac6cee95914d519a84301a305ff24","{""nit"":500,""nburn"":250,""nthin"":1,""nchains"":1,""ncores"":1,""convergence_control"":{""warn"":false},""seed"":10101,""convergence"":""core"",""verbose"":false}",70.03,"reported","ok",""
1,"st_bed_bayesc","D1","01_finemapping","separated","causal_rank_best",1,"ok","","separated",3002,2002,10101,"0.1.2","1.1.6","f178b332fb3ac6cee95914d519a84301a305ff24","{""nit"":500,""nburn"":250,""nthin"":1,""nchains"":1,""ncores"":1,""convergence_control"":{""warn"":false},""seed"":10101,""convergence"":""core"",""verbose"":false}",70.03,"reported","ok",""
1,"st_bed_bayesc","D1","01_finemapping","separated","causal_rank_worst",32031,"ok","","separated",3002,2002,10101,"0.1.2","1.1.6","f178b332fb3ac6cee95914d519a84301a305ff24","{""nit"":500,""nburn"":250,""nthin"":1,""nchains"":1,""ncores"":1,""convergence_control"":{""warn"":false},""seed"":10101,""convergence"":""core"",""verbose"":false}",70.03,"reported","ok",""
1,"st_bed_bayesc","D1","01_finemapping","separated","causal_top_10_recall",0.8,"ok","","separated",3002,2002,10101,"0.1.2","1.1.6","f178b332fb3ac6cee95914d519a84301a305ff24","{""nit"":500,""nburn"":250,""nthin"":1,""nchains"":1,""ncores"":1,""convergence_control"":{""warn"":false},""seed"":10101,""convergence"":""core"",""verbose"":false}",70.03,"reported","ok",""
1,"st_bed_bayesc","D1","01_finemapping","separated","causal_top_20_recall",0.8,"ok","","separated",3002,2002,10101,"0.1.2","1.1.6","f178b332fb3ac6cee95914d519a84301a305ff24","{""nit"":500,""nburn"":250,""nthin"":1,""nchains"":1,""ncores"":1,""convergence_control"":{""warn"":false},""seed"":10101,""convergence"":""core"",""verbose"":false}",70.03,"reported","ok",""
1,"st_bed_bayesc","D1","01_finemapping","separated","causal_top_50_recall",0.8,"ok","","separated",3002,2002,10101,"0.1.2","1.1.6","f178b332fb3ac6cee95914d519a84301a305ff24","{""nit"":500,""nburn"":250,""nthin"":1,""nchains"":1,""ncores"":1,""convergence_control"":{""warn"":false},""seed"":10101,""convergence"":""core"",""verbose"":false}",70.03,"reported","ok",""
1,"st_bed_bayesr","D1","01_finemapping","separated","pip_brier",5.88896317548893e-05,"ok","","separated",3002,2002,10102,"0.1.2","1.1.6","f178b332fb3ac6cee95914d519a84301a305ff24","{""nit"":500,""nburn"":250,""nthin"":1,""nchains"":1,""ncores"":1,""convergence_control"":{""warn"":false},""seed"":10102,""convergence"":""core"",""verbose"":false}",87.98,"reported","ok",""
1,"st_bed_bayesr","D1","01_finemapping","separated","effect_rmse",0.000441182017217075,"ok","","separated",3002,2002,10102,"0.1.2","1.1.6","f178b332fb3ac6cee95914d519a84301a305ff24","{""nit"":500,""nburn"":250,""nthin"":1,""nchains"":1,""ncores"":1,""convergence_control"":{""warn"":false},""seed"":10102,""convergence"":""core"",""verbose"":false}",87.98,"reported","ok",""
1,"st_bed_bayesr","D1","01_finemapping","separated","average_precision",0.800321427747213,"ok","","separated",3002,2002,10102,"0.1.2","1.1.6","f178b332fb3ac6cee95914d519a84301a305ff24","{""nit"":500,""nburn"":250,""nthin"":1,""nchains"":1,""ncores"":1,""convergence_control"":{""warn"":false},""seed"":10102,""convergence"":""core"",""verbose"":false}",87.98,"reported","ok",""
