"architecture","replicate","method","runtime","status","error_class","error_message","nit","nburn","nthin","nchains","ncores","chain_count","draws_per_chain","posterior_draw_count","fit_seed"
"sparse_homogeneous",1,"st_bed_bayesc",60.8899999999999,"ok","","",250,250,1,4,4,4,250,1000,30101
"sparse_homogeneous",1,"st_bed_bayesr",1571.02,"ok","","",2000,250,1,4,4,4,2000,8000,30102
"sparse_homogeneous",1,"st_csr_sbayesc",17.8599999999997,"ok","","",250,250,1,4,4,4,250,1000,30103
"sparse_homogeneous",1,"st_csr_sbayesr",170.51,"ok","","",2000,250,1,4,4,4,2000,8000,30104
"sparse_homogeneous",2,"st_bed_bayesc",60.6599999999999,"ok","","",250,250,1,4,4,4,250,1000,30201
"sparse_homogeneous",2,"st_bed_bayesr",1510.93,"ok","","",2000,250,1,4,4,4,2000,8000,30202
"sparse_homogeneous",2,"st_csr_sbayesc",17.6299999999992,"ok","","",250,250,1,4,4,4,250,1000,30203
"sparse_homogeneous",2,"st_csr_sbayesr",178.070000000001,"ok","","",2000,250,1,4,4,4,2000,8000,30204
"sparse_homogeneous",3,"st_bed_bayesc",61.1799999999994,"ok","","",250,250,1,4,4,4,250,1000,30301
"sparse_homogeneous",3,"st_bed_bayesr",1039.83,"ok","","",2000,250,1,4,4,4,2000,8000,30302
"sparse_homogeneous",3,"st_csr_sbayesc",10.1200000000008,"ok","","",250,250,1,4,4,4,250,1000,30303
"sparse_homogeneous",3,"st_csr_sbayesr",108.440000000001,"ok","","",2000,250,1,4,4,4,2000,8000,30304
"sparse_homogeneous",4,"st_bed_bayesc",39.5299999999997,"ok","","",250,250,1,4,4,4,250,1000,30401
"sparse_homogeneous",4,"st_bed_bayesr",1532.93,"ok","","",2000,250,1,4,4,4,2000,8000,30402
"sparse_homogeneous",4,"st_csr_sbayesc",18.1700000000001,"ok","","",250,250,1,4,4,4,250,1000,30403
"sparse_homogeneous",4,"st_csr_sbayesr",120.72,"ok","","",2000,250,1,4,4,4,2000,8000,30404
"sparse_homogeneous",5,"st_bed_bayesc",61.4300000000003,"ok","","",250,250,1,4,4,4,250,1000,30501
"sparse_homogeneous",5,"st_bed_bayesr",891.370000000001,"ok","","",2000,250,1,4,4,4,2000,8000,30502
"sparse_homogeneous",5,"st_csr_sbayesc",8.11000000000058,"ok","","",250,250,1,4,4,4,250,1000,30503
"sparse_homogeneous",5,"st_csr_sbayesr",108.84,"ok","","",2000,250,1,4,4,4,2000,8000,30504
"sparse_mixture",1,"st_bed_bayesc",35.3899999999994,"ok","","",250,250,1,4,4,4,250,1000,40101
"sparse_mixture",1,"st_bed_bayesr",1060.64,"ok","","",2000,250,1,4,4,4,2000,8000,40102
"sparse_mixture",1,"st_csr_sbayesc",10.5900000000001,"ok","","",250,250,1,4,4,4,250,1000,40103
"sparse_mixture",1,"st_csr_sbayesr",105.16,"ok","","",2000,250,1,4,4,4,2000,8000,40104
"sparse_mixture",2,"st_bed_bayesc",33.6700000000001,"ok","","",250,250,1,4,4,4,250,1000,40201
"sparse_mixture",2,"st_bed_bayesr",1540.34,"ok","","",2000,250,1,4,4,4,2000,8000,40202
"sparse_mixture",2,"st_csr_sbayesc",18.4700000000012,"ok","","",250,250,1,4,4,4,250,1000,40203
"sparse_mixture",2,"st_csr_sbayesr",180.870000000001,"ok","","",2000,250,1,4,4,4,2000,8000,40204
"sparse_mixture",3,"st_bed_bayesc",56.2900000000009,"ok","","",250,250,1,4,4,4,250,1000,40301
"sparse_mixture",3,"st_bed_bayesr",1303.14,"ok","","",2000,250,1,4,4,4,2000,8000,40302
"sparse_mixture",3,"st_csr_sbayesc",19.7799999999988,"ok","","",250,250,1,4,4,4,250,1000,40303
"sparse_mixture",3,"st_csr_sbayesr",181.110000000001,"ok","","",2000,250,1,4,4,4,2000,8000,40304
"sparse_mixture",4,"st_bed_bayesc",57.4700000000012,"ok","","",250,250,1,4,4,4,250,1000,40401
"sparse_mixture",4,"st_bed_bayesr",1672.5,"ok","","",2000,250,1,4,4,4,2000,8000,40402
"sparse_mixture",4,"st_csr_sbayesc",15.9499999999989,"ok","","",250,250,1,4,4,4,250,1000,40403
"sparse_mixture",4,"st_csr_sbayesr",174.48,"ok","","",2000,250,1,4,4,4,2000,8000,40404
"sparse_mixture",5,"st_bed_bayesc",56.0300000000007,"ok","","",250,250,1,4,4,4,250,1000,40501
"sparse_mixture",5,"st_bed_bayesr",1670.67,"ok","","",2000,250,1,4,4,4,2000,8000,40502
"sparse_mixture",5,"st_csr_sbayesc",18.0900000000001,"ok","","",250,250,1,4,4,4,250,1000,40503
"sparse_mixture",5,"st_csr_sbayesr",173.189999999999,"ok","","",2000,250,1,4,4,4,2000,8000,40504
