"architecture","comparison_id","comparison_type","estimand_id","replicate_count","successful_replicates","mean_estimate_difference","sd_estimate_difference","median_estimate_difference","minimum_estimate_difference","maximum_estimate_difference","mean_absolute_error_difference","mean_interval_width_difference","coverage_agreement_observation"
"sparse_homogeneous","bayesr_vs_bayesc_bed","prior-class","causal_proportion",5,0,,,,,,,,
"sparse_mixture","bayesr_vs_bayesc_bed","prior-class","causal_proportion",5,0,,,,,,,,
"sparse_homogeneous","csr_vs_bed_bayesc","BED-versus-CSR","causal_proportion",5,0,,,,,,,,
"sparse_mixture","csr_vs_bed_bayesc","BED-versus-CSR","causal_proportion",5,0,,,,,,,,
"sparse_homogeneous","csr_vs_bed_bayesr","BED-versus-CSR","causal_proportion",5,0,,,,,,,,
"sparse_mixture","csr_vs_bed_bayesr","BED-versus-CSR","causal_proportion",5,0,,,,,,,,
"sparse_homogeneous","sbayesr_vs_sbayesc_csr","prior-class","causal_proportion",5,0,,,,,,,,
"sparse_mixture","sbayesr_vs_sbayesc_csr","prior-class","causal_proportion",5,0,,,,,,,,
"sparse_homogeneous","bayesr_vs_bayesc_bed","prior-class","effect_variance",5,5,-0.0112877511587795,0.00126618075969516,-0.0115475514721993,-0.013004109838384,-0.00954878758964597,-0.00121383756847384,-0.0150509134760244,
"sparse_mixture","bayesr_vs_bayesc_bed","prior-class","effect_variance",5,5,-0.0230486378232274,0.00459461862709095,-0.021619179697373,-0.0305465309041264,-0.0189750298578485,-0.0137529852649285,-0.0386296007950537,
"sparse_homogeneous","csr_vs_bed_bayesc","BED-versus-CSR","effect_variance",5,5,-0.0052034850372747,0.00100723958032769,-0.00530742085609906,-0.00654597430762067,-0.00402528535106176,-0.0052034850372747,-0.00826659376288052,
"sparse_mixture","csr_vs_bed_bayesc","BED-versus-CSR","effect_variance",5,5,-0.012933645954055,0.00302737471906394,-0.0117273520748443,-0.0175446507315093,-0.010331998091398,-0.012933645954055,-0.0241382373648738,
"sparse_homogeneous","csr_vs_bed_bayesr","BED-versus-CSR","effect_variance",5,5,0.000848399593645734,0.000169766541566446,0.000834220054446005,0.000636188346068587,0.00103857210019031,-0.000848399593645734,0.000588093024351094,
"sparse_mixture","csr_vs_bed_bayesr","BED-versus-CSR","effect_variance",5,5,0.000970313142847139,0.000214189040998181,0.000878360263017258,0.000838614348332971,0.00135039674774914,-0.000970313142847139,0.00069766102315671,
"sparse_homogeneous","sbayesr_vs_sbayesc_csr","prior-class","effect_variance",5,5,-0.00523586652785909,0.000299547197434526,-0.00528307248582122,-0.00562391547631735,-0.00478588605203631,0.00314124787515513,-0.00619622668879278,
"sparse_mixture","sbayesr_vs_sbayesc_csr","prior-class","effect_variance",5,5,-0.00914467872632528,0.00186393253231232,-0.00877838318840946,-0.0121235199095999,-0.00750533986823342,-0.00178965245372064,-0.0137937024070232,
"sparse_homogeneous","bayesr_vs_bayesc_bed","prior-class","genetic_variance",5,5,0.0361909535151798,0.00383252824303472,0.0350764318068827,0.0322048528937411,0.0424637004284163,-0.0201869923952696,0.00562789756725184,
"sparse_mixture","bayesr_vs_bayesc_bed","prior-class","genetic_variance",5,5,0.0314222680304443,0.00175195919603821,0.0316553258053676,0.0295851476187868,0.0340289699478902,-0.00187136397276509,0.00707700232643064,
"sparse_homogeneous","csr_vs_bed_bayesc","BED-versus-CSR","genetic_variance",5,5,0.0337269307626645,0.0148892001605995,0.0304097438079468,0.0153093423797139,0.0558360343679173,-0.0147762137617204,0.00736993899416359,
"sparse_mixture","csr_vs_bed_bayesc","BED-versus-CSR","genetic_variance",5,5,0.0295268615982823,0.00871565219102747,0.0273353553601942,0.0210492172826224,0.0435393456734082,-0.00017028007606511,0.0111369658071556,
"sparse_homogeneous","csr_vs_bed_bayesr","BED-versus-CSR","genetic_variance",5,5,0.123217799873462,0.0142721191334479,0.118089275320686,0.109792751407727,0.143829131379744,0.100699951375435,0.0281894221582826,
"sparse_mixture","csr_vs_bed_bayesr","BED-versus-CSR","genetic_variance",5,5,0.128597004957783,0.0134553915731661,0.128134882399827,0.108173396735709,0.144949088779616,0.122567347977901,0.0304661122553794,
"sparse_homogeneous","sbayesr_vs_sbayesc_csr","prior-class","genetic_variance",5,5,0.125681822625978,0.006316735046466,0.124144996347612,0.118754118624208,0.135752207417604,0.0952891727418861,0.0264473807313709,
"sparse_mixture","sbayesr_vs_sbayesc_csr","prior-class","genetic_variance",5,5,0.130492411389945,0.00860012786028892,0.133417198496631,0.117164622557865,0.139149959264682,0.120866264081201,0.0264061487746544,
"sparse_homogeneous","bayesr_vs_bayesc_bed","prior-class","heritability",5,5,0.0253637297045145,0.00289896715455146,0.0249366394490307,0.0225046715649566,0.0302017574554915,-0.0183250158481226,0.00410087024151631,
"sparse_mixture","bayesr_vs_bayesc_bed","prior-class","heritability",5,5,0.022027107595016,0.00126591659547381,0.0219691193395576,0.0203676663581074,0.0237563736637572,-0.00663317695494555,0.00478215544374862,
"sparse_homogeneous","csr_vs_bed_bayesc","BED-versus-CSR","heritability",5,5,0.0234071005498743,0.0102550882577554,0.0207788034723536,0.0104313258180355,0.0383210498647779,-0.0124517482396721,0.00678280822743138,
"sparse_mixture","csr_vs_bed_bayesc","BED-versus-CSR","heritability",5,5,0.0206691113989871,0.00595482957332675,0.0188758294620567,0.0151589148221633,0.030083805164452,-0.00547650501476218,0.00816250519447948,
