"architecture","replicate","estimand_id","comparison_id","focal_method","comparison_method","comparison_type","estimate_difference","absolute_error_difference","interval_width_difference","coverage_agreement","complete_pair","reason"
"sparse_homogeneous",1,"causal_proportion","csr_vs_bed_bayesc","st_csr_sbayesc","st_bed_bayesc","BED-versus-CSR",,,,,FALSE,"one or both method-specific estimands unavailable"
"sparse_homogeneous",1,"effect_variance","csr_vs_bed_bayesc","st_csr_sbayesc","st_bed_bayesc","BED-versus-CSR",-0.00402528535106176,-0.00402528535106176,-0.00602655097732682,TRUE,TRUE,""
"sparse_homogeneous",1,"genetic_variance","csr_vs_bed_bayesc","st_csr_sbayesc","st_bed_bayesc","BED-versus-CSR",0.0304097438079468,-0.0304097438079468,0.00958310359395143,TRUE,TRUE,""
"sparse_homogeneous",1,"heritability","csr_vs_bed_bayesc","st_csr_sbayesc","st_bed_bayesc","BED-versus-CSR",0.0207788034723536,-0.0207788034723536,0.00685346421804817,FALSE,TRUE,""
"sparse_homogeneous",1,"residual_variance","csr_vs_bed_bayesc","st_csr_sbayesc","st_bed_bayesc","BED-versus-CSR",-0.0282654730850009,-0.0282654730850009,0.00560664601485694,FALSE,TRUE,""
"sparse_homogeneous",1,"total_marker_effect_variance","csr_vs_bed_bayesc","st_csr_sbayesc","st_bed_bayesc","BED-versus-CSR",,,,,FALSE,"one or both method-specific estimands unavailable"
"sparse_homogeneous",2,"causal_proportion","csr_vs_bed_bayesc","st_csr_sbayesc","st_bed_bayesc","BED-versus-CSR",,,,,FALSE,"one or both method-specific estimands unavailable"
"sparse_homogeneous",2,"effect_variance","csr_vs_bed_bayesc","st_csr_sbayesc","st_bed_bayesc","BED-versus-CSR",-0.00530742085609906,-0.00530742085609906,-0.00956658560885138,FALSE,TRUE,""
"sparse_homogeneous",2,"genetic_variance","csr_vs_bed_bayesc","st_csr_sbayesc","st_bed_bayesc","BED-versus-CSR",0.0558360343679173,0.0389175506368031,0.00594541413753369,TRUE,TRUE,""
"sparse_homogeneous",2,"heritability","csr_vs_bed_bayesc","st_csr_sbayesc","st_bed_bayesc","BED-versus-CSR",0.0383210498647779,0.0164557116862333,0.00472701755564003,FALSE,TRUE,""
