"study","architecture","replicate","method","method_label","prior_class","model_specification","estimand_id","estimand_label","truth","truth_type","posterior_mean","posterior_sd","posterior_median","lower_95","upper_95","bias","absolute_error","squared_error","relative_error","covered_95","interval_width_95","n_posterior_draws","chain_count","draws_per_chain","status","reason"
"03_parameter_estimation","sparse_homogeneous",1,"st_bed_bayesc","st_bed_bayesc","BayesC","matched","effect_variance","Nonzero effect variance",0.00852938484405529,"realized_quantity",0.0129099973550779,0.00366324565554049,0.0123350696196682,0.00751569357343282,0.0216540343476,0.00438061251102258,0.00438061251102258,1.91897659717276e-05,0.513590674018623,TRUE,0.0141383407741672,1000,4,250,"ok",""
"03_parameter_estimation","sparse_homogeneous",1,"st_bed_bayesc","st_bed_bayesc","BayesC","matched","genetic_variance","Genetic variance",0.428571428571429,"realized_quantity",0.389140561951498,0.0226229073576281,0.389114056859321,0.347134723925177,0.434340349994041,-0.0394308666199309,0.0394308666199309,0.00155479324239878,-0.0920053554465055,TRUE,0.0872056260688647,1000,4,250,"ok",""
"03_parameter_estimation","sparse_homogeneous",1,"st_bed_bayesc","st_bed_bayesc","BayesC","matched","heritability","Heritability",0.3,"realized_quantity",0.271519591423314,0.0127603027157461,0.271767038011211,0.246773999805881,0.29643576729231,-0.0284804085766863,0.0284804085766863,0.000811133672694985,-0.0949346952556209,FALSE,0.0496617674864295,1000,4,250,"ok",""
"03_parameter_estimation","sparse_homogeneous",1,"st_bed_bayesc","st_bed_bayesc","BayesC","matched","residual_variance","Residual variance",1,"realized_quantity",1.04352190003362,0.0219943379720135,1.04244286469829,1.0039778416297,1.08606187016787,0.0435219000336227,0.0435219000336227,0.00189415578253664,0.0435219000336227,FALSE,0.0820840285381643,1000,4,250,"ok",""
"03_parameter_estimation","sparse_homogeneous",1,"st_bed_bayesc","st_bed_bayesc","BayesC","matched","causal_proportion","Causal proportion",0.00131610118185886,"realized_quantity",,,,,,,,,,,,0,4,0,"unavailable","aligned draw-level posterior component is not retained"
"03_parameter_estimation","sparse_homogeneous",1,"st_bed_bayesc","st_bed_bayesc","BayesC","matched","total_marker_effect_variance","Total marker-effect variance",0.426469242202764,"realized_quantity",,,,,,,,,,,,0,4,0,"unavailable","aligned draw-level posterior component is not retained"
"03_parameter_estimation","sparse_homogeneous",1,"st_bed_bayesr","st_bed_bayesr","BayesR","misspecified","effect_variance","Nonzero effect variance",0.00852938484405529,"realized_quantity",0.0033612097654319,0.000490845476462686,0.003315420634996,0.00255073081903861,0.00445842891450166,-0.00516817507862339,0.00516817507862339,2.67100336433039e-05,-0.60592588716705,FALSE,0.00190769809546305,8000,4,2000,"ok",""
"03_parameter_estimation","sparse_homogeneous",1,"st_bed_bayesr","st_bed_bayesr","BayesR","misspecified","genetic_variance","Genetic variance",0.428571428571429,"realized_quantity",0.425636419581419,0.0240946038292647,0.425418752454699,0.378907265884546,0.472828682617542,-0.0029350089900097,0.0029350089900097,8.61427777143777e-06,-0.00684835431002264,TRUE,0.0939214167329957,8000,4,2000,"ok",""
"03_parameter_estimation","sparse_homogeneous",1,"st_bed_bayesr","st_bed_bayesr","BayesR","misspecified","heritability","Heritability",0.3,"realized_quantity",0.296676918733126,0.0135273566553786,0.296716515442561,0.269754977027903,0.322320229644325,-0.00332308126687414,0.00332308126687414,1.10428691062498e-05,-0.0110769375562471,TRUE,0.0525652526164221,8000,4,2000,"ok",""
"03_parameter_estimation","sparse_homogeneous",1,"st_bed_bayesr","st_bed_bayesr","BayesR","misspecified","residual_variance","Residual variance",1,"realized_quantity",1.0085410095258,0.0225110045629605,1.00782041641771,0.964969590029086,1.05480434931292,0.00854100952579651,0.00854100952579651,7.29488437197466e-05,0.00854100952579651,TRUE,0.0898347592838298,8000,4,2000,"ok",""
"03_parameter_estimation","sparse_homogeneous",1,"st_bed_bayesr","st_bed_bayesr","BayesR","misspecified","causal_proportion","Causal proportion",0.00131610118185886,"realized_quantity",,,,,,,,,,,,0,4,0,"unavailable","aligned draw-level posterior component is not retained"
"03_parameter_estimation","sparse_homogeneous",1,"st_bed_bayesr","st_bed_bayesr","BayesR","misspecified","total_marker_effect_variance","Total marker-effect variance",0.426469242202764,"realized_quantity",,,,,,,,,,,,0,4,0,"unavailable","aligned draw-level posterior component is not retained"
"03_parameter_estimation","sparse_homogeneous",1,"st_csr_sbayesc","st_csr_sbayesc","BayesC","matched","effect_variance","Nonzero effect variance",0.00852938484405529,"realized_quantity",0.00888471200401611,0.0020192576450297,0.0085442838971989,0.00578117186384522,0.0138929616606856,0.000355327159960818,0.000355327159960818,1.26257390605821e-07,0.0416591778255227,TRUE,0.00811178979684035,1000,4,250,"ok",""
"03_parameter_estimation","sparse_homogeneous",1,"st_csr_sbayesc","st_csr_sbayesc","BayesC","matched","genetic_variance","Genetic variance",0.428571428571429,"realized_quantity",0.419550305759445,0.0250832539135825,0.419141444725719,0.37191533761373,0.468704067276546,-0.00902112281198414,0.00902112281198414,8.13806567889006e-05,-0.0210492865612963,TRUE,0.0967887296628161,1000,4,250,"ok",""
"03_parameter_estimation","sparse_homogeneous",1,"st_csr_sbayesc","st_csr_sbayesc","BayesC","matched","heritability","Heritability",0.3,"realized_quantity",0.292298394895667,0.0142938690417932,0.292457549959343,0.263599722613931,0.320114954318409,-0.00770160510433271,0.00770160510433271,5.93147211830836e-05,-0.0256720170144424,TRUE,0.0565152317044776,1000,4,250,"ok",""
"03_parameter_estimation","sparse_homogeneous",1,"st_csr_sbayesc","st_csr_sbayesc","BayesC","matched","residual_variance","Residual variance",1,"realized_quantity",1.01525642694862,0.0231293412721498,1.01467918042581,0.973631016411638,1.06132169096466,0.0152564269486217,0.0152564269486217,0.000232758563238631,0.0152564269486217,TRUE,0.0876906745530213,1000,4,250,"ok",""
"03_parameter_estimation","sparse_homogeneous",1,"st_csr_sbayesc","st_csr_sbayesc","BayesC","matched","causal_proportion","Causal proportion",0.00131610118185886,"realized_quantity",,,,,,,,,,,,0,4,0,"unavailable","aligned draw-level posterior component is not retained"
"03_parameter_estimation","sparse_homogeneous",1,"st_csr_sbayesc","st_csr_sbayesc","BayesC","matched","total_marker_effect_variance","Total marker-effect variance",0.426469242202764,"realized_quantity",,,,,,,,,,,,0,4,0,"unavailable","aligned draw-level posterior component is not retained"
"03_parameter_estimation","sparse_homogeneous",1,"st_csr_sbayesr","st_csr_sbayesr","BayesR","misspecified","effect_variance","Nonzero effect variance",0.00852938484405529,"realized_quantity",0.00409882595197979,0.00060843040956606,0.00404265452716573,0.00306632722418815,0.00544804871210903,-0.0044305588920755,0.0044305588920755,1.96298520961492e-05,-0.519446475106989,FALSE,0.00238172148792089,8000,4,2000,"ok",""
"03_parameter_estimation","sparse_homogeneous",1,"st_csr_sbayesr","st_csr_sbayesr","BayesR","misspecified","genetic_variance","Genetic variance",0.428571428571429,"realized_quantity",0.538304424383652,0.0301152560735155,0.53804772690087,0.481292997416585,0.598937488122518,0.109732995812224,0.109732995812224,0.0120413303699255,0.256043656895189,FALSE,0.117644490705933,8000,4,2000,"ok",""
"03_parameter_estimation","sparse_homogeneous",1,"st_csr_sbayesr","st_csr_sbayesr","BayesR","misspecified","heritability","Heritability",0.3,"realized_quantity",0.375325565160645,0.0173676924353704,0.375163768850799,0.341937085173581,0.409496709820833,0.0753255651606453,0.0753255651606453,0.00567394076677062,0.251085217202151,FALSE,0.0675596246472516,8000,4,2000,"ok",""
"03_parameter_estimation","sparse_homogeneous",1,"st_csr_sbayesr","st_csr_sbayesr","BayesR","misspecified","residual_variance","Residual variance",1,"realized_quantity",0.895538180371529,0.0267015505771857,0.895326504306023,0.842807634517376,0.948015219001592,-0.104461819628471,0.104461819628471,0.0109122717600913,-0.104461819628471,FALSE,0.105207584484216,8000,4,2000,"ok",""
"03_parameter_estimation","sparse_homogeneous",1,"st_csr_sbayesr","st_csr_sbayesr","BayesR","misspecified","causal_proportion","Causal proportion",0.00131610118185886,"realized_quantity",,,,,,,,,,,,0,4,0,"unavailable","aligned draw-level posterior component is not retained"
"03_parameter_estimation","sparse_homogeneous",1,"st_csr_sbayesr","st_csr_sbayesr","BayesR","misspecified","total_marker_effect_variance","Total marker-effect variance",0.426469242202764,"realized_quantity",,,,,,,,,,,,0,4,0,"unavailable","aligned draw-level posterior component is not retained"
"03_parameter_estimation","sparse_homogeneous",2,"st_bed_bayesc","st_bed_bayesc","BayesC","matched","effect_variance","Nonzero effect variance",0.00825058557863151,"realized_quantity",0.0152145819458775,0.00461449468500759,0.0145345386923486,0.00878592041885549,0.027117523591404,0.00696399636724597,0.00696399636724597,4.8497245403015e-05,0.844060860999039,FALSE,0.0183316031725485,1000,4,250,"ok",""
"03_parameter_estimation","sparse_homogeneous",2,"st_bed_bayesc","st_bed_bayesc","BayesC","matched","genetic_variance","Genetic variance",0.428571428571429,"realized_quantity",0.420112186705872,0.0232366685968886,0.419266573219092,0.376559547576418,0.468175913816327,-0.00845924186555708,0.00845924186555708,7.15587729399936e-05,-0.0197382310196332,TRUE,0.0916163662399091,1000,4,250,"ok",""
"03_parameter_estimation","sparse_homogeneous",2,"st_bed_bayesc","st_bed_bayesc","BayesC","matched","heritability","Heritability",0.3,"realized_quantity",0.289067330910728,0.0125708294587922,0.288832327211009,0.26547774825978,0.313976625969026,-0.0109326690892723,0.0109326690892723,0.000119523253415529,-0.0364422302975742,TRUE,0.048498877709246,1000,4,250,"ok",""
"03_parameter_estimation","sparse_homogeneous",2,"st_bed_bayesc","st_bed_bayesc","BayesC","matched","residual_variance","Residual variance",1,"realized_quantity",1.03268417661956,0.0212376088158996,1.032321531129,0.990960599438799,1.07428163555926,0.0326841766195578,0.0326841766195578,0.00106825540129845,0.0326841766195578,TRUE,0.0833210361204576,1000,4,250,"ok",""
"03_parameter_estimation","sparse_homogeneous",2,"st_bed_bayesc","st_bed_bayesc","BayesC","matched","causal_proportion","Causal proportion",0.00131610118185886,"realized_quantity",,,,,,,,,,,,0,4,0,"unavailable","aligned draw-level posterior component is not retained"
"03_parameter_estimation","sparse_homogeneous",2,"st_bed_bayesc","st_bed_bayesc","BayesC","matched","total_marker_effect_variance","Total marker-effect variance",0.412529278931576,"realized_quantity",,,,,,,,,,,,0,4,0,"unavailable","aligned draw-level posterior component is not retained"
"03_parameter_estimation","sparse_homogeneous",2,"st_bed_bayesr","st_bed_bayesr","BayesR","misspecified","effect_variance","Nonzero effect variance",0.00825058557863151,"realized_quantity",0.00362868732298133,0.000523905121742077,0.00357577601038561,0.0027656495682151,0.00478769778415612,-0.00462189825565018,0.00462189825565018,2.13619434855822e-05,-0.560190329716791,FALSE,0.00202204821594102,8000,4,2000,"ok",""
"03_parameter_estimation","sparse_homogeneous",2,"st_bed_bayesr","st_bed_bayesr","BayesR","misspecified","genetic_variance","Genetic variance",0.428571428571429,"realized_quantity",0.455188618512754,0.0244210127407924,0.454654808358348,0.408832357653346,0.503667074354698,0.0266171899413257,0.0266171899413257,0.000708474800372608,0.0621067765297599,TRUE,0.0948347167013522,8000,4,2000,"ok",""
"03_parameter_estimation","sparse_homogeneous",2,"st_bed_bayesr","st_bed_bayesr","BayesR","misspecified","heritability","Heritability",0.3,"realized_quantity",0.31308558365401,0.0132662533506596,0.312934422622479,0.287282875222034,0.338967415222846,0.0130855836540095,0.0130855836540095,0.00017123249956608,0.0436186121800316,TRUE,0.0516845400008114,8000,4,2000,"ok",""
"03_parameter_estimation","sparse_homogeneous",2,"st_bed_bayesr","st_bed_bayesr","BayesR","misspecified","residual_variance","Residual variance",1,"realized_quantity",0.99821900753436,0.0225309359068343,0.997899108525928,0.955495121225568,1.04363523692796,-0.0017809924656399,0.0017809924656399,3.17193416266608e-06,-0.0017809924656399,TRUE,0.0881401157023908,8000,4,2000,"ok",""
"03_parameter_estimation","sparse_homogeneous",2,"st_bed_bayesr","st_bed_bayesr","BayesR","misspecified","causal_proportion","Causal proportion",0.00131610118185886,"realized_quantity",,,,,,,,,,,,0,4,0,"unavailable","aligned draw-level posterior component is not retained"
"03_parameter_estimation","sparse_homogeneous",2,"st_bed_bayesr","st_bed_bayesr","BayesR","misspecified","total_marker_effect_variance","Total marker-effect variance",0.412529278931576,"realized_quantity",,,,,,,,,,,,0,4,0,"unavailable","aligned draw-level posterior component is not retained"
"03_parameter_estimation","sparse_homogeneous",2,"st_csr_sbayesc","st_csr_sbayesc","BayesC","matched","effect_variance","Nonzero effect variance",0.00825058557863151,"realized_quantity",0.00990716108977842,0.00223204135545003,0.00958018422157648,0.00644766040679823,0.0152126779704954,0.00165657551114691,0.00165657551114691,2.74424242413165e-06,0.200782780247421,TRUE,0.00876501756369716,1000,4,250,"ok",""
"03_parameter_estimation","sparse_homogeneous",2,"st_csr_sbayesc","st_csr_sbayesc","BayesC","matched","genetic_variance","Genetic variance",0.428571428571429,"realized_quantity",0.475948221073789,0.0250742588782653,0.476189987065926,0.427510302318362,0.525072082695805,0.0473767925023602,0.0473767925023602,0.00224456046781169,0.110545849172174,TRUE,0.0975617803774428,1000,4,250,"ok",""
"03_parameter_estimation","sparse_homogeneous",2,"st_csr_sbayesc","st_csr_sbayesc","BayesC","matched","heritability","Heritability",0.3,"realized_quantity",0.327388380775506,0.0136608279837892,0.327498866602088,0.300302991709572,0.353528886974458,0.0273883807755056,0.0273883807755056,0.000750123401504084,0.0912946025850186,FALSE,0.0532258952648861,1000,4,250,"ok",""
"03_parameter_estimation","sparse_homogeneous",2,"st_csr_sbayesc","st_csr_sbayesc","BayesC","matched","residual_variance","Residual variance",1,"realized_quantity",0.977376168247388,0.0225398301015488,0.977621846928018,0.933820892601318,1.02099765575453,-0.0226238317526124,0.0226238317526124,0.000511837763170513,-0.0226238317526124,TRUE,0.0871767631532083,1000,4,250,"ok",""
