"architecture","method","model_specification","estimand_id","replicate_count","successful_replicates","mean_truth","mean_posterior_mean","mean_bias","rmse","mae","observed_coverage_count","observed_coverage_proportion","coverage_note","empirical_coverage_95","coverage_observation","mean_interval_width_95","minimum","maximum","failure_count"
"sparse_homogeneous","st_bed_bayesc","matched","causal_proportion",5,0,,,,,,0,,"coarse observed coverage; each miss changes five-replicate coverage by 20 percentage points",,,,,,5
"sparse_mixture","st_bed_bayesr","matched","causal_proportion",5,0,,,,,,0,,"coarse observed coverage; each miss changes five-replicate coverage by 20 percentage points",,,,,,5
"sparse_homogeneous","st_csr_sbayesc","matched","causal_proportion",5,0,,,,,,0,,"coarse observed coverage; each miss changes five-replicate coverage by 20 percentage points",,,,,,5
"sparse_mixture","st_csr_sbayesr","matched","causal_proportion",5,0,,,,,,0,,"coarse observed coverage; each miss changes five-replicate coverage by 20 percentage points",,,,,,5
"sparse_mixture","st_bed_bayesc","misspecified","causal_proportion",5,0,,,,,,0,,"coarse observed coverage; each miss changes five-replicate coverage by 20 percentage points",,,,,,5
"sparse_homogeneous","st_bed_bayesr","misspecified","causal_proportion",5,0,,,,,,0,,"coarse observed coverage; each miss changes five-replicate coverage by 20 percentage points",,,,,,5
"sparse_mixture","st_csr_sbayesc","misspecified","causal_proportion",5,0,,,,,,0,,"coarse observed coverage; each miss changes five-replicate coverage by 20 percentage points",,,,,,5
"sparse_homogeneous","st_csr_sbayesr","misspecified","causal_proportion",5,0,,,,,,0,,"coarse observed coverage; each miss changes five-replicate coverage by 20 percentage points",,,,,,5
"sparse_homogeneous","st_bed_bayesc","matched","effect_variance",5,5,0.00848191081751592,0.0147327051811426,0.00625079436362668,0.00635148034570987,0.00625079436362668,2,0.4,"coarse observed coverage; each miss changes five-replicate coverage by 20 percentage points",0.4,,0.0170078860878416,0.0129099973550779,0.0163045823837547,0
"sparse_mixture","st_bed_bayesr","matched","effect_variance",5,5,0.00860458506036157,0.00395675878121211,-0.00464782627914946,0.00465006004475554,0.00464782627914946,0,0,"coarse observed coverage; each miss changes five-replicate coverage by 20 percentage points",0,,0.00230437768175086,0.00378427653242456,0.0041581262262041,0
"sparse_homogeneous","st_csr_sbayesc","matched","effect_variance",5,5,0.00848191081751592,0.0095292201438679,0.00104730932635198,0.00114053352591927,0.00104730932635198,5,1,"coarse observed coverage; each miss changes five-replicate coverage by 20 percentage points",1,,0.00874129232496111,0.00888471200401611,0.00990716108977842,0
"sparse_mixture","st_csr_sbayesr","matched","effect_variance",5,5,0.00860458506036157,0.00492707192405925,-0.00367751313630232,0.0036898994361125,0.00367751313630232,0,0,"coarse observed coverage; each miss changes five-replicate coverage by 20 percentage points",0,,0.00300203870490757,0.00469883317776294,0.00530148349847121,0
"sparse_mixture","st_bed_bayesc","misspecified","effect_variance",5,5,0.00860458506036157,0.0270053966044395,0.018400811544078,0.0188515197774224,0.018400811544078,0,0,"coarse observed coverage; each miss changes five-replicate coverage by 20 percentage points",0,,0.0409339784768046,0.0227593063902731,0.0344388147240108,0
"sparse_homogeneous","st_bed_bayesr","misspecified","effect_variance",5,5,0.00848191081751592,0.00344495402236308,-0.00503695679515284,0.00504240372652031,0.00503695679515284,0,0,"coarse observed coverage; each miss changes five-replicate coverage by 20 percentage points",0,,0.00195697261181723,0.00329063892787089,0.00364376155016061,0
"sparse_mixture","st_csr_sbayesc","misspecified","effect_variance",5,5,0.00860458506036157,0.0140717506503845,0.00546716559002296,0.00573115141333857,0.00546716559002296,3,0.6,"coarse observed coverage; each miss changes five-replicate coverage by 20 percentage points",0.6,,0.0167957411119308,0.0123729981548568,0.0168941639925015,0
"sparse_homogeneous","st_csr_sbayesr","misspecified","effect_variance",5,5,0.00848191081751592,0.00429335361600882,-0.00418855720150711,0.00420243683009797,0.00418855720150711,0,0,"coarse observed coverage; each miss changes five-replicate coverage by 20 percentage points",0,,0.00254506563616832,0.00409882595197979,0.0046240886039572,0
"sparse_homogeneous","st_bed_bayesc","matched","genetic_variance",5,5,0.428571428571429,0.38912353136719,-0.0394478972042382,0.045918439383934,0.0394478972042382,3,0.6,"coarse observed coverage; each miss changes five-replicate coverage by 20 percentage points",0.6,,0.087019779009646,0.358704899311302,0.420112186705872,0
"sparse_mixture","st_bed_bayesr","matched","genetic_variance",5,5,0.428571428571429,0.440332052110327,0.0117606235388982,0.0195797949203391,0.017790280518781,5,1,"coarse observed coverage; each miss changes five-replicate coverage by 20 percentage points",1,,0.0925310407423919,0.413497286121721,0.455808633540126,0
"sparse_homogeneous","st_csr_sbayesc","matched","genetic_variance",5,5,0.428571428571429,0.422850462129855,-0.00572096644157367,0.0301043905762329,0.0246716834425178,5,1,"coarse observed coverage; each miss changes five-replicate coverage by 20 percentage points",1,,0.0943897180038096,0.387363103101314,0.475948221073789,0
"sparse_mixture","st_csr_sbayesr","matched","genetic_variance",5,5,0.428571428571429,0.56892905706811,0.140357628496682,0.142901051161914,0.140357628496682,0,0,"coarse observed coverage; each miss changes five-replicate coverage by 20 percentage points",0,,0.122997152997771,0.521670682857431,0.600757722319742,0
"sparse_mixture","st_bed_bayesc","misspecified","genetic_variance",5,5,0.428571428571429,0.408909784079882,-0.0196616444915461,0.0247754845937601,0.0196616444915461,4,0.8,"coarse observed coverage; each miss changes five-replicate coverage by 20 percentage points",0.8,,0.0854540384159612,0.383456843016944,0.425200477646787,0
"sparse_homogeneous","st_bed_bayesr","misspecified","genetic_variance",5,5,0.428571428571429,0.42531448488237,-0.00325694368905841,0.0221975429651739,0.0192609048089685,5,1,"coarse observed coverage; each miss changes five-replicate coverage by 20 percentage points",1,,0.0926476765768978,0.393418824128239,0.455188618512754,0
"sparse_mixture","st_csr_sbayesc","misspecified","genetic_variance",5,5,0.428571428571429,0.438436645678165,0.00986521710673617,0.0224006944735567,0.019491364415481,5,1,"coarse observed coverage; each miss changes five-replicate coverage by 20 percentage points",1,,0.0965910042231168,0.404506060299566,0.465319009265644,0
"sparse_homogeneous","st_csr_sbayesr","misspecified","genetic_variance",5,5,0.428571428571429,0.548532284755833,0.119960856184404,0.123312060168464,0.119960856184404,0,0,"coarse observed coverage; each miss changes five-replicate coverage by 20 percentage points",0,,0.12083709873518,0.511508099448926,0.599017749892499,0
"sparse_homogeneous","st_bed_bayesc","matched","heritability",5,5,0.3,0.27166256104576,-0.0283374389542398,0.0310235156506692,0.0283374389542398,2,0.4,"coarse observed coverage; each miss changes five-replicate coverage by 20 percentage points",0.4,,0.047972624361068,0.256090917629086,0.289067330910728,0
"sparse_mixture","st_bed_bayesr","matched","heritability",5,5,0.3,0.30653161649637,0.00653161649637017,0.010130188336506,0.00886231414370029,5,1,"coarse observed coverage; each miss changes five-replicate coverage by 20 percentage points",1,,0.0509056539425458,0.294173255881675,0.31489470694182,0
"sparse_homogeneous","st_csr_sbayesc","matched","heritability",5,5,0.3,0.295069661595635,-0.0049303384043655,0.0178645086660635,0.0158856907145677,4,0.8,"coarse observed coverage; each miss changes five-replicate coverage by 20 percentage points",0.8,,0.0547554325884993,0.276472274879638,0.327388380775506,0
"sparse_mixture","st_csr_sbayesr","matched","heritability",5,5,0.3,0.395965441753628,0.0959654417536282,0.0971138449430691,0.0959654417536282,0,0,"coarse observed coverage; each miss changes five-replicate coverage by 20 percentage points",0,,0.0698490727106313,0.370932181632578,0.414814228540622,0
"sparse_mixture","st_bed_bayesc","misspecified","heritability",5,5,0.3,0.284504508901354,-0.0154954910986458,0.0172686114896052,0.0154954910986458,4,0.8,"coarse observed coverage; each miss changes five-replicate coverage by 20 percentage points",0.8,,0.0461234984987972,0.272727670718981,0.2925547883151,0
"sparse_homogeneous","st_bed_bayesr","misspecified","heritability",5,5,0.3,0.297026290750275,-0.00297370924972529,0.0115412725621911,0.0100124231061173,5,1,"coarse observed coverage; each miss changes five-replicate coverage by 20 percentage points",1,,0.0520734946025843,0.281027557078116,0.31308558365401,0
"sparse_mixture","st_csr_sbayesc","misspecified","heritability",5,5,0.3,0.305173620300341,0.00517362030034129,0.0120300865169146,0.0100189860838837,5,1,"coarse observed coverage; each miss changes five-replicate coverage by 20 percentage points",1,,0.0542860036932766,0.287886585541144,0.321222138442515,0
"sparse_homogeneous","st_csr_sbayesr","misspecified","heritability",5,5,0.3,0.38303169237799,0.0830316923779903,0.0844809654758772,0.0830316923779903,0,0,"coarse observed coverage; each miss changes five-replicate coverage by 20 percentage points",0,,0.0693795303627311,0.36526800209029,0.411829754220066,0
"sparse_homogeneous","st_bed_bayesc","matched","residual_variance",5,5,1,1.04177587698771,0.041775876987711,0.0420913588883212,0.041775876987711,1,0.2,"coarse observed coverage; each miss changes five-replicate coverage by 20 percentage points",0.2,,0.0841606609232563,1.03268417661956,1.04853324732549,0
"sparse_mixture","st_bed_bayesr","matched","residual_variance",5,5,1,0.995324004573565,-0.00467599542643529,0.00743266970127783,0.00686004770773503,5,1,"coarse observed coverage; each miss changes five-replicate coverage by 20 percentage points",1,,0.0859635770292389,0.990203222395992,1.00546013070325,0
"sparse_homogeneous","st_csr_sbayesc","matched","residual_variance",5,5,1,1.00880683535899,0.00880683535898761,0.0190082517029127,0.0178563680600326,5,1,"coarse observed coverage; each miss changes five-replicate coverage by 20 percentage points",1,,0.0912456045449575,0.977376168247388,1.027975901048,0
"sparse_mixture","st_csr_sbayesr","matched","residual_variance",5,5,1,0.866964793572476,-0.133035206427524,0.133781073351943,0.133035206427524,0,0,"coarse observed coverage; each miss changes five-replicate coverage by 20 percentage points",0,,0.105138193481849,0.847091663417174,0.88429189251563,0
"sparse_mixture","st_bed_bayesc","misspecified","residual_variance",5,5,1,1.02748185680254,0.0274818568025361,0.0283177453462487,0.0274818568025361,4,0.8,"coarse observed coverage; each miss changes five-replicate coverage by 20 percentage points",0.8,,0.0809214178908448,1.02104063987283,1.04019620536992,0
"sparse_homogeneous","st_bed_bayesr","misspecified","residual_variance",5,5,1,1.00534747960469,0.00534747960468671,0.00659425038823181,0.00605987659094267,5,1,"coarse observed coverage; each miss changes five-replicate coverage by 20 percentage points",1,,0.0886066473344869,0.99821900753436,1.00893358288231,0
"sparse_mixture","st_csr_sbayesc","misspecified","residual_variance",5,5,1,0.997188538596239,-0.0028114614037611,0.00855142429375869,0.00627918778913434,5,1,"coarse observed coverage; each miss changes five-replicate coverage by 20 percentage points",1,,0.0871262081612591,0.982729853669676,1.00494775183406,0
"sparse_homogeneous","st_csr_sbayesr","misspecified","residual_variance",5,5,1,0.882548863835974,-0.117451136164026,0.118588652828374,0.117451136164026,0,0,"coarse observed coverage; each miss changes five-replicate coverage by 20 percentage points",0,,0.105789824540347,0.855104598769614,0.900038135111261,0
"sparse_homogeneous","st_bed_bayesc","matched","total_marker_effect_variance",5,0,,,,,,0,,"coarse observed coverage; each miss changes five-replicate coverage by 20 percentage points",,,,,,5
"sparse_mixture","st_bed_bayesr","matched","total_marker_effect_variance",5,0,,,,,,0,,"coarse observed coverage; each miss changes five-replicate coverage by 20 percentage points",,,,,,5
"sparse_homogeneous","st_csr_sbayesc","matched","total_marker_effect_variance",5,0,,,,,,0,,"coarse observed coverage; each miss changes five-replicate coverage by 20 percentage points",,,,,,5
"sparse_mixture","st_csr_sbayesr","matched","total_marker_effect_variance",5,0,,,,,,0,,"coarse observed coverage; each miss changes five-replicate coverage by 20 percentage points",,,,,,5
"sparse_mixture","st_bed_bayesc","misspecified","total_marker_effect_variance",5,0,,,,,,0,,"coarse observed coverage; each miss changes five-replicate coverage by 20 percentage points",,,,,,5
"sparse_homogeneous","st_bed_bayesr","misspecified","total_marker_effect_variance",5,0,,,,,,0,,"coarse observed coverage; each miss changes five-replicate coverage by 20 percentage points",,,,,,5
"sparse_mixture","st_csr_sbayesc","misspecified","total_marker_effect_variance",5,0,,,,,,0,,"coarse observed coverage; each miss changes five-replicate coverage by 20 percentage points",,,,,,5
"sparse_homogeneous","st_csr_sbayesr","misspecified","total_marker_effect_variance",5,0,,,,,,0,,"coarse observed coverage; each miss changes five-replicate coverage by 20 percentage points",,,,,,5
