"architecture","replicate","method","status","error_class","error_message"
"sparse_homogeneous",1,"st_bed_bayesc","ok","",""
"sparse_homogeneous",1,"st_bed_bayesr","ok","",""
"sparse_homogeneous",1,"st_csr_sbayesc","ok","",""
"sparse_homogeneous",1,"st_csr_sbayesr","ok","",""
"sparse_homogeneous",2,"st_bed_bayesc","ok","",""
"sparse_homogeneous",2,"st_bed_bayesr","ok","",""
"sparse_homogeneous",2,"st_csr_sbayesc","ok","",""
"sparse_homogeneous",2,"st_csr_sbayesr","ok","",""
"sparse_homogeneous",3,"st_bed_bayesc","ok","",""
"sparse_homogeneous",3,"st_bed_bayesr","ok","",""
"sparse_homogeneous",3,"st_csr_sbayesc","ok","",""
"sparse_homogeneous",3,"st_csr_sbayesr","ok","",""
"sparse_homogeneous",4,"st_bed_bayesc","ok","",""
"sparse_homogeneous",4,"st_bed_bayesr","ok","",""
"sparse_homogeneous",4,"st_csr_sbayesc","ok","",""
"sparse_homogeneous",4,"st_csr_sbayesr","ok","",""
"sparse_homogeneous",5,"st_bed_bayesc","ok","",""
"sparse_homogeneous",5,"st_bed_bayesr","ok","",""
"sparse_homogeneous",5,"st_csr_sbayesc","ok","",""
"sparse_homogeneous",5,"st_csr_sbayesr","ok","",""
"sparse_mixture",1,"st_bed_bayesc","ok","",""
"sparse_mixture",1,"st_bed_bayesr","ok","",""
"sparse_mixture",1,"st_csr_sbayesc","ok","",""
"sparse_mixture",1,"st_csr_sbayesr","ok","",""
"sparse_mixture",2,"st_bed_bayesc","ok","",""
"sparse_mixture",2,"st_bed_bayesr","ok","",""
"sparse_mixture",2,"st_csr_sbayesc","ok","",""
"sparse_mixture",2,"st_csr_sbayesr","ok","",""
"sparse_mixture",3,"st_bed_bayesc","ok","",""
"sparse_mixture",3,"st_bed_bayesr","ok","",""
"sparse_mixture",3,"st_csr_sbayesc","ok","",""
"sparse_mixture",3,"st_csr_sbayesr","ok","",""
"sparse_mixture",4,"st_bed_bayesc","ok","",""
"sparse_mixture",4,"st_bed_bayesr","ok","",""
"sparse_mixture",4,"st_csr_sbayesc","ok","",""
"sparse_mixture",4,"st_csr_sbayesr","ok","",""
"sparse_mixture",5,"st_bed_bayesc","ok","",""
"sparse_mixture",5,"st_bed_bayesr","ok","",""
"sparse_mixture",5,"st_csr_sbayesc","ok","",""
"sparse_mixture",5,"st_csr_sbayesr","ok","",""
