"file","size_bytes","md5"
"benchmark_manifest.json",56276,"86ea0a027ad53a1cfea22f34bcaa88ed"
"computational_summary.csv",4049,"21eb68861c4568d6fdfcbf42418b54c7"
"estimand_registry.csv",1601,"2c015a8a4345d68d0dddd7045f1b5f8d"
"example_data_manifest.csv",1587,"fb5be7c21b86eec5bba53f876fe66afb"
"paired_comparison_summary.csv",8802,"1b113b9c72163253b6d8a785f0cad4cb"
"paired_parameter_differences.csv",43839,"db7e0586d6c3a729d50376995801b6f7"
"parameter_estimates.csv",84529,"a03a0d0fdfeaae140d6ba3d04ffab578"
"parameter_recovery_summary.csv",13507,"15e1d6c94f4d5537930f65a2ed3a1542"
"README.md",334,"2b006ee5d542a4a8568c276da5b9dc29"
"replicate_status.csv",2056,"4eca62ac732866c05305c43799d4b0fb"
"seed_registry.csv",11089,"0a4b461649dc1db64ca71148b100bde1"
"session_info.txt",2128,"b42e0fe9458c49cf4868b8578b56ce4f"
"simulation_truth.csv",9689,"82a508739d83723d505c6f5bd20f93c4"
"source_files.csv",638,"de598a9969ca03dd13b8cd2b570567aa"
