"architecture","comparison_id","comparison_type","estimand_id","replicate_count","successful_replicates","mean_estimate_difference","sd_estimate_difference","median_estimate_difference","minimum_estimate_difference","maximum_estimate_difference","mean_absolute_error_difference","mean_interval_width_difference","coverage_agreement_observation"
"sparse_homogeneous","bayesr_vs_bayesc_bed","prior-class","causal_proportion",5,0,,,,,,,,
"sparse_mixture","bayesr_vs_bayesc_bed","prior-class","causal_proportion",5,0,,,,,,,,
"sparse_homogeneous","csr_vs_bed_bayesc","BED-versus-CSR","causal_proportion",5,0,,,,,,,,
"sparse_mixture","csr_vs_bed_bayesc","BED-versus-CSR","causal_proportion",5,0,,,,,,,,
"sparse_homogeneous","csr_vs_bed_bayesr","BED-versus-CSR","causal_proportion",5,0,,,,,,,,
"sparse_mixture","csr_vs_bed_bayesr","BED-versus-CSR","causal_proportion",5,0,,,,,,,,
"sparse_homogeneous","sbayesr_vs_sbayesc_csr","prior-class","causal_proportion",5,0,,,,,,,,
"sparse_mixture","sbayesr_vs_sbayesc_csr","prior-class","causal_proportion",5,0,,,,,,,,
"sparse_homogeneous","bayesr_vs_bayesc_bed","prior-class","effect_variance",5,5,-0.0113183601650693,0.0012672977830203,-0.0115681315955619,-0.0130567712159556,-0.00959183028997308,-0.00118322856218408,-0.0150649499326966,
"sparse_mixture","bayesr_vs_bayesc_bed","prior-class","effect_variance",5,5,-0.0231105885465352,0.00461820162794065,-0.0216308198268387,-0.0306486298922496,-0.0190291306665757,-0.0136910345416207,-0.0386494243642253,
"sparse_homogeneous","csr_vs_bed_bayesc","BED-versus-CSR","effect_variance",5,5,-0.0052034850372747,0.00100723958032769,-0.00530742085609906,-0.00654597430762067,-0.00402528535106176,-0.0052034850372747,-0.00826659376288052,
"sparse_mixture","csr_vs_bed_bayesc","BED-versus-CSR","effect_variance",5,5,-0.012933645954055,0.00302737471906394,-0.0117273520748443,-0.0175446507315093,-0.010331998091398,-0.012933645954055,-0.0241382373648738,
"sparse_homogeneous","csr_vs_bed_bayesr","BED-versus-CSR","effect_variance",5,5,0.000832408214667807,0.000158218315940166,0.000809703396386824,0.000629515296103238,0.00103639187170996,-0.000832408214667807,0.000529302721795271,
"sparse_mixture","csr_vs_bed_bayesr","BED-versus-CSR","effect_variance",5,5,0.000974731043377242,0.000170175111518795,0.000912713123699749,0.000871259402757658,0.00127651383690931,-0.000974731043377242,0.000636854818422646,
"sparse_homogeneous","sbayesr_vs_sbayesc_csr","prior-class","effect_variance",5,5,-0.00528246691312678,0.000317388270644467,-0.00531958887973418,-0.00570109351194809,-0.00481445646486154,0.00318784826042282,-0.00626905344802077,
"sparse_mixture","sbayesr_vs_sbayesc_csr","prior-class","effect_variance",5,5,-0.00920221154910294,0.00186727316626752,-0.00882830605666265,-0.0121758901488502,-0.00754924350394691,-0.00173211963094299,-0.0138743321809288,
"sparse_homogeneous","bayesr_vs_bayesc_bed","prior-class","genetic_variance",5,5,0.0359214646469101,0.00404295546220782,0.0352563642093678,0.0319461290268476,0.0426854626355005,-0.0199490201127633,0.0064657005439035,
"sparse_mixture","bayesr_vs_bayesc_bed","prior-class","genetic_variance",5,5,0.0307263121351619,0.00249964681185755,0.0308518755178873,0.0279655722946547,0.0344090827204472,-0.0017373715439984,0.00643652133737849,
"sparse_homogeneous","csr_vs_bed_bayesc","BED-versus-CSR","genetic_variance",5,5,0.0337269307626645,0.0148892001605995,0.0304097438079468,0.0153093423797139,0.0558360343679173,-0.0147762137617204,0.00736993899416359,
"sparse_mixture","csr_vs_bed_bayesc","BED-versus-CSR","genetic_variance",5,5,0.0295268615982823,0.00871565219102747,0.0273353553601942,0.0210492172826224,0.0435393456734082,-0.00017028007606511,0.0111369658071555,
"sparse_homogeneous","csr_vs_bed_bayesr","BED-versus-CSR","genetic_variance",5,5,0.122975283632184,0.0137692435496825,0.117325899764138,0.110217429249345,0.143131314651769,0.0999499739833812,0.0279771684202613,
"sparse_mixture","csr_vs_bed_bayesr","BED-versus-CSR","genetic_variance",5,5,0.128484322689717,0.0125713978402494,0.128009401251274,0.109298695693088,0.143657095429363,0.121624717385786,0.0313087210475514,
"sparse_homogeneous","sbayesr_vs_sbayesc_csr","prior-class","genetic_variance",5,5,0.12516981751643,0.00633921514015465,0.12277575569158,0.118473658397612,0.135193813103258,0.0947771676323383,0.0270729299700012,
"sparse_mixture","sbayesr_vs_sbayesc_csr","prior-class","genetic_variance",5,5,0.129683773226597,0.00860962895206639,0.132635514976498,0.11621505070512,0.138301376747404,0.120057625917852,0.0266082765777744,
"sparse_homogeneous","bayesr_vs_bayesc_bed","prior-class","heritability",5,5,0.0252121576729726,0.00301003655080277,0.0245173888092299,0.0222848682080157,0.030304977555588,-0.0181949746871173,0.00403978995396111,
"sparse_mixture","bayesr_vs_bayesc_bed","prior-class","heritability",5,5,0.0217180147957535,0.00160332253171711,0.0219711275003117,0.0201629064738053,0.024062441429183,-0.00646747127959187,0.0043761594245478,
"sparse_homogeneous","csr_vs_bed_bayesc","BED-versus-CSR","heritability",5,5,0.0234071005498743,0.0102550882577554,0.0207788034723536,0.0104313258180355,0.0383210498647779,-0.0124517482396721,0.00678280822743135,
"sparse_mixture","csr_vs_bed_bayesc","BED-versus-CSR","heritability",5,5,0.0206691113989871,0.00595482957332675,0.0188758294620567,0.0151589148221633,0.030083805164452,-0.00547650501476218,0.00816250519447952,
