"study","architecture","replicate","method","method_label","prior_class","model_specification","estimand_id","estimand_label","truth","truth_type","posterior_mean","posterior_sd","posterior_median","lower_95","upper_95","bias","absolute_error","squared_error","relative_error","covered_95","interval_width_95","n_posterior_draws","chain_count","draws_per_chain","status","reason"
"03_parameter_estimation","sparse_homogeneous",1,"st_bed_bayesc","st_bed_bayesc","BayesC","matched","effect_variance","Nonzero effect variance",0.00852938484405529,"realized_quantity",0.0129099973550779,0.00366324565554049,0.0123350696196682,0.00751569357343282,0.0216540343476,0.00438061251102258,0.00438061251102258,1.91897659717276e-05,0.513590674018623,TRUE,0.0141383407741672,1000,4,250,"ok",""
"03_parameter_estimation","sparse_homogeneous",1,"st_bed_bayesc","st_bed_bayesc","BayesC","matched","genetic_variance","Genetic variance",0.428571428571429,"realized_quantity",0.389140561951498,0.0226229073576281,0.389114056859321,0.347134723925177,0.434340349994041,-0.0394308666199309,0.0394308666199309,0.00155479324239878,-0.0920053554465055,TRUE,0.0872056260688647,1000,4,250,"ok",""
"03_parameter_estimation","sparse_homogeneous",1,"st_bed_bayesc","st_bed_bayesc","BayesC","matched","heritability","Heritability",0.3,"realized_quantity",0.271519591423314,0.0127603027157461,0.271767038011211,0.246773999805881,0.29643576729231,-0.0284804085766863,0.0284804085766863,0.000811133672694985,-0.0949346952556209,FALSE,0.0496617674864295,1000,4,250,"ok",""
"03_parameter_estimation","sparse_homogeneous",1,"st_bed_bayesc","st_bed_bayesc","BayesC","matched","residual_variance","Residual variance",1,"realized_quantity",1.04352190003362,0.0219943379720135,1.04244286469829,1.0039778416297,1.08606187016787,0.0435219000336227,0.0435219000336227,0.00189415578253664,0.0435219000336227,FALSE,0.0820840285381643,1000,4,250,"ok",""
"03_parameter_estimation","sparse_homogeneous",1,"st_bed_bayesc","st_bed_bayesc","BayesC","matched","causal_proportion","Causal proportion",0.00131610118185886,"realized_quantity",,,,,,,,,,,,0,4,0,"unavailable","aligned draw-level posterior component is not retained"
"03_parameter_estimation","sparse_homogeneous",1,"st_bed_bayesc","st_bed_bayesc","BayesC","matched","total_marker_effect_variance","Total marker-effect variance",0.426469242202764,"realized_quantity",,,,,,,,,,,,0,4,0,"unavailable","aligned draw-level posterior component is not retained"
"03_parameter_estimation","sparse_homogeneous",1,"st_bed_bayesr","st_bed_bayesr","BayesR","misspecified","effect_variance","Nonzero effect variance",0.00852938484405529,"realized_quantity",0.0033181670651048,0.000477833731988527,0.00327981364584181,0.00249743223262931,0.00438687267322052,-0.0052112177789505,0.0052112177789505,2.71567907396497e-05,-0.610972288650165,FALSE,0.00188944044059121,4000,4,1000,"ok",""
"03_parameter_estimation","sparse_homogeneous",1,"st_bed_bayesr","st_bed_bayesr","BayesR","misspecified","genetic_variance","Genetic variance",0.428571428571429,"realized_quantity",0.424751869596878,0.0239248909247914,0.424496665224576,0.377909022003119,0.471715674379677,-0.00381955897455077,0.00381955897455077,1.45890307600714e-05,-0.00891230427395181,TRUE,0.0938066523765587,4000,4,1000,"ok",""
"03_parameter_estimation","sparse_homogeneous",1,"st_bed_bayesr","st_bed_bayesr","BayesR","misspecified","heritability","Heritability",0.3,"realized_quantity",0.296288916291462,0.013581679880167,0.296442474694676,0.269770611666493,0.322541159392746,-0.0037110837085379,0.0037110837085379,1.37721422917754e-05,-0.0123702790284597,TRUE,0.0527705477262528,4000,4,1000,"ok",""
"03_parameter_estimation","sparse_homogeneous",1,"st_bed_bayesr","st_bed_bayesr","BayesR","misspecified","residual_variance","Residual variance",1,"realized_quantity",1.008349259947,0.0227171751841615,1.00820710295253,0.964764088213441,1.05300959565964,0.00834925994699542,0.00834925994699542,6.9710141662502e-05,0.00834925994699542,TRUE,0.0882455074462002,4000,4,1000,"ok",""
"03_parameter_estimation","sparse_homogeneous",1,"st_bed_bayesr","st_bed_bayesr","BayesR","misspecified","causal_proportion","Causal proportion",0.00131610118185886,"realized_quantity",,,,,,,,,,,,0,4,0,"unavailable","aligned draw-level posterior component is not retained"
"03_parameter_estimation","sparse_homogeneous",1,"st_bed_bayesr","st_bed_bayesr","BayesR","misspecified","total_marker_effect_variance","Total marker-effect variance",0.426469242202764,"realized_quantity",,,,,,,,,,,,0,4,0,"unavailable","aligned draw-level posterior component is not retained"
"03_parameter_estimation","sparse_homogeneous",1,"st_csr_sbayesc","st_csr_sbayesc","BayesC","matched","effect_variance","Nonzero effect variance",0.00852938484405529,"realized_quantity",0.00888471200401611,0.0020192576450297,0.0085442838971989,0.00578117186384522,0.0138929616606856,0.000355327159960818,0.000355327159960818,1.26257390605821e-07,0.0416591778255227,TRUE,0.00811178979684035,1000,4,250,"ok",""
"03_parameter_estimation","sparse_homogeneous",1,"st_csr_sbayesc","st_csr_sbayesc","BayesC","matched","genetic_variance","Genetic variance",0.428571428571429,"realized_quantity",0.419550305759445,0.0250832539135825,0.419141444725719,0.37191533761373,0.468704067276546,-0.00902112281198414,0.00902112281198414,8.13806567889006e-05,-0.0210492865612963,TRUE,0.0967887296628161,1000,4,250,"ok",""
"03_parameter_estimation","sparse_homogeneous",1,"st_csr_sbayesc","st_csr_sbayesc","BayesC","matched","heritability","Heritability",0.3,"realized_quantity",0.292298394895667,0.0142938690417932,0.292457549959343,0.263599722613931,0.320114954318409,-0.00770160510433271,0.00770160510433271,5.93147211830836e-05,-0.0256720170144424,TRUE,0.0565152317044776,1000,4,250,"ok",""
"03_parameter_estimation","sparse_homogeneous",1,"st_csr_sbayesc","st_csr_sbayesc","BayesC","matched","residual_variance","Residual variance",1,"realized_quantity",1.01525642694862,0.0231293412721498,1.01467918042581,0.973631016411638,1.06132169096466,0.0152564269486217,0.0152564269486217,0.000232758563238631,0.0152564269486217,TRUE,0.0876906745530213,1000,4,250,"ok",""
"03_parameter_estimation","sparse_homogeneous",1,"st_csr_sbayesc","st_csr_sbayesc","BayesC","matched","causal_proportion","Causal proportion",0.00131610118185886,"realized_quantity",,,,,,,,,,,,0,4,0,"unavailable","aligned draw-level posterior component is not retained"
"03_parameter_estimation","sparse_homogeneous",1,"st_csr_sbayesc","st_csr_sbayesc","BayesC","matched","total_marker_effect_variance","Total marker-effect variance",0.426469242202764,"realized_quantity",,,,,,,,,,,,0,4,0,"unavailable","aligned draw-level posterior component is not retained"
"03_parameter_estimation","sparse_homogeneous",1,"st_csr_sbayesr","st_csr_sbayesr","BayesR","misspecified","effect_variance","Nonzero effect variance",0.00852938484405529,"realized_quantity",0.00407025553915457,0.000618887612109315,0.00403245915469542,0.00299666481167536,0.005413386866554,-0.00445912930490072,0.00445912930490072,1.98838341578244e-05,-0.522796120286282,FALSE,0.00241672205487864,4000,4,1000,"ok",""
"03_parameter_estimation","sparse_homogeneous",1,"st_csr_sbayesr","st_csr_sbayesr","BayesR","misspecified","genetic_variance","Genetic variance",0.428571428571429,"realized_quantity",0.538023964157056,0.0302489349291219,0.538249805804264,0.478392125480229,0.596461400508453,0.109452535585628,0.109452535585628,0.0119798575461231,0.255389249699798,FALSE,0.118069275028224,4000,4,1000,"ok",""
"03_parameter_estimation","sparse_homogeneous",1,"st_csr_sbayesr","st_csr_sbayesr","BayesR","misspecified","heritability","Heritability",0.3,"realized_quantity",0.37530318353704,0.017475270564174,0.375645075171394,0.341616108642549,0.409326190712891,0.0753031835370403,0.0753031835370403,0.00567056945081318,0.251010611790134,FALSE,0.0677100820703426,4000,4,1000,"ok",""
"03_parameter_estimation","sparse_homogeneous",1,"st_csr_sbayesr","st_csr_sbayesr","BayesR","misspecified","residual_variance","Residual variance",1,"realized_quantity",0.89515675544755,0.0269947046408503,0.895122230998288,0.841309602835666,0.948515901780648,-0.10484324455245,0.10484324455245,0.0109921059282848,-0.10484324455245,FALSE,0.107206298944982,4000,4,1000,"ok",""
"03_parameter_estimation","sparse_homogeneous",1,"st_csr_sbayesr","st_csr_sbayesr","BayesR","misspecified","causal_proportion","Causal proportion",0.00131610118185886,"realized_quantity",,,,,,,,,,,,0,4,0,"unavailable","aligned draw-level posterior component is not retained"
"03_parameter_estimation","sparse_homogeneous",1,"st_csr_sbayesr","st_csr_sbayesr","BayesR","misspecified","total_marker_effect_variance","Total marker-effect variance",0.426469242202764,"realized_quantity",,,,,,,,,,,,0,4,0,"unavailable","aligned draw-level posterior component is not retained"
"03_parameter_estimation","sparse_homogeneous",2,"st_bed_bayesc","st_bed_bayesc","BayesC","matched","effect_variance","Nonzero effect variance",0.00825058557863151,"realized_quantity",0.0152145819458775,0.00461449468500759,0.0145345386923486,0.00878592041885549,0.027117523591404,0.00696399636724597,0.00696399636724597,4.8497245403015e-05,0.844060860999039,FALSE,0.0183316031725485,1000,4,250,"ok",""
"03_parameter_estimation","sparse_homogeneous",2,"st_bed_bayesc","st_bed_bayesc","BayesC","matched","genetic_variance","Genetic variance",0.428571428571429,"realized_quantity",0.420112186705872,0.0232366685968886,0.419266573219092,0.376559547576418,0.468175913816327,-0.00845924186555708,0.00845924186555708,7.15587729399936e-05,-0.0197382310196332,TRUE,0.0916163662399091,1000,4,250,"ok",""
"03_parameter_estimation","sparse_homogeneous",2,"st_bed_bayesc","st_bed_bayesc","BayesC","matched","heritability","Heritability",0.3,"realized_quantity",0.289067330910728,0.0125708294587922,0.288832327211009,0.26547774825978,0.313976625969026,-0.0109326690892723,0.0109326690892723,0.000119523253415529,-0.0364422302975742,TRUE,0.048498877709246,1000,4,250,"ok",""
"03_parameter_estimation","sparse_homogeneous",2,"st_bed_bayesc","st_bed_bayesc","BayesC","matched","residual_variance","Residual variance",1,"realized_quantity",1.03268417661956,0.0212376088158996,1.032321531129,0.990960599438799,1.07428163555926,0.0326841766195578,0.0326841766195578,0.00106825540129845,0.0326841766195578,TRUE,0.0833210361204576,1000,4,250,"ok",""
"03_parameter_estimation","sparse_homogeneous",2,"st_bed_bayesc","st_bed_bayesc","BayesC","matched","causal_proportion","Causal proportion",0.00131610118185886,"realized_quantity",,,,,,,,,,,,0,4,0,"unavailable","aligned draw-level posterior component is not retained"
"03_parameter_estimation","sparse_homogeneous",2,"st_bed_bayesc","st_bed_bayesc","BayesC","matched","total_marker_effect_variance","Total marker-effect variance",0.412529278931576,"realized_quantity",,,,,,,,,,,,0,4,0,"unavailable","aligned draw-level posterior component is not retained"
"03_parameter_estimation","sparse_homogeneous",2,"st_bed_bayesr","st_bed_bayesr","BayesR","misspecified","effect_variance","Nonzero effect variance",0.00825058557863151,"realized_quantity",0.00362419607559427,0.000533105378771882,0.003586006050435,0.00271815231876286,0.00474823397930515,-0.00462638950303724,0.00462638950303724,2.14034798338132e-05,-0.560734684701568,FALSE,0.00203008166054229,4000,4,1000,"ok",""
"03_parameter_estimation","sparse_homogeneous",2,"st_bed_bayesr","st_bed_bayesr","BayesR","misspecified","genetic_variance","Genetic variance",0.428571428571429,"realized_quantity",0.455368550915239,0.0243017177433418,0.455191646103089,0.409012438854528,0.504468582386454,0.0267971223438107,0.0267971223438107,0.000718085765909159,0.062526618802225,TRUE,0.0954561435319264,4000,4,1000,"ok",""
"03_parameter_estimation","sparse_homogeneous",2,"st_bed_bayesr","st_bed_bayesr","BayesR","misspecified","heritability","Heritability",0.3,"realized_quantity",0.313251559834609,0.0130942680655715,0.313309095983406,0.2882374703964,0.33855067378919,0.0132515598346086,0.0132515598346086,0.000175603838050213,0.0441718661153621,TRUE,0.0503132033927896,4000,4,1000,"ok",""
"03_parameter_estimation","sparse_homogeneous",2,"st_bed_bayesr","st_bed_bayesr","BayesR","misspecified","residual_variance","Residual variance",1,"realized_quantity",0.997834536303337,0.0223652780266589,0.997288872030069,0.956135033300383,1.04272872057202,-0.00216546369666337,0.00216546369666337,4.689233021567e-06,-0.00216546369666337,TRUE,0.0865936872716383,4000,4,1000,"ok",""
"03_parameter_estimation","sparse_homogeneous",2,"st_bed_bayesr","st_bed_bayesr","BayesR","misspecified","causal_proportion","Causal proportion",0.00131610118185886,"realized_quantity",,,,,,,,,,,,0,4,0,"unavailable","aligned draw-level posterior component is not retained"
"03_parameter_estimation","sparse_homogeneous",2,"st_bed_bayesr","st_bed_bayesr","BayesR","misspecified","total_marker_effect_variance","Total marker-effect variance",0.412529278931576,"realized_quantity",,,,,,,,,,,,0,4,0,"unavailable","aligned draw-level posterior component is not retained"
"03_parameter_estimation","sparse_homogeneous",2,"st_csr_sbayesc","st_csr_sbayesc","BayesC","matched","effect_variance","Nonzero effect variance",0.00825058557863151,"realized_quantity",0.00990716108977842,0.00223204135545003,0.00958018422157649,0.00644766040679823,0.0152126779704954,0.00165657551114691,0.00165657551114691,2.74424242413165e-06,0.200782780247421,TRUE,0.00876501756369716,1000,4,250,"ok",""
"03_parameter_estimation","sparse_homogeneous",2,"st_csr_sbayesc","st_csr_sbayesc","BayesC","matched","genetic_variance","Genetic variance",0.428571428571429,"realized_quantity",0.475948221073789,0.0250742588782653,0.476189987065926,0.427510302318362,0.525072082695805,0.0473767925023602,0.0473767925023602,0.00224456046781169,0.110545849172174,TRUE,0.0975617803774428,1000,4,250,"ok",""
"03_parameter_estimation","sparse_homogeneous",2,"st_csr_sbayesc","st_csr_sbayesc","BayesC","matched","heritability","Heritability",0.3,"realized_quantity",0.327388380775506,0.0136608279837892,0.327498866602088,0.300302991709572,0.353528886974458,0.0273883807755056,0.0273883807755056,0.000750123401504084,0.0912946025850186,FALSE,0.053225895264886,1000,4,250,"ok",""
"03_parameter_estimation","sparse_homogeneous",2,"st_csr_sbayesc","st_csr_sbayesc","BayesC","matched","residual_variance","Residual variance",1,"realized_quantity",0.977376168247388,0.0225398301015488,0.977621846928018,0.933820892601318,1.02099765575453,-0.0226238317526124,0.0226238317526124,0.000511837763170513,-0.0226238317526124,TRUE,0.0871767631532083,1000,4,250,"ok",""
