"architecture","method","model_specification","estimand_id","replicate_count","successful_replicates","mean_truth","mean_posterior_mean","mean_bias","rmse","mae","observed_coverage_count","observed_coverage_proportion","coverage_note","empirical_coverage_95","coverage_observation","mean_interval_width_95","minimum","maximum","failure_count"
"sparse_homogeneous","st_bed_bayesc","matched","causal_proportion",5,0,,,,,,0,,"coarse observed coverage; each miss changes five-replicate coverage by 20 percentage points",,,,,,5
"sparse_mixture","st_bed_bayesr","matched","causal_proportion",5,0,,,,,,0,,"coarse observed coverage; each miss changes five-replicate coverage by 20 percentage points",,,,,,5
"sparse_homogeneous","st_csr_sbayesc","matched","causal_proportion",5,0,,,,,,0,,"coarse observed coverage; each miss changes five-replicate coverage by 20 percentage points",,,,,,5
"sparse_mixture","st_csr_sbayesr","matched","causal_proportion",5,0,,,,,,0,,"coarse observed coverage; each miss changes five-replicate coverage by 20 percentage points",,,,,,5
"sparse_mixture","st_bed_bayesc","misspecified","causal_proportion",5,0,,,,,,0,,"coarse observed coverage; each miss changes five-replicate coverage by 20 percentage points",,,,,,5
"sparse_homogeneous","st_bed_bayesr","misspecified","causal_proportion",5,0,,,,,,0,,"coarse observed coverage; each miss changes five-replicate coverage by 20 percentage points",,,,,,5
"sparse_mixture","st_csr_sbayesc","misspecified","causal_proportion",5,0,,,,,,0,,"coarse observed coverage; each miss changes five-replicate coverage by 20 percentage points",,,,,,5
"sparse_homogeneous","st_csr_sbayesr","misspecified","causal_proportion",5,0,,,,,,0,,"coarse observed coverage; each miss changes five-replicate coverage by 20 percentage points",,,,,,5
"sparse_homogeneous","st_bed_bayesc","matched","effect_variance",5,5,0.00848191081751592,0.0147327051811426,0.00625079436362668,0.00635148034570987,0.00625079436362668,2,0.4,"coarse observed coverage; each miss changes five-replicate coverage by 20 percentage points",0.4,,0.0170078860878416,0.0129099973550779,0.0163045823837547,0
"sparse_mixture","st_bed_bayesr","matched","effect_variance",5,5,0.00860458506036157,0.00389480805790436,-0.00470977700245722,0.00471252655025917,0.00470977700245722,0,0,"coarse observed coverage; each miss changes five-replicate coverage by 20 percentage points",0,,0.00228455411257929,0.00373017572369737,0.00407555830352623,0
"sparse_homogeneous","st_csr_sbayesc","matched","effect_variance",5,5,0.00848191081751592,0.0095292201438679,0.00104730932635198,0.00114053352591927,0.00104730932635198,5,1,"coarse observed coverage; each miss changes five-replicate coverage by 20 percentage points",1,,0.00874129232496111,0.00888471200401611,0.00990716108977842,0
"sparse_mixture","st_csr_sbayesr","matched","effect_variance",5,5,0.00860458506036157,0.0048695391012816,-0.00373504595907998,0.00374616296690063,0.00373504595907998,0,0,"coarse observed coverage; each miss changes five-replicate coverage by 20 percentage points",0,,0.00292140893100194,0.00464288884739712,0.00521596045816571,0
"sparse_mixture","st_bed_bayesc","misspecified","effect_variance",5,5,0.00860458506036157,0.0270053966044395,0.018400811544078,0.0188515197774224,0.018400811544078,0,0,"coarse observed coverage; each miss changes five-replicate coverage by 20 percentage points",0,,0.0409339784768046,0.0227593063902731,0.0344388147240108,0
"sparse_homogeneous","st_bed_bayesr","misspecified","effect_variance",5,5,0.00848191081751592,0.00341434501607332,-0.00506756580144261,0.00507372913172102,0.00506756580144261,0,0,"coarse observed coverage; each miss changes five-replicate coverage by 20 percentage points",0,,0.00194293615514506,0.00324781116779913,0.00362419607559427,0
"sparse_mixture","st_csr_sbayesc","misspecified","effect_variance",5,5,0.00860458506036157,0.0140717506503845,0.00546716559002296,0.00573115141333857,0.00546716559002296,3,0.6,"coarse observed coverage; each miss changes five-replicate coverage by 20 percentage points",0.6,,0.0167957411119308,0.0123729981548568,0.0168941639925015,0
"sparse_homogeneous","st_csr_sbayesr","misspecified","effect_variance",5,5,0.00848191081751592,0.00424675323074112,-0.0042351575867748,0.00424856290979445,0.0042351575867748,0,0,"coarse observed coverage; each miss changes five-replicate coverage by 20 percentage points",0,,0.00247223887694033,0.00405751456418595,0.0045585381106835,0
"sparse_homogeneous","st_bed_bayesc","matched","genetic_variance",5,5,0.428571428571429,0.38912353136719,-0.0394478972042382,0.045918439383934,0.0394478972042382,3,0.6,"coarse observed coverage; each miss changes five-replicate coverage by 20 percentage points",0.6,,0.087019779009646,0.358704899311302,0.420112186705872,0
"sparse_mixture","st_bed_bayesr","matched","genetic_variance",5,5,0.428571428571429,0.439636096215044,0.0110646676436158,0.0197643430116848,0.0179242729475477,5,1,"coarse observed coverage; each miss changes five-replicate coverage by 20 percentage points",1,,0.0918905597533398,0.411422415311599,0.456188746312683,0
"sparse_homogeneous","st_csr_sbayesc","matched","genetic_variance",5,5,0.428571428571429,0.422850462129855,-0.00572096644157367,0.0301043905762329,0.0246716834425178,5,1,"coarse observed coverage; each miss changes five-replicate coverage by 20 percentage points",1,,0.0943897180038096,0.387363103101314,0.475948221073789,0
"sparse_mixture","st_csr_sbayesr","matched","genetic_variance",5,5,0.428571428571429,0.568120418904762,0.139548990333333,0.142108727251723,0.139548990333333,0,0,"coarse observed coverage; each miss changes five-replicate coverage by 20 percentage points",0,,0.123199280800891,0.520721111004686,0.599845841742046,0
"sparse_mixture","st_bed_bayesc","misspecified","genetic_variance",5,5,0.428571428571429,0.408909784079882,-0.0196616444915461,0.0247754845937601,0.0196616444915461,4,0.8,"coarse observed coverage; each miss changes five-replicate coverage by 20 percentage points",0.8,,0.0854540384159613,0.383456843016944,0.425200477646787,0
"sparse_homogeneous","st_bed_bayesr","misspecified","genetic_variance",5,5,0.428571428571429,0.425044996014101,-0.00352643255732806,0.0223933636017378,0.0194988770914748,5,1,"coarse observed coverage; each miss changes five-replicate coverage by 20 percentage points",1,,0.0934854795535495,0.392812959028756,0.455368550915239,0
"sparse_mixture","st_csr_sbayesc","misspecified","genetic_variance",5,5,0.428571428571429,0.438436645678165,0.00986521710673617,0.0224006944735567,0.019491364415481,5,1,"coarse observed coverage; each miss changes five-replicate coverage by 20 percentage points",1,,0.0965910042231168,0.404506060299566,0.465319009265644,0
"sparse_homogeneous","st_csr_sbayesr","misspecified","genetic_variance",5,5,0.428571428571429,0.548020279646285,0.119448851074856,0.122866427104513,0.119448851074856,0,0,"coarse observed coverage; each miss changes five-replicate coverage by 20 percentage points",0,,0.121462647973811,0.510138858792894,0.598499865567009,0
"sparse_homogeneous","st_bed_bayesc","matched","heritability",5,5,0.3,0.27166256104576,-0.0283374389542398,0.0310235156506692,0.0283374389542398,2,0.4,"coarse observed coverage; each miss changes five-replicate coverage by 20 percentage points",0.4,,0.047972624361068,0.256090917629086,0.289067330910728,0
"sparse_mixture","st_bed_bayesr","matched","heritability",5,5,0.3,0.306222523697108,0.00622252369710761,0.0103092786924338,0.00902801981905397,5,1,"coarse observed coverage; each miss changes five-replicate coverage by 20 percentage points",1,,0.0504996579233449,0.292986259695134,0.315200774707246,0
"sparse_homogeneous","st_csr_sbayesc","matched","heritability",5,5,0.3,0.295069661595635,-0.0049303384043655,0.0178645086660635,0.0158856907145677,4,0.8,"coarse observed coverage; each miss changes five-replicate coverage by 20 percentage points",0.8,,0.0547554325884993,0.276472274879638,0.327388380775506,0
"sparse_mixture","st_csr_sbayesr","matched","heritability",5,5,0.3,0.39554990623744,0.0955499062374396,0.0966910685289012,0.0955499062374396,0,0,"coarse observed coverage; each miss changes five-replicate coverage by 20 percentage points",0,,0.0697362530345492,0.370625919576204,0.414328477157499,0
"sparse_mixture","st_bed_bayesc","misspecified","heritability",5,5,0.3,0.284504508901354,-0.0154954910986458,0.0172686114896052,0.0154954910986458,4,0.8,"coarse observed coverage; each miss changes five-replicate coverage by 20 percentage points",0.8,,0.0461234984987971,0.272727670718981,0.2925547883151,0
"sparse_homogeneous","st_bed_bayesr","misspecified","heritability",5,5,0.3,0.296874718718733,-0.00312528128126723,0.0117061182203301,0.0101424642671225,5,1,"coarse observed coverage; each miss changes five-replicate coverage by 20 percentage points",1,,0.0520124143150291,0.280608306438316,0.313251559834609,0
"sparse_mixture","st_csr_sbayesc","misspecified","heritability",5,5,0.3,0.305173620300341,0.00517362030034129,0.0120300865169146,0.0100189860838837,5,1,"coarse observed coverage; each miss changes five-replicate coverage by 20 percentage points",1,,0.0542860036932766,0.287886585541144,0.321222138442515,0
"sparse_homogeneous","st_csr_sbayesr","misspecified","heritability",5,5,0.3,0.382747255780936,0.0827472557809361,0.0842477946974623,0.0827472557809361,0,0,"coarse observed coverage; each miss changes five-replicate coverage by 20 percentage points",0,,0.0700154364741661,0.364276685882461,0.411857083791885,0
"sparse_homogeneous","st_bed_bayesc","matched","residual_variance",5,5,1,1.04177587698771,0.041775876987711,0.0420913588883212,0.041775876987711,1,0.2,"coarse observed coverage; each miss changes five-replicate coverage by 20 percentage points",0.2,,0.0841606609232564,1.03268417661956,1.04853324732549,0
"sparse_mixture","st_bed_bayesr","matched","residual_variance",5,5,1,0.995161298395973,-0.00483870160402697,0.00771015592033969,0.00715917280841902,5,1,"coarse observed coverage; each miss changes five-replicate coverage by 20 percentage points",1,,0.0852994673699365,0.989451236757616,1.00580117801098,0
"sparse_homogeneous","st_csr_sbayesc","matched","residual_variance",5,5,1,1.00880683535899,0.00880683535898761,0.0190082517029127,0.0178563680600326,5,1,"coarse observed coverage; each miss changes five-replicate coverage by 20 percentage points",1,,0.0912456045449575,0.977376168247388,1.027975901048,0
"sparse_mixture","st_csr_sbayesr","matched","residual_variance",5,5,1,0.867215232160844,-0.132784767839156,0.133499169345859,0.132784767839156,0,0,"coarse observed coverage; each miss changes five-replicate coverage by 20 percentage points",0,,0.104069105907289,0.84749404057734,0.883821900396078,0
"sparse_mixture","st_bed_bayesc","misspecified","residual_variance",5,5,1,1.02748185680254,0.0274818568025361,0.0283177453462487,0.0274818568025361,4,0.8,"coarse observed coverage; each miss changes five-replicate coverage by 20 percentage points",0.8,,0.0809214178908448,1.02104063987283,1.04019620536992,0
"sparse_homogeneous","st_bed_bayesr","misspecified","residual_variance",5,5,1,1.00542925429164,0.00542925429164129,0.00678949365938529,0.00629543977030664,5,1,"coarse observed coverage; each miss changes five-replicate coverage by 20 percentage points",1,,0.0879694822933957,0.997834536303337,1.00937144278045,0
"sparse_mixture","st_csr_sbayesc","misspecified","residual_variance",5,5,1,0.997188538596239,-0.0028114614037611,0.00855142429375869,0.00627918778913434,5,1,"coarse observed coverage; each miss changes five-replicate coverage by 20 percentage points",1,,0.0871262081612591,0.982729853669676,1.00494775183406,0
"sparse_homogeneous","st_csr_sbayesr","misspecified","residual_variance",5,5,1,0.882781742572229,-0.117218257427771,0.11843534481846,0.117218257427771,0,0,"coarse observed coverage; each miss changes five-replicate coverage by 20 percentage points",0,,0.106601324998905,0.854228616924894,0.901027504064388,0
"sparse_homogeneous","st_bed_bayesc","matched","total_marker_effect_variance",5,0,,,,,,0,,"coarse observed coverage; each miss changes five-replicate coverage by 20 percentage points",,,,,,5
"sparse_mixture","st_bed_bayesr","matched","total_marker_effect_variance",5,0,,,,,,0,,"coarse observed coverage; each miss changes five-replicate coverage by 20 percentage points",,,,,,5
"sparse_homogeneous","st_csr_sbayesc","matched","total_marker_effect_variance",5,0,,,,,,0,,"coarse observed coverage; each miss changes five-replicate coverage by 20 percentage points",,,,,,5
"sparse_mixture","st_csr_sbayesr","matched","total_marker_effect_variance",5,0,,,,,,0,,"coarse observed coverage; each miss changes five-replicate coverage by 20 percentage points",,,,,,5
"sparse_mixture","st_bed_bayesc","misspecified","total_marker_effect_variance",5,0,,,,,,0,,"coarse observed coverage; each miss changes five-replicate coverage by 20 percentage points",,,,,,5
"sparse_homogeneous","st_bed_bayesr","misspecified","total_marker_effect_variance",5,0,,,,,,0,,"coarse observed coverage; each miss changes five-replicate coverage by 20 percentage points",,,,,,5
"sparse_mixture","st_csr_sbayesc","misspecified","total_marker_effect_variance",5,0,,,,,,0,,"coarse observed coverage; each miss changes five-replicate coverage by 20 percentage points",,,,,,5
"sparse_homogeneous","st_csr_sbayesr","misspecified","total_marker_effect_variance",5,0,,,,,,0,,"coarse observed coverage; each miss changes five-replicate coverage by 20 percentage points",,,,,,5
