"architecture","replicate","data_selection_seed","architecture_seed","simulation_seed","method","fit_seed","chain","chain_seed"
"sparse_homogeneous",1,3301,6001,6002,"st_bed_bayesc",30101,1,130101
"sparse_homogeneous",1,3301,6001,6002,"st_bed_bayesc",30101,2,230101
"sparse_homogeneous",1,3301,6001,6002,"st_bed_bayesc",30101,3,330101
"sparse_homogeneous",1,3301,6001,6002,"st_bed_bayesc",30101,4,430101
"sparse_homogeneous",1,3301,6001,6002,"st_bed_bayesr",30102,1,130102
"sparse_homogeneous",1,3301,6001,6002,"st_bed_bayesr",30102,2,230102
"sparse_homogeneous",1,3301,6001,6002,"st_bed_bayesr",30102,3,330102
"sparse_homogeneous",1,3301,6001,6002,"st_bed_bayesr",30102,4,430102
"sparse_homogeneous",1,3301,6001,6002,"st_csr_sbayesc",30103,1,130103
"sparse_homogeneous",1,3301,6001,6002,"st_csr_sbayesc",30103,2,230103
"sparse_homogeneous",1,3301,6001,6002,"st_csr_sbayesc",30103,3,330103
"sparse_homogeneous",1,3301,6001,6002,"st_csr_sbayesc",30103,4,430103
"sparse_homogeneous",1,3301,6001,6002,"st_csr_sbayesr",30104,1,130104
"sparse_homogeneous",1,3301,6001,6002,"st_csr_sbayesr",30104,2,230104
"sparse_homogeneous",1,3301,6001,6002,"st_csr_sbayesr",30104,3,330104
"sparse_homogeneous",1,3301,6001,6002,"st_csr_sbayesr",30104,4,430104
"sparse_homogeneous",2,3301,6001,6003,"st_bed_bayesc",30201,1,130201
"sparse_homogeneous",2,3301,6001,6003,"st_bed_bayesc",30201,2,230201
"sparse_homogeneous",2,3301,6001,6003,"st_bed_bayesc",30201,3,330201
"sparse_homogeneous",2,3301,6001,6003,"st_bed_bayesc",30201,4,430201
"sparse_homogeneous",2,3301,6001,6003,"st_bed_bayesr",30202,1,130202
"sparse_homogeneous",2,3301,6001,6003,"st_bed_bayesr",30202,2,230202
"sparse_homogeneous",2,3301,6001,6003,"st_bed_bayesr",30202,3,330202
"sparse_homogeneous",2,3301,6001,6003,"st_bed_bayesr",30202,4,430202
"sparse_homogeneous",2,3301,6001,6003,"st_csr_sbayesc",30203,1,130203
"sparse_homogeneous",2,3301,6001,6003,"st_csr_sbayesc",30203,2,230203
"sparse_homogeneous",2,3301,6001,6003,"st_csr_sbayesc",30203,3,330203
"sparse_homogeneous",2,3301,6001,6003,"st_csr_sbayesc",30203,4,430203
"sparse_homogeneous",2,3301,6001,6003,"st_csr_sbayesr",30204,1,130204
"sparse_homogeneous",2,3301,6001,6003,"st_csr_sbayesr",30204,2,230204
"sparse_homogeneous",2,3301,6001,6003,"st_csr_sbayesr",30204,3,330204
"sparse_homogeneous",2,3301,6001,6003,"st_csr_sbayesr",30204,4,430204
