"architecture","replicate","estimand_id","comparison_id","focal_method","comparison_method","comparison_type","estimate_difference","absolute_error_difference","interval_width_difference","coverage_agreement"
"sparse_homogeneous",1,"causal_proportion","csr_vs_bed_bayesc","st_csr_sbayesc","st_bed_bayesc","BED-versus-CSR",1.76371456505546e-05,-1.76371456505546e-05,3.34821354141845e-05,TRUE
"sparse_homogeneous",1,"effect_variance","csr_vs_bed_bayesc","st_csr_sbayesc","st_bed_bayesc","BED-versus-CSR",-0.00392808720216492,-0.00392808720216492,-0.00558063209636387,TRUE
"sparse_homogeneous",1,"genetic_variance","csr_vs_bed_bayesc","st_csr_sbayesc","st_bed_bayesc","BED-versus-CSR",0.0279843580543103,-0.0279843580543103,0.00804893860343697,TRUE
"sparse_homogeneous",1,"heritability","csr_vs_bed_bayesc","st_csr_sbayesc","st_bed_bayesc","BED-versus-CSR",0.0192360087232039,-0.0192360087232039,0.00640654177195477,FALSE
"sparse_homogeneous",1,"residual_variance","csr_vs_bed_bayesc","st_csr_sbayesc","st_bed_bayesc","BED-versus-CSR",-0.0266131731624273,-0.0266131731624273,0.00977065371105379,FALSE
"sparse_homogeneous",1,"total_marker_effect_variance","csr_vs_bed_bayesc","st_csr_sbayesc","st_bed_bayesc","BED-versus-CSR",-0.14317836526396,0.00789443944563012,-0.20739798506929,TRUE
"sparse_mixture",1,"causal_proportion","csr_vs_bed_bayesc","st_csr_sbayesc","st_bed_bayesc","BED-versus-CSR",3.05764662770348e-05,-3.05764662770348e-05,-8.85226049254881e-06,TRUE
"sparse_mixture",1,"effect_variance","csr_vs_bed_bayesc","st_csr_sbayesc","st_bed_bayesc","BED-versus-CSR",-0.0106227266737704,-0.0106227266737704,-0.0162874337232967,FALSE
"sparse_mixture",1,"genetic_variance","csr_vs_bed_bayesc","st_csr_sbayesc","st_bed_bayesc","BED-versus-CSR",0.0301290615754182,-0.0218548943309698,0.0184176879759631,TRUE
"sparse_mixture",1,"heritability","csr_vs_bed_bayesc","st_csr_sbayesc","st_bed_bayesc","BED-versus-CSR",0.021861267546293,-0.0201022512469184,0.0107084003327961,TRUE
"sparse_mixture",1,"residual_variance","csr_vs_bed_bayesc","st_csr_sbayesc","st_bed_bayesc","BED-versus-CSR",-0.0347776049537534,-0.0347776049537534,0.00395314588280926,FALSE
"sparse_mixture",1,"total_marker_effect_variance","csr_vs_bed_bayesc","st_csr_sbayesc","st_bed_bayesc","BED-versus-CSR",-0.375571755054039,-0.375571755054039,-0.58404083555007,FALSE
"sparse_homogeneous",1,"effect_variance","csr_vs_bed_bayesr","st_csr_sbayesr","st_bed_bayesr","BED-versus-CSR",0.000792737182792632,-0.000792737182792632,0.000279912252627586,TRUE
"sparse_homogeneous",1,"genetic_variance","csr_vs_bed_bayesr","st_csr_sbayesr","st_bed_bayesr","BED-versus-CSR",0.113185819914038,0.105394567293186,0.0213374048712776,FALSE
"sparse_homogeneous",1,"heritability","csr_vs_bed_bayesr","st_csr_sbayesr","st_bed_bayesr","BED-versus-CSR",0.078826697944765,0.0716326471855184,0.013247744129615,FALSE
"sparse_homogeneous",1,"residual_variance","csr_vs_bed_bayesr","st_csr_sbayesr","st_bed_bayesr","BED-versus-CSR",-0.112291278040614,0.0972084261813725,0.0158512123910747,FALSE
"sparse_mixture",1,"effect_variance","csr_vs_bed_bayesr","st_csr_sbayesr","st_bed_bayesr","BED-versus-CSR",0.00098150822194029,-0.00098150822194029,0.000526320148414378,TRUE
"sparse_mixture",1,"genetic_variance","csr_vs_bed_bayesr","st_csr_sbayesr","st_bed_bayesr","BED-versus-CSR",0.129675005311702,0.129675005311702,0.0277612542661148,FALSE
"sparse_mixture",1,"heritability","csr_vs_bed_bayesr","st_csr_sbayesr","st_bed_bayesr","BED-versus-CSR",0.0897024803294013,0.0889484031552495,0.0240958700092527,FALSE
