"architecture","method","model_specification","estimand_id","replicate_count","successful_replicates","mean_truth","mean_posterior_mean","mean_bias","rmse","mae","empirical_coverage_95","coverage_observation","mean_interval_width_95","minimum","maximum","failure_count"
"sparse_homogeneous","st_bed_bayesc","matched","causal_proportion",1,1,0.00131610118185886,0.000999309158813984,-0.000316792023044876,0.000316792023044876,0.000316792023044876,,FALSE,0.000139954531302106,0.000999309158813984,0.000999309158813984,0
"sparse_homogeneous","st_csr_sbayesc","matched","causal_proportion",1,1,0.00131610118185886,0.00101694630446454,-0.000299154877394321,0.000299154877394321,0.000299154877394321,,FALSE,0.00017343666671629,0.00101694630446454,0.00101694630446454,0
"sparse_mixture","st_csr_sbayesr","matched","causal_proportion",1,1,0.00131610118185886,0.0099524436068886,0.00863634242502974,0.00863634242502974,0.00863634242502974,,FALSE,0.000548994646442983,0.0099524436068886,0.0099524436068886,0
"sparse_mixture","st_bed_bayesc","misspecified","causal_proportion",1,1,0.00131610118185886,0.000964314033613358,-0.000351787148245502,0.000351787148245502,0.000351787148245502,,FALSE,0.000174764439061355,0.000964314033613358,0.000964314033613358,0
"sparse_mixture","st_csr_sbayesc","misspecified","causal_proportion",1,1,0.00131610118185886,0.000994890499890393,-0.000321210681968467,0.000321210681968467,0.000321210681968467,,FALSE,0.000165912178568806,0.000994890499890393,0.000994890499890393,0
"sparse_homogeneous","st_csr_sbayesr","misspecified","causal_proportion",1,1,0.00131610118185886,0.0099858462906912,0.00866974510883234,0.00866974510883234,0.00866974510883234,,FALSE,0.000538826393038374,0.0099858462906912,0.0099858462906912,0
"sparse_homogeneous","st_bed_bayesc","matched","effect_variance",1,1,0.00852938484405529,0.0130267100964059,0.00449732525235066,0.00449732525235066,0.00449732525235066,,TRUE,0.0140781336117197,0.0130267100964059,0.0130267100964059,0
"sparse_mixture","st_bed_bayesr","matched","effect_variance",1,1,0.00849680704219547,0.00370388536224269,-0.00479292167995277,0.00479292167995277,0.00479292167995277,,FALSE,0.00210738273056283,0.00370388536224269,0.00370388536224269,0
"sparse_homogeneous","st_csr_sbayesc","matched","effect_variance",1,1,0.00852938484405529,0.00909862289424103,0.000569238050185742,0.000569238050185742,0.000569238050185742,,TRUE,0.00849750151535583,0.00909862289424103,0.00909862289424103,0
"sparse_mixture","st_csr_sbayesr","matched","effect_variance",1,1,0.00849680704219547,0.00468539358418298,-0.00381141345801249,0.00381141345801249,0.00381141345801249,,FALSE,0.00263370287897721,0.00468539358418298,0.00468539358418298,0
"sparse_mixture","st_bed_bayesc","misspecified","effect_variance",1,1,0.00849680704219547,0.0228745015316248,0.0143776944894293,0.0143776944894293,0.0143776944894293,,FALSE,0.0307440880549418,0.0228745015316248,0.0228745015316248,0
"sparse_homogeneous","st_bed_bayesr","misspecified","effect_variance",1,1,0.00852938484405529,0.0033080468312606,-0.00522133801279469,0.00522133801279469,0.00522133801279469,,FALSE,0.00203558959943553,0.0033080468312606,0.0033080468312606,0
"sparse_mixture","st_csr_sbayesc","misspecified","effect_variance",1,1,0.00849680704219547,0.0122517748578544,0.0037549678156589,0.0037549678156589,0.0037549678156589,,TRUE,0.0144566543316451,0.0122517748578544,0.0122517748578544,0
"sparse_homogeneous","st_csr_sbayesr","misspecified","effect_variance",1,1,0.00852938484405529,0.00410078401405323,-0.00442860083000206,0.00442860083000206,0.00442860083000206,,FALSE,0.00231550185206311,0.00410078401405323,0.00410078401405323,0
"sparse_homogeneous","st_bed_bayesc","matched","genetic_variance",1,1,0.428571428571429,0.3912788450132,-0.0372925835582295,0.0372925835582295,0.0372925835582295,,TRUE,0.0882315964785453,0.3912788450132,0.3912788450132,0
"sparse_mixture","st_bed_bayesr","matched","genetic_variance",1,1,0.428571428571429,0.430667456038169,0.00209602746673981,0.00209602746673981,0.00209602746673981,,TRUE,0.0910461062608018,0.430667456038169,0.430667456038169,0
"sparse_homogeneous","st_csr_sbayesc","matched","genetic_variance",1,1,0.428571428571429,0.41926320306751,-0.00930822550391913,0.00930822550391913,0.00930822550391913,,TRUE,0.0962805350819823,0.41926320306751,0.41926320306751,0
"sparse_mixture","st_csr_sbayesr","matched","genetic_variance",1,1,0.428571428571429,0.560342461349871,0.131771032778442,0.131771032778442,0.131771032778442,,FALSE,0.118807360526917,0.560342461349871,0.560342461349871,0
"sparse_mixture","st_bed_bayesc","misspecified","genetic_variance",1,1,0.428571428571429,0.402579450618235,-0.025991977953194,0.025991977953194,0.025991977953194,,TRUE,0.0801918029171774,0.402579450618235,0.402579450618235,0
"sparse_homogeneous","st_bed_bayesr","misspecified","genetic_variance",1,1,0.428571428571429,0.424675802261003,-0.00389562631042611,0.00389562631042611,0.00389562631042611,,TRUE,0.0945906985843781,0.424675802261003,0.424675802261003,0
"sparse_mixture","st_csr_sbayesc","misspecified","genetic_variance",1,1,0.428571428571429,0.432708512193653,0.0041370836222242,0.0041370836222242,0.0041370836222242,,TRUE,0.0986094908931405,0.432708512193653,0.432708512193653,0
"sparse_homogeneous","st_csr_sbayesr","misspecified","genetic_variance",1,1,0.428571428571429,0.537861622175041,0.109290193603612,0.109290193603612,0.109290193603612,,FALSE,0.115928103455656,0.537861622175041,0.537861622175041,0
"sparse_homogeneous","st_bed_bayesc","matched","heritability",1,1,0.3,0.272569152611474,-0.0274308473885257,0.0274308473885257,0.0274308473885257,,FALSE,0.0494145112521178,0.272569152611474,0.272569152611474,0
"sparse_mixture","st_bed_bayesr","matched","heritability",1,1,0.3,0.299622961412924,-0.000377038587075884,0.000377038587075884,0.000377038587075884,,TRUE,0.048795890071799,0.299622961412924,0.299622961412924,0
