"architecture","replicate","estimand_id","truth","truth_type","truth_definition","source","status","reason"
"sparse_homogeneous",1,"causal_proportion",0.00131610118185886,"realized_quantity","causal_count/marker_count","validated simulation on the fitted analysis scale","ok",""
"sparse_homogeneous",1,"effect_variance",0.00852938484405529,"realized_quantity","mean(causal_effects^2)","validated simulation on the fitted analysis scale","ok",""
"sparse_homogeneous",1,"total_marker_effect_variance",0.426469242202764,"realized_quantity","sum(marker_effects^2)","validated simulation on the fitted analysis scale","ok",""
"sparse_homogeneous",1,"genetic_variance",0.428571428571429,"realized_quantity","var(genetic_values)","validated simulation on the fitted analysis scale","ok",""
"sparse_homogeneous",1,"residual_variance",1,"realized_quantity","var(residuals)","validated simulation on the fitted analysis scale","ok",""
"sparse_homogeneous",1,"heritability",0.3,"realized_quantity","var(G)/(var(G)+var(E))","validated simulation on the fitted analysis scale","ok",""
"sparse_mixture",1,"causal_proportion",0.00131610118185886,"realized_quantity","causal_count/marker_count","validated simulation on the fitted analysis scale","ok",""
"sparse_mixture",1,"effect_variance",0.00849680704219547,"realized_quantity","mean(causal_effects^2)","validated simulation on the fitted analysis scale","ok",""
"sparse_mixture",1,"total_marker_effect_variance",0.424840352109774,"realized_quantity","sum(marker_effects^2)","validated simulation on the fitted analysis scale","ok",""
"sparse_mixture",1,"genetic_variance",0.428571428571429,"realized_quantity","var(genetic_values)","validated simulation on the fitted analysis scale","ok",""
"sparse_mixture",1,"residual_variance",1,"realized_quantity","var(residuals)","validated simulation on the fitted analysis scale","ok",""
"sparse_mixture",1,"heritability",0.3,"realized_quantity","var(G)/(var(G)+var(E))","validated simulation on the fitted analysis scale","ok",""
