"path","role","md5","source_commit"
"studies/03_parameter_estimation/config.R","configuration","2864e9b932426882f7c1aa88965d39f7","0d847a804a7a91e30f038c949562ac4b280d3bb5"
"studies/03_parameter_estimation/estimands.R","estimand registry","c6a17cd1673f724cc6c5704f714fbf9e","0d847a804a7a91e30f038c949562ac4b280d3bb5"
"studies/03_parameter_estimation/simulation.R","simulation and truth","87f2c8bf26201d1a4071ad6eee10d8f1","0d847a804a7a91e30f038c949562ac4b280d3bb5"
"studies/03_parameter_estimation/methods.R","method and posterior extraction","d075a476ceb42809a7318d0a7ef89b50","0d847a804a7a91e30f038c949562ac4b280d3bb5"
"studies/03_parameter_estimation/metrics.R","recovery metrics","7a664aa06831fe8d4262ea47c263b030","0d847a804a7a91e30f038c949562ac4b280d3bb5"
"studies/03_parameter_estimation/pilot.R","study helpers","208b8960a9735fd5ca1e56bd75f621ec","0d847a804a7a91e30f038c949562ac4b280d3bb5"
"studies/03_parameter_estimation/targets.R","targets pipeline","939e2b58324f96f83a1d10296dce239d","0d847a804a7a91e30f038c949562ac4b280d3bb5"
"studies/03_parameter_estimation/run_parameter_estimation_benchmark.R","benchmark entry point","449a15bc0e60220e57f8fe7f68019e0d","0d847a804a7a91e30f038c949562ac4b280d3bb5"
"studies/03_parameter_estimation/parameter_estimation_contract_smoke_test.R","contract smoke test","7d50ae54b5b0eb64f3cb85955e110211","0d847a804a7a91e30f038c949562ac4b280d3bb5"
"studies/03_parameter_estimation/worked_parameter_estimation_example.R","worked example","7cb533c121e43b033b759ad008bb978b","0d847a804a7a91e30f038c949562ac4b280d3bb5"
