"architecture","method","burnin_candidate","estimand","candidate_mean","reference_mean","reference_posterior_sd","standardized_mean_shift","stable","status"
"sparse_homogeneous","st_bed_bayesc",250,"effect_variance",0.0128305294089293,0.0128845699186207,0.00361455802284585,0.0149507932504846,TRUE,"ok"
"sparse_homogeneous","st_bed_bayesc",250,"genetic_variance",0.389653514220144,0.389661309400265,0.0222845156562892,0.000349802537384332,TRUE,"ok"
"sparse_homogeneous","st_bed_bayesc",250,"residual_variance",1.04446221765356,1.04491268667215,0.0225974102543231,0.01993454176956,TRUE,"ok"
"sparse_homogeneous","st_bed_bayesc",250,"heritability",0.271609975191231,0.271530048362585,0.0126717447613977,0.00630748410349832,TRUE,"ok"
"sparse_homogeneous","st_bed_bayesc",500,"effect_variance",0.0128327683757521,0.0128845699186207,0.00361455802284585,0.0143313629332339,TRUE,"ok"
"sparse_homogeneous","st_bed_bayesc",500,"genetic_variance",0.389528239344147,0.389661309400265,0.0222845156562892,0.00597141343210916,TRUE,"ok"
"sparse_homogeneous","st_bed_bayesc",500,"residual_variance",1.04446613640445,1.04491268667215,0.0225974102543231,0.0197611258402759,TRUE,"ok"
"sparse_homogeneous","st_bed_bayesc",500,"heritability",0.271545643332211,0.271530048362585,0.0126717447613977,0.00123068842686614,TRUE,"ok"
"sparse_homogeneous","st_bed_bayesc",1000,"effect_variance",0.0128845699186207,0.0128845699186207,0.00361455802284585,0,TRUE,"ok"
"sparse_homogeneous","st_bed_bayesc",1000,"genetic_variance",0.389661309400265,0.389661309400265,0.0222845156562892,0,TRUE,"ok"
"sparse_homogeneous","st_bed_bayesc",1000,"residual_variance",1.04491268667215,1.04491268667215,0.0225974102543231,0,TRUE,"ok"
"sparse_homogeneous","st_bed_bayesc",1000,"heritability",0.271530048362585,0.271530048362585,0.0126717447613977,0,TRUE,"ok"
"sparse_mixture","st_bed_bayesr",250,"effect_variance",0.00378744981786666,0.00378358857638025,0.000568484217564311,0.00679217006754109,TRUE,"ok"
"sparse_mixture","st_bed_bayesr",250,"genetic_variance",0.43394794564679,0.433362721276293,0.0238748752300901,0.0245121436177997,TRUE,"ok"
"sparse_mixture","st_bed_bayesr",250,"residual_variance",1.0055473529456,1.00547732115899,0.0221371744805647,0.00316353772558567,TRUE,"ok"
"sparse_mixture","st_bed_bayesr",250,"heritability",0.301351010566602,0.301083883257714,0.0131333752973134,0.020339577819148,TRUE,"ok"
"sparse_mixture","st_bed_bayesr",500,"effect_variance",0.00378002964956512,0.00378358857638025,0.000568484217564311,0.00626037927733776,TRUE,"ok"
"sparse_mixture","st_bed_bayesr",500,"genetic_variance",0.433656426353174,0.433362721276293,0.0238748752300901,0.0123018476138875,TRUE,"ok"
"sparse_mixture","st_bed_bayesr",500,"residual_variance",1.00537484070117,1.00547732115899,0.0221371744805647,0.00462933776425089,TRUE,"ok"
"sparse_mixture","st_bed_bayesr",500,"heritability",0.301246388150842,0.301083883257714,0.0131333752973134,0.0123734294840235,TRUE,"ok"
"sparse_mixture","st_bed_bayesr",1000,"effect_variance",0.00378358857638025,0.00378358857638025,0.000568484217564311,0,TRUE,"ok"
"sparse_mixture","st_bed_bayesr",1000,"genetic_variance",0.433362721276293,0.433362721276293,0.0238748752300901,0,TRUE,"ok"
"sparse_mixture","st_bed_bayesr",1000,"residual_variance",1.00547732115899,1.00547732115899,0.0221371744805647,0,TRUE,"ok"
"sparse_mixture","st_bed_bayesr",1000,"heritability",0.301083883257714,0.301083883257714,0.0131333752973134,0,TRUE,"ok"
"sparse_homogeneous","st_csr_sbayesc",250,"effect_variance",0.00895754402622075,0.00893928524388569,0.0020751277057019,0.00879887164770037,TRUE,"ok"
"sparse_homogeneous","st_csr_sbayesc",250,"genetic_variance",0.420131516016062,0.419539845036147,0.0239188767072206,0.024736570498567,TRUE,"ok"
