"architecture","method","chain_a","chain_b","effect_correlation","effect_rmse","maximum_absolute_effect_difference","pip_correlation","mean_absolute_pip_difference","top50_pip_overlap","status","reason"
"sparse_homogeneous","st_bed_bayesc",1,2,0.999975483007897,2.16583933691817e-05,0.00148076120423357,0.999909231548132,8.15807252594913e-05,0.98,"ok",""
"sparse_homogeneous","st_bed_bayesc",1,3,0.999953907621585,2.96772596795704e-05,0.00299127892017791,0.999855589859396,8.28617304098339e-05,0.94,"ok",""
"sparse_homogeneous","st_bed_bayesc",1,4,0.999976502407587,2.1193049963652e-05,0.00224690514360979,0.999894765550145,8.29319224728664e-05,0.98,"ok",""
"sparse_homogeneous","st_bed_bayesc",2,3,0.999955350309913,2.92177172802595e-05,0.0026992539159845,0.999859660559536,8.40725434971441e-05,0.94,"ok",""
"sparse_homogeneous","st_bed_bayesc",2,4,0.999976045593152,2.14005512995499e-05,0.00143140106887696,0.999904827343869,8.36864871504655e-05,0.96,"ok",""
"sparse_homogeneous","st_bed_bayesc",3,4,0.999973322581479,2.25797053326671e-05,0.00181406710086381,0.999906228733368,8.4212927623209e-05,0.94,"ok",""
"sparse_homogeneous","st_csr_sbayesc",1,2,0.999959500832712,2.81348693638053e-05,0.00202075924595497,0.99970889366132,0.000359041176418976,0.96,"ok",""
"sparse_homogeneous","st_csr_sbayesc",1,3,0.999943539964675,3.32421144982666e-05,0.00223818648960728,0.999684141733364,0.000361550542672387,0.96,"ok",""
"sparse_homogeneous","st_csr_sbayesc",1,4,0.999949981577056,3.12596099821212e-05,0.00233884304139944,0.999697409353427,0.000360453791687505,0.96,"ok",""
"sparse_homogeneous","st_csr_sbayesc",2,3,0.999954765469985,2.98138534669956e-05,0.00206005999671627,0.999710404071447,0.000358628798048661,0.94,"ok",""
"sparse_homogeneous","st_csr_sbayesc",2,4,0.999965205204528,2.61044305229392e-05,0.00107777033252503,0.99972866259675,0.000359023628403218,0.96,"ok",""
"sparse_homogeneous","st_csr_sbayesc",3,4,0.999951421815983,3.08056258402908e-05,0.00184363802497318,0.99971690687541,0.000361936599019066,0.94,"ok",""
"sparse_mixture","st_bed_bayesr",1,2,0.999921107358938,3.78991350321919e-05,0.00114374252198964,0.993674872956608,0.00176742737314978,0.98,"ok",""
"sparse_mixture","st_bed_bayesr",1,3,0.999920525089718,3.80813299256985e-05,0.00116091951963498,0.993760084509863,0.00175375746887421,1,"ok",""
"sparse_mixture","st_bed_bayesr",1,4,0.99992141141806,3.78976192075659e-05,0.00122656730547411,0.993732459860772,0.00176487413685697,0.98,"ok",""
"sparse_mixture","st_bed_bayesr",2,3,0.999920659838581,3.80296484812119e-05,0.000937744896866793,0.993703924332056,0.00175978521228712,0.98,"ok",""
"sparse_mixture","st_bed_bayesr",2,4,0.999918489012076,3.85685403090027e-05,0.00135948997782583,0.993679897068931,0.00176353171365148,0.96,"ok",""
"sparse_mixture","st_bed_bayesr",3,4,0.999918501123259,3.84948580924687e-05,0.00107774069141834,0.993687303225166,0.00176147859580778,0.98,"ok",""
"sparse_mixture","st_csr_sbayesr",1,2,0.999859929973374,5.36292522582151e-05,0.00171419333180481,0.995493729495737,0.00182374772972546,0.98,"ok",""
"sparse_mixture","st_csr_sbayesr",1,3,0.999856908339998,5.42573860348382e-05,0.00172720711645249,0.995442654097318,0.00182201925017329,1,"ok",""
"sparse_mixture","st_csr_sbayesr",1,4,0.999856886547446,5.43757328836378e-05,0.00151522588378219,0.995423939456167,0.0018269590166092,0.98,"ok",""
"sparse_mixture","st_csr_sbayesr",2,3,0.999856797818198,5.42647179433103e-05,0.0018093613920476,0.995489420405345,0.00182314232318181,0.98,"ok",""
"sparse_mixture","st_csr_sbayesr",2,4,0.999866171633409,5.25601307743492e-05,0.00143070655099741,0.995486792060027,0.00183071429198143,1,"ok",""
"sparse_mixture","st_csr_sbayesr",3,4,0.99985779223287,5.41113229982779e-05,0.00193273505492314,0.995449467240677,0.00182921393663411,0.98,"ok",""
