"architecture","method","burnin_candidate","retained_draw_candidate","overall_pass"
"sparse_homogeneous","st_bed_bayesc",250,250,TRUE
"sparse_mixture","st_bed_bayesr",250,250,FALSE
"sparse_homogeneous","st_csr_sbayesc",250,250,TRUE
"sparse_mixture","st_csr_sbayesr",250,250,FALSE
"sparse_homogeneous","st_bed_bayesc",500,250,TRUE
"sparse_mixture","st_bed_bayesr",500,250,FALSE
"sparse_homogeneous","st_csr_sbayesc",500,250,TRUE
"sparse_mixture","st_csr_sbayesr",500,250,FALSE
"sparse_homogeneous","st_bed_bayesc",1000,250,TRUE
"sparse_mixture","st_bed_bayesr",1000,250,FALSE
"sparse_homogeneous","st_csr_sbayesc",1000,250,TRUE
"sparse_mixture","st_csr_sbayesr",1000,250,FALSE
"sparse_homogeneous","st_bed_bayesc",250,500,TRUE
"sparse_mixture","st_bed_bayesr",250,500,TRUE
"sparse_homogeneous","st_csr_sbayesc",250,500,TRUE
"sparse_mixture","st_csr_sbayesr",250,500,FALSE
"sparse_homogeneous","st_bed_bayesc",500,500,TRUE
"sparse_mixture","st_bed_bayesr",500,500,FALSE
"sparse_homogeneous","st_csr_sbayesc",500,500,TRUE
"sparse_mixture","st_csr_sbayesr",500,500,FALSE
"sparse_homogeneous","st_bed_bayesc",1000,500,TRUE
"sparse_mixture","st_bed_bayesr",1000,500,FALSE
"sparse_homogeneous","st_csr_sbayesc",1000,500,TRUE
"sparse_mixture","st_csr_sbayesr",1000,500,FALSE
"sparse_homogeneous","st_bed_bayesc",250,1000,TRUE
"sparse_mixture","st_bed_bayesr",250,1000,FALSE
"sparse_homogeneous","st_csr_sbayesc",250,1000,TRUE
"sparse_mixture","st_csr_sbayesr",250,1000,FALSE
"sparse_homogeneous","st_bed_bayesc",500,1000,TRUE
"sparse_mixture","st_bed_bayesr",500,1000,TRUE
"sparse_homogeneous","st_csr_sbayesc",500,1000,TRUE
"sparse_mixture","st_csr_sbayesr",500,1000,TRUE
"sparse_homogeneous","st_bed_bayesc",1000,1000,TRUE
"sparse_mixture","st_bed_bayesr",1000,1000,TRUE
"sparse_homogeneous","st_csr_sbayesc",1000,1000,TRUE
"sparse_mixture","st_csr_sbayesr",1000,1000,TRUE
"sparse_homogeneous","st_bed_bayesc",250,2000,TRUE
"sparse_mixture","st_bed_bayesr",250,2000,TRUE
"sparse_homogeneous","st_csr_sbayesc",250,2000,TRUE
"sparse_mixture","st_csr_sbayesr",250,2000,TRUE
"sparse_homogeneous","st_bed_bayesc",500,2000,TRUE
"sparse_mixture","st_bed_bayesr",500,2000,TRUE
"sparse_homogeneous","st_csr_sbayesc",500,2000,TRUE
"sparse_mixture","st_csr_sbayesr",500,2000,TRUE
"sparse_homogeneous","st_bed_bayesc",1000,2000,TRUE
"sparse_mixture","st_bed_bayesr",1000,2000,TRUE
"sparse_homogeneous","st_csr_sbayesc",1000,2000,TRUE
"sparse_mixture","st_csr_sbayesr",1000,2000,TRUE
