"file","size_bytes","md5"
"benchmark_manifest.json",8093,"e59ad66b6794657ef3c784931bb0bdbe"
"burnin_stability.csv",6732,"8f42eea261c9985d5b48fa10469da09a"
"chain_agreement.csv",3785,"6bbce5cd0cc93c5088300cf3015db1bb"
"chain_extraction.R",1946,"b8073f34ce836f46ec333d40836836e8"
"chain_status.csv",847,"0473f01d845751cc2ffcb6302f813abc"
"chain_summaries.csv",1294,"b01d4e1dc26f1e6c91af1c6e4339a40f"
"checkpoint_summary.csv",2465,"998505003a8f1a3ae0fdb860caab1123"
"computational_summary.csv",1891,"12322647738f88c554236b6c99f59795"
"config.R",2113,"b8081ec177fae70027bd83f46c5ea7c3"
"convergence_contract_smoke_test.R",2054,"41903bd5e7216b1f3f30d8f4e2e8f0b7"
"convergence_diagnostics.csv",45207,"a459b80bcbf79c5a8e439d4faefa9f3d"
"diagnostic_registry.csv",392,"ca5912f47254a793fbd695d7d7ec281f"
"diagnostic_registry.R",786,"210c6a86c66ebd92def9b8412da84f6f"
"diagnostic_thresholds.csv",175,"4f3722df68d82445bb60928049e115ba"
"diagnostics.R",1653,"db9ef5667341b5e9a72e48902c09da96"
"example_data_manifest.csv",1581,"fb5be7c21b86eec5bba53f876fe66afb"
"method_recommendations.csv",1138,"e85e6b36de14346f1b4c6b458196aa7c"
"methods.R",3480,"dbb83c40497111d914cec988ed226ef4"
"pilot.R",1206,"e11026337e2554e570e120e69de2097a"
"README.md",560,"7fa1af67b3e1a8e1c3e065ae65442d08"
"recommendations.R",3257,"51d670cefcbfc76c6a48be307b26c8d2"
"run_convergence_benchmark.R",648,"b749c18853e4eee2257127580e7f19ad"
"scalar_chain_draws.csv",5608679,"edade992a86f1e1a9ca6726109ca7807"
"seed_registry.csv",869,"f75d209f32d29f7af6b6b457530787dd"
"session_info.txt",516,"465d26a211b0be6bb4626b327e7e9e3c"
"simulation_truth.csv",2012,"1c011da179adc0715831162757fb1aae"
"source_files.csv",4128,"439edb112cbf600aead61c936ad25537"
"targets.R",11434,"51c8f4d83a3af41e060926c042e4e3ac"
"worked_convergence_example.R",2591,"7498c1abd62be09e0c5cbd128bfda67c"
