"architecture","method","chain","status","runtime","method_total_runtime","error_class","error_message","raw_draw_count","nit_argument","nburn_argument","nthin","nchains_argument","ncores_argument","fit_seed","OMP_NUM_THREADS","OMP_THREAD_LIMIT","OPENBLAS_NUM_THREADS","MKL_NUM_THREADS"
"sparse_homogeneous","st_bed_bayesc",1,"ok",NA,304.67,"","",3000,3000,0,1,4,4,1051100,"4","4","1","1"
"sparse_homogeneous","st_bed_bayesc",2,"ok",NA,304.67,"","",3000,3000,0,1,4,4,1051200,"4","4","1","1"
"sparse_homogeneous","st_bed_bayesc",3,"ok",NA,304.67,"","",3000,3000,0,1,4,4,1051300,"4","4","1","1"
"sparse_homogeneous","st_bed_bayesc",4,"ok",NA,304.67,"","",3000,3000,0,1,4,4,1051400,"4","4","1","1"
"sparse_homogeneous","st_csr_sbayesc",1,"ok",NA,73.77,"","",3000,3000,0,1,4,4,1053100,"4","4","1","1"
"sparse_homogeneous","st_csr_sbayesc",2,"ok",NA,73.77,"","",3000,3000,0,1,4,4,1053200,"4","4","1","1"
"sparse_homogeneous","st_csr_sbayesc",3,"ok",NA,73.77,"","",3000,3000,0,1,4,4,1053300,"4","4","1","1"
"sparse_homogeneous","st_csr_sbayesc",4,"ok",NA,73.77,"","",3000,3000,0,1,4,4,1053400,"4","4","1","1"
"sparse_mixture","st_bed_bayesr",1,"ok",NA,2178.08,"","",3000,3000,0,1,4,4,2052100,"4","4","1","1"
"sparse_mixture","st_bed_bayesr",2,"ok",NA,2178.08,"","",3000,3000,0,1,4,4,2052200,"4","4","1","1"
"sparse_mixture","st_bed_bayesr",3,"ok",NA,2178.08,"","",3000,3000,0,1,4,4,2052300,"4","4","1","1"
"sparse_mixture","st_bed_bayesr",4,"ok",NA,2178.08,"","",3000,3000,0,1,4,4,2052400,"4","4","1","1"
"sparse_mixture","st_csr_sbayesr",1,"ok",NA,242.9,"","",3000,3000,0,1,4,4,2054100,"4","4","1","1"
"sparse_mixture","st_csr_sbayesr",2,"ok",NA,242.9,"","",3000,3000,0,1,4,4,2054200,"4","4","1","1"
"sparse_mixture","st_csr_sbayesr",3,"ok",NA,242.9,"","",3000,3000,0,1,4,4,2054300,"4","4","1","1"
"sparse_mixture","st_csr_sbayesr",4,"ok",NA,242.9,"","",3000,3000,0,1,4,4,2054400,"4","4","1","1"
