"architecture","replicate","method","burnin_candidate","retained_draw_candidate","estimand","rhat","ess_bulk","ess_tail","mcse_mean","posterior_sd","relative_mcse","chain_count","draws_per_chain","total_draws","rhat_pass","ess_bulk_pass","ess_tail_pass","relative_mcse_pass","chain_count_pass","finite_pass","overall_pass","status","reason"
"sparse_homogeneous",1,"st_bed_bayesc",250,250,"effect_variance",1.00135972058498,801.418968578185,912.048653694719,0.000133184327771933,0.00376401272438499,0.0353836018962169,4,250,1000,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"pass",""
"sparse_homogeneous",1,"st_bed_bayesc",250,250,"genetic_variance",0.999550053887292,1145.22960961058,845.819861234185,0.000650153585672815,0.0219989394435049,0.0295538604187016,4,250,1000,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"pass",""
"sparse_homogeneous",1,"st_bed_bayesc",250,250,"residual_variance",1.00649278331029,901.639123542653,947.179532099445,0.00074873459226076,0.0224419395855776,0.0333631854504205,4,250,1000,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"pass",""
"sparse_homogeneous",1,"st_bed_bayesc",250,250,"heritability",0.999755399092801,1127.18132732787,881.249019671064,0.000371380851503994,0.0124867642079517,0.0297419607929727,4,250,1000,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"pass",""
"sparse_homogeneous",1,"st_bed_bayesc",250,500,"effect_variance",1.00404855847589,1637.56804655106,1767.70208367751,9.04758261123324e-05,0.00365418459801301,0.0247595116463271,4,500,2000,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"pass",""
"sparse_homogeneous",1,"st_bed_bayesc",250,500,"genetic_variance",0.999034337551225,2247.36191296165,1974.59245105919,0.000472755202184039,0.0223882702803976,0.0211162004149096,4,500,2000,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"pass",""
"sparse_homogeneous",1,"st_bed_bayesc",250,500,"residual_variance",1.00311867690853,1831.46475865589,1854.01614149653,0.000520189432733981,0.0222304039369442,0.0233999091608718,4,500,2000,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"pass",""
"sparse_homogeneous",1,"st_bed_bayesc",250,500,"heritability",1.00035766297152,2192.97311467254,1952.50611594481,0.000271806996434325,0.0127275936126975,0.0213557255758983,4,500,2000,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"pass",""
"sparse_homogeneous",1,"st_bed_bayesc",250,1000,"effect_variance",1.00058724765258,3357.09850704268,3664.23831215658,6.15255228761889e-05,0.0035527169888015,0.0173178789839222,4,1000,4000,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"pass",""
"sparse_homogeneous",1,"st_bed_bayesc",250,1000,"genetic_variance",0.999512422094058,4364.62886701701,3794.81208078957,0.000343855487170511,0.0226937920155486,0.015151962569099,4,1000,4000,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"pass",""
