"architecture","method","chain_a","chain_b","effect_correlation","effect_rmse","maximum_absolute_effect_difference","pip_correlation","mean_absolute_pip_difference","top50_pip_overlap","status","reason"
"sparse_homogeneous","st_bed_bayesc",1,2,0.999975203918831,2.1833459382931e-05,0.00173624116454569,0.999894748476428,8.36338431031911e-05,0.96,"ok",""
"sparse_homogeneous","st_bed_bayesc",1,3,0.999975958471221,2.16458158419992e-05,0.001954300913038,0.999916439150407,8.29582444965036e-05,0.94,"ok",""
"sparse_homogeneous","st_bed_bayesc",1,4,0.999971373268315,2.3604474535157e-05,0.00175667795201731,0.999904061469817,8.20896177164767e-05,0.98,"ok",""
"sparse_homogeneous","st_bed_bayesc",2,3,0.999969072676304,2.47558530360997e-05,0.00274349150090548,0.999885583253577,8.26248321970993e-05,0.98,"ok",""
"sparse_homogeneous","st_bed_bayesc",2,4,0.999980611725525,1.92980925973756e-05,0.00113839532104579,0.999911025308029,8.20018776376861e-05,0.96,"ok",""
"sparse_homogeneous","st_bed_bayesc",3,4,0.999972674396802,2.36676637740465e-05,0.00249606156938005,0.99990769685192,8.25370921183087e-05,0.94,"ok",""
"sparse_homogeneous","st_csr_sbayesc",1,2,0.999958663091587,2.848293731313e-05,0.00129922777060146,0.999712797547145,0.00036236652540514,0.96,"ok",""
"sparse_homogeneous","st_csr_sbayesc",1,3,0.99995407300366,3.07029594051731e-05,0.00163524827098651,0.999694620575421,0.00036301580198819,0.96,"ok",""
"sparse_homogeneous","st_csr_sbayesc",1,4,0.999957157331122,2.93231515681648e-05,0.00148468013451118,0.999707801658364,0.000363059672027585,0.98,"ok",""
"sparse_homogeneous","st_csr_sbayesc",2,3,0.999953791632419,3.03721958836826e-05,0.00162274753816533,0.999718986610665,0.000361875180963913,0.98,"ok",""
"sparse_homogeneous","st_csr_sbayesc",2,4,0.99996093872054,2.77335395437808e-05,0.00165518539042488,0.999716230034823,0.000361164486325709,0.98,"ok",""
"sparse_homogeneous","st_csr_sbayesc",3,4,0.999954131899598,3.00058829160565e-05,0.00140761359640608,0.999693638214066,0.000365025049792495,0.98,"ok",""
"sparse_mixture","st_bed_bayesr",1,2,0.999914288408767,3.95258372198331e-05,0.00173556551850385,0.993657032018193,0.0017631456573048,0.96,"ok",""
"sparse_mixture","st_bed_bayesr",1,3,0.999917731195903,3.92830303399544e-05,0.00125040855554859,0.993679370600927,0.00176139085572899,0.96,"ok",""
"sparse_mixture","st_bed_bayesr",1,4,0.999917051020184,3.88567260075111e-05,0.00154367709053506,0.993674682076974,0.0017672957630316,0.96,"ok",""
"sparse_mixture","st_bed_bayesr",2,3,0.999923088417949,3.77019113006973e-05,0.000892782589529038,0.993698204697479,0.00176175059005203,0.96,"ok",""
"sparse_mixture","st_bed_bayesr",2,4,0.999920303912047,3.80713066552464e-05,0.00103720034876006,0.993652224716904,0.00176546199538487,0.96,"ok",""
"sparse_mixture","st_bed_bayesr",3,4,0.99992353040788,3.77319459112058e-05,0.000889932543030709,0.993657039907992,0.00176953313504076,0.96,"ok",""
"sparse_mixture","st_csr_sbayesr",1,2,0.999862751987929,5.30794470405537e-05,0.00144435683172196,0.99547893962237,0.00182731875093224,0.98,"ok",""
"sparse_mixture","st_csr_sbayesr",1,3,0.999845828687588,5.62547994748502e-05,0.00235635856691678,0.995458310563094,0.00182408114202487,1,"ok",""
"sparse_mixture","st_csr_sbayesr",1,4,0.999867708210976,5.2093419403851e-05,0.00141259638975488,0.995560215832003,0.00181325401630211,1,"ok",""
"sparse_mixture","st_csr_sbayesr",2,3,0.999843206098234,5.67829495079093e-05,0.00224729137338498,0.995379651394191,0.00183351320049485,0.98,"ok",""
"sparse_mixture","st_csr_sbayesr",2,4,0.999861160118066,5.33947289958832e-05,0.00158817746288062,0.995503156443156,0.00182103656129083,0.98,"ok",""
"sparse_mixture","st_csr_sbayesr",3,4,0.999852438639313,5.50149437317972e-05,0.00158736080496624,0.995426659076231,0.00183171452887965,1,"ok",""
