"architecture","method","chain","effect_variance.mean","effect_variance.sd","effect_variance.minimum","effect_variance.maximum","genetic_variance.mean","genetic_variance.sd","genetic_variance.minimum","genetic_variance.maximum","residual_variance.mean","residual_variance.sd","residual_variance.minimum","residual_variance.maximum","heritability.mean","heritability.sd","heritability.minimum","heritability.maximum"
"sparse_homogeneous","st_bed_bayesc",1,0.0127851818,0.0035624566,0.0014893193,0.0368315545,0.39003165,0.02294777,0.28794681,0.57331864,1.04487261,0.02226412,0.91799642,1.14899205,0.27171503,0.01298863,0.21602985,0.38443831
"sparse_mixture","st_bed_bayesr",1,0.0037547296,0.0005733262,0.0017094486,0.0065076097,0.43351237,0.02387471,0.35282060,0.52868647,1.00500410,0.02225198,0.92771931,1.08917074,0.30125667,0.01317570,0.25995726,0.34925715
"sparse_homogeneous","st_csr_sbayesc",1,0.0088244139,0.0020700818,0.0017282812,0.0212022029,0.41875953,0.02521147,0.33361902,0.85474218,1.01486065,0.02535234,0.48103757,1.09971785,0.29201840,0.01524101,0.24692881,0.63988257
"sparse_mixture","st_csr_sbayesr",1,0.0046909727,0.0007248081,0.0022125269,0.0085546220,0.56048114,0.03103248,0.45691731,0.67444334,0.87855573,0.02700103,0.71511191,0.96760487,0.38937833,0.01776537,0.32905396,0.45591528
"sparse_homogeneous","st_bed_bayesc",2,0.0127861125,0.0035787650,0.0013962967,0.0347281198,0.38976208,0.02247255,0.30079462,0.55445084,1.04517731,0.02272523,0.88717390,1.13790843,0.27153122,0.01283841,0.21773879,0.38460137
"sparse_mixture","st_bed_bayesr",2,0.0037573466,0.0005708651,0.0016250974,0.0063363139,0.43320422,0.02317954,0.35487890,0.51369881,1.00567026,0.02211982,0.93125514,1.09330648,0.30097437,0.01272149,0.25505446,0.34125276
"sparse_homogeneous","st_csr_sbayesc",2,0.0088830840,0.0020889927,0.0018498620,0.0192454311,0.41971264,0.02529413,0.33963071,0.86880108,1.01492067,0.02545388,0.50598990,1.10258000,0.29247371,0.01514046,0.24978050,0.63195140
"sparse_mixture","st_csr_sbayesr",2,0.0047332971,0.0007178177,0.0019749730,0.0076792189,0.56111662,0.03154251,0.45049955,0.68449577,0.87860229,0.02745000,0.70075872,0.97490645,0.38963225,0.01806229,0.31969845,0.45740226
"sparse_homogeneous","st_bed_bayesc",3,0.0128261948,0.0035966265,0.0012408407,0.0361833006,0.39054166,0.02257958,0.30608733,0.53767029,1.04348354,0.02257537,0.88400727,1.12397982,0.27224400,0.01282630,0.22602172,0.37819426
"sparse_mixture","st_bed_bayesr",3,0.0037222813,0.0005526061,0.0018162766,0.0060558552,0.43185297,0.02337620,0.36033889,0.50803269,1.00550752,0.02224363,0.89681326,1.08380901,0.30034961,0.01288243,0.25808400,0.34431484
"sparse_homogeneous","st_csr_sbayesc",3,0.0089273263,0.0020930020,0.0016574255,0.0222259973,0.42044478,0.02518262,0.34446855,0.78574028,1.01518071,0.02531697,0.54312073,1.11334538,0.29277611,0.01486583,0.24753193,0.59128854
"sparse_mixture","st_csr_sbayesr",3,0.0046765459,0.0007214911,0.0018969842,0.0076221399,0.56020559,0.03153236,0.46017483,0.69448419,0.87942376,0.02708613,0.68285129,0.96548670,0.38901780,0.01789758,0.33256319,0.48503312
"sparse_homogeneous","st_bed_bayesc",4,0.0127903293,0.0034683885,0.0013718007,0.0360139553,0.38905375,0.02245280,0.31169242,0.56365206,1.04493309,0.02226946,0.86529642,1.12120351,0.27120615,0.01249436,0.22688779,0.39445233
"sparse_mixture","st_bed_bayesr",4,0.0037433655,0.0005473581,0.0018531851,0.0061606402,0.43319577,0.02415249,0.34977528,0.51434889,1.00528742,0.02237324,0.93791638,1.07666945,0.30103992,0.01329562,0.24990095,0.35092348
"sparse_homogeneous","st_csr_sbayesc",4,0.0088957257,0.0020436179,0.0016533497,0.0189064853,0.42048645,0.02552895,0.34062287,0.83703301,1.01441362,0.02541034,0.51462180,1.09133670,0.29295192,0.01517005,0.24422074,0.61926537
"sparse_mixture","st_csr_sbayesr",4,0.0046465024,0.0007208898,0.0018646204,0.0074590225,0.56037997,0.03125877,0.45876244,0.66379493,0.87887247,0.02670014,0.68036587,0.98988842,0.38924215,0.01781232,0.32754375,0.46504233
