"file","size_bytes","md5"
"benchmark_manifest.json",8321,"9164114a137db5d75a4c5aa3b1e0d5a5"
"burnin_stability.csv",6792,"bc1aa7b23930e7a2d677cfb2c0a4ec6a"
"chain_agreement.csv",3805,"a89be2e64887495836a348963a798288"
"chain_extraction.R",1836,"d71b279cea8f1d50ea003e2eaf04d15f"
"chain_status.csv",864,"0473f01d845751cc2ffcb6302f813abc"
"chain_summaries.csv",3977,"c17d6edc56b3ea949cd3e42a323b0c89"
"checkpoint_summary.csv",2512,"bb52696d85334c4573ccad69c9331aaa"
"computational_summary.csv",1880,"ba83715cdc568bf8f4a5c7c317b2fb5d"
"config.R",1643,"001d8f2fd0d9424e85621a8d48c2bd6e"
"convergence_contract_smoke_test.R",2054,"41903bd5e7216b1f3f30d8f4e2e8f0b7"
"convergence_diagnostics.csv",44974,"023ae01348ee7d3193e0beecf5fc300f"
"diagnostic_registry.csv",399,"ca5912f47254a793fbd695d7d7ec281f"
"diagnostic_registry.R",786,"210c6a86c66ebd92def9b8412da84f6f"
"diagnostic_thresholds.csv",182,"4f3722df68d82445bb60928049e115ba"
"diagnostics.R",1574,"85f19ce265f01dbc950bde7992a60606"
"example_data_manifest.csv",1587,"fb5be7c21b86eec5bba53f876fe66afb"
"method_recommendations.csv",1137,"8f56eef46fea45302a4f5861b0ecbddc"
"methods.R",3293,"679dd758177f73f436fbdda69cc46f39"
"pilot.R",887,"8c8d2da88ee3d781b910325f48d08c91"
"README.md",658,"9c6554f3fe214b89c2475d26171ae089"
"recommendations.R",3257,"51d670cefcbfc76c6a48be307b26c8d2"
"run_convergence_benchmark.R",648,"b749c18853e4eee2257127580e7f19ad"
"scalar_chain_draws.csv",5560944,"5f6d342a0ef8bf6a123d3fea5c9b504e"
"seed_registry.csv",854,"9193986de8b2ad49d14df3aeb904a79e"
"session_info.txt",570,"464ab5175d0872ce3671d53586053635"
"simulation_truth.csv",2025,"1c011da179adc0715831162757fb1aae"
"source_files.csv",2495,"6811fc122e1b0e990db1203f3e857e89"
"targets.R",11390,"1ab5ea2fa48512960d5701092e756132"
"worked_convergence_example.R",2591,"7498c1abd62be09e0c5cbd128bfda67c"
