"architecture","method","chain","status","runtime","method_total_runtime","error_class","error_message","raw_draw_count","nit_argument","nburn_argument","nthin","nchains_argument","ncores_argument","fit_seed","OMP_NUM_THREADS","OMP_THREAD_LIMIT","OPENBLAS_NUM_THREADS","MKL_NUM_THREADS"
"sparse_homogeneous","st_bed_bayesc",1,"ok",NA,695.13,"","",3000,3000,0,1,4,4,51100,"1","1","1","1"
"sparse_homogeneous","st_bed_bayesc",2,"ok",NA,695.13,"","",3000,3000,0,1,4,4,51200,"1","1","1","1"
"sparse_homogeneous","st_bed_bayesc",3,"ok",NA,695.13,"","",3000,3000,0,1,4,4,51300,"1","1","1","1"
"sparse_homogeneous","st_bed_bayesc",4,"ok",NA,695.13,"","",3000,3000,0,1,4,4,51400,"1","1","1","1"
"sparse_homogeneous","st_csr_sbayesc",1,"ok",NA,297.3,"","",3000,3000,0,1,4,4,53100,"1","1","1","1"
"sparse_homogeneous","st_csr_sbayesc",2,"ok",NA,297.3,"","",3000,3000,0,1,4,4,53200,"1","1","1","1"
"sparse_homogeneous","st_csr_sbayesc",3,"ok",NA,297.3,"","",3000,3000,0,1,4,4,53300,"1","1","1","1"
"sparse_homogeneous","st_csr_sbayesc",4,"ok",NA,297.3,"","",3000,3000,0,1,4,4,53400,"1","1","1","1"
"sparse_mixture","st_bed_bayesr",1,"ok",NA,2548.72,"","",3000,3000,0,1,4,4,62100,"1","1","1","1"
"sparse_mixture","st_bed_bayesr",2,"ok",NA,2548.72,"","",3000,3000,0,1,4,4,62200,"1","1","1","1"
"sparse_mixture","st_bed_bayesr",3,"ok",NA,2548.72,"","",3000,3000,0,1,4,4,62300,"1","1","1","1"
"sparse_mixture","st_bed_bayesr",4,"ok",NA,2548.72,"","",3000,3000,0,1,4,4,62400,"1","1","1","1"
"sparse_mixture","st_csr_sbayesr",1,"ok",NA,201.69,"","",3000,3000,0,1,4,4,64100,"1","1","1","1"
"sparse_mixture","st_csr_sbayesr",2,"ok",NA,201.69,"","",3000,3000,0,1,4,4,64200,"1","1","1","1"
"sparse_mixture","st_csr_sbayesr",3,"ok",NA,201.69,"","",3000,3000,0,1,4,4,64300,"1","1","1","1"
"sparse_mixture","st_csr_sbayesr",4,"ok",NA,201.69,"","",3000,3000,0,1,4,4,64400,"1","1","1","1"
