"architecture","method","chain","simulation_seed","fit_seed"
"sparse_homogeneous","st_bed_bayesc",1,6002,51100
"sparse_homogeneous","st_bed_bayesc",2,6002,51200
"sparse_homogeneous","st_bed_bayesc",3,6002,51300
"sparse_homogeneous","st_bed_bayesc",4,6002,51400
"sparse_homogeneous","st_csr_sbayesc",1,6002,53100
"sparse_homogeneous","st_csr_sbayesc",2,6002,53200
"sparse_homogeneous","st_csr_sbayesc",3,6002,53300
"sparse_homogeneous","st_csr_sbayesc",4,6002,53400
"sparse_mixture","st_bed_bayesr",1,7002,62100
"sparse_mixture","st_bed_bayesr",2,7002,62200
"sparse_mixture","st_bed_bayesr",3,7002,62300
"sparse_mixture","st_bed_bayesr",4,7002,62400
"sparse_mixture","st_csr_sbayesr",1,7002,64100
"sparse_mixture","st_csr_sbayesr",2,7002,64200
"sparse_mixture","st_csr_sbayesr",3,7002,64300
"sparse_mixture","st_csr_sbayesr",4,7002,64400
