"path","role","git_blob_sha","md5","source_commit","source_url"
"studies/04_convergence/config.R","configuration","2e79e2d14f9fbc2f920b0b70f4ecc25eccd8268f","001d8f2fd0d9424e85621a8d48c2bd6e","6296dce0f4c0507227d9d25017b1f977cf35bde9",NA
"studies/04_convergence/diagnostic_registry.R","diagnostic registry","ccebf08668d0e32b43b0bfac9ca042172983215f","210c6a86c66ebd92def9b8412da84f6f","6296dce0f4c0507227d9d25017b1f977cf35bde9",NA
"studies/04_convergence/methods.R","method execution","fe9a29028dbc4d6c23a94f02d9a1283393aba6ba","679dd758177f73f436fbdda69cc46f39","6296dce0f4c0507227d9d25017b1f977cf35bde9",NA
"studies/04_convergence/chain_extraction.R","chain extraction","ec8b3bf5dbadf7f5d827d44dd6688bfb41a719c1","d71b279cea8f1d50ea003e2eaf04d15f","6296dce0f4c0507227d9d25017b1f977cf35bde9",NA
"studies/04_convergence/diagnostics.R","diagnostics","87f4d8c2bb1ce2e777798944072fb91e597a5af2","85f19ce265f01dbc950bde7992a60606","6296dce0f4c0507227d9d25017b1f977cf35bde9",NA
"studies/04_convergence/recommendations.R","recommendations","3064f5012a5a9f75f2192d68f6f69b0e7779289f","51d670cefcbfc76c6a48be307b26c8d2","6296dce0f4c0507227d9d25017b1f977cf35bde9",NA
"studies/04_convergence/run_convergence_benchmark.R","entry point","80bf0a1d50e1a82b9840ce8ec3886580e022aaeb","b749c18853e4eee2257127580e7f19ad","6296dce0f4c0507227d9d25017b1f977cf35bde9",NA
"studies/04_convergence/convergence_contract_smoke_test.R","contract smoke test","e0808499a2cd3c159c50ce6cc300572171d1e468","41903bd5e7216b1f3f30d8f4e2e8f0b7","6296dce0f4c0507227d9d25017b1f977cf35bde9",NA
"studies/04_convergence/worked_convergence_example.R","worked example","e0e13c9998dbd436fc3acd13ac71c5b655ef3ec1","7498c1abd62be09e0c5cbd128bfda67c","6296dce0f4c0507227d9d25017b1f977cf35bde9",NA
"studies/04_convergence/pilot.R","study helpers","7f87c99c01771850c51caaa721c9b0769da44acc","8c8d2da88ee3d781b910325f48d08c91","6296dce0f4c0507227d9d25017b1f977cf35bde9",NA
"studies/04_convergence/targets.R","targets pipeline","f10ef265c3d76c5a2443beae435736069ff1a74c","1ab5ea2fa48512960d5701092e756132","6296dce0f4c0507227d9d25017b1f977cf35bde9",NA
"studies/04_convergence/promotion.R","capsule validation","3f27129de6bd7452a768bed454c4ef57b7347b54","112b95469f4f2b06330ac54a5373d789","6296dce0f4c0507227d9d25017b1f977cf35bde9",NA
"studies/04_convergence/promote_convergence_results.R","capsule promotion","a7bc5d89b85d45336fc93324b9e9184a6dd31e45","84fdfc52ae9394f35d5abccc7adc5ec8","6296dce0f4c0507227d9d25017b1f977cf35bde9",NA
