"architecture","replicate","configuration","method","estimand","burnin_candidate","retained_draw_candidate","rhat","ess_bulk","ess_tail","mcse_mean","posterior_sd","relative_mcse","chain_count","draws_per_chain","rhat_pass","ess_bulk_pass","ess_tail_pass","relative_mcse_pass","chain_count_pass","finite_nonconstant_pass","overall_pass","limiting_diagnostic"
"sparse_homogeneous",1,"bed","bayesc","global_nonnull_proportion",0,250,1.0387421399933,68.6829814324585,102.433876803817,5.9364798488181e-06,4.91640559811778e-05,0.120748374607068,4,250,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,"rhat"
"sparse_homogeneous",1,"bed","bayesc","heritability",0,250,1.00085476449704,939.324886137646,991.079615333965,0.000453005253216019,0.0139738021331834,0.0324181814583072,4,250,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"rhat"
"sparse_homogeneous",1,"bed","bayesc","vbs",0,250,1.00690267704579,707.545735946085,661.371605532695,0.000235013030670892,0.00648875186948036,0.0362185263665681,4,250,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"rhat"
"sparse_homogeneous",1,"bed","bayesc","ves",0,250,1.00286666204149,1050.14234970906,916.414151616272,0.000805471720620309,0.0260530356308452,0.0309166168592915,4,250,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"rhat"
"sparse_homogeneous",1,"bed","bayesc","vgs",0,250,0.999956427380034,800.378249399042,990.362301724787,0.000869295987313301,0.0247454432455598,0.0351295379390419,4,250,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"rhat"
"sparse_homogeneous",1,"bed","bayesc","vld",0,250,1.00653044558738,818.285638627702,573.545810743667,0.000110875078054234,0.00313558741943963,0.0353602254451094,4,250,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"rhat"
"sparse_homogeneous",1,"bed","bayesc","vle",0,250,1.00079453760849,770.645763392317,978.73571502382,0.000902378888544374,0.0252814512741443,0.0356933183447127,4,250,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"rhat"
"sparse_homogeneous",1,"block_csr","sbayesc","global_nonnull_proportion",0,250,1.00359571144126,818.174061860546,883.257022663883,1.50252728953179e-06,4.29050803557748e-05,0.035019798985869,4,250,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"rhat"
"sparse_homogeneous",1,"block_csr","sbayesc","heritability",0,250,0.999294146101609,897.97625180174,954.501669105784,0.000599641867422227,0.0180413369439237,0.03323710816366,4,250,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"rhat"
"sparse_homogeneous",1,"block_csr","sbayesc","vbs",0,250,0.999012815737314,644.172799883484,880.883245816599,9.76138994799231e-05,0.00253332528996741,0.0385319247656422,4,250,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"rhat"
"sparse_homogeneous",1,"block_csr","sbayesc","ves",0,250,0.998816132886937,628.453170849849,838.50758949119,0.00119962778622974,0.0300387261032755,0.039936040633192,4,250,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"rhat"
"sparse_homogeneous",1,"block_csr","sbayesc","vgs",0,250,0.999010876198192,1163.55537068622,992.773788615418,0.000900658038934148,0.0306586044197028,0.0293770070745731,4,250,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"rhat"
