"architecture","replicate","configuration","method","status","chain_count","input_hash","source_sha","package_version","operator_contract","representation","eigen_prop","warnings","error_message"
"sparse_homogeneous",1,"bed","bayesc","ok",4,"1a3f925bd1580f526d59e4bf1313de30dafa0b9842e11f8192fa8c0849e8865c","bd8e2c8148a0d9540dc20716455706beeb16fa86","0.2.0",,,,"",""
"sparse_homogeneous",1,"block_csr","sbayesc","ok",4,"477b65535ad43d94635e0f201ee0d25e6328415963effe2be302e89952ae41df","bd8e2c8148a0d9540dc20716455706beeb16fa86","0.2.0",,,,"",""
"sparse_homogeneous",1,"full_csr","sbayesc","ok",4,"c17d5922c19454d2242eaf179fc76ee83742d9babcff572c27a41d59d52e1a92","bd8e2c8148a0d9540dc20716455706beeb16fa86","0.2.0",,,,"",""
"sparse_homogeneous",1,"low_rank_0995","sbayesc","ok",4,"21f5dff7797ac9216c9f7465902fa0e711974a5a7c5af7414b8c5d4ac514e9c9","bd8e2c8148a0d9540dc20716455706beeb16fa86","0.2.0","block_low_rank_v1","low_rank",0.995,"",""
"sparse_homogeneous",1,"low_rank_0999","sbayesc","ok",4,"a392808f15f8412921fd66576c00467395b5e6462eb8e0cea9d00fb7363c182e","bd8e2c8148a0d9540dc20716455706beeb16fa86","0.2.0","block_low_rank_v1","low_rank",0.999,"",""
"sparse_homogeneous",1,"low_rank_full","sbayesc","ok",4,"5afb1ecb08c7ae5a9113c81004e5a00207e631585cf9015ab8a15b00fc7c2f96","bd8e2c8148a0d9540dc20716455706beeb16fa86","0.2.0","block_low_rank_v1","low_rank",1,"",""
"sparse_homogeneous",2,"bed","bayesc","ok",4,"46753c134bb0e4fb958e140b76186b146cbd6c9f562e76e3838d0d90a03391b0","bd8e2c8148a0d9540dc20716455706beeb16fa86","0.2.0",,,,"",""
"sparse_homogeneous",2,"block_csr","sbayesc","ok",4,"4614a073793e19c74c1026a25d641d159f7cdcf71bf5c650d8bb37186916135a","bd8e2c8148a0d9540dc20716455706beeb16fa86","0.2.0",,,,"",""
"sparse_homogeneous",2,"full_csr","sbayesc","ok",4,"d76c6219314977d7dba6efd8648b87c3915b538826af886f8de72e52481f9621","bd8e2c8148a0d9540dc20716455706beeb16fa86","0.2.0",,,,"",""
"sparse_homogeneous",2,"low_rank_0995","sbayesc","ok",4,"4bc1016f7b237147390d7d60a87b97f73579d1a89261fe8d1f60bc62081d207c","bd8e2c8148a0d9540dc20716455706beeb16fa86","0.2.0","block_low_rank_v1","low_rank",0.995,"",""
"sparse_homogeneous",2,"low_rank_0999","sbayesc","ok",4,"2778bbc411f4c3f3a0e8f4f085d6ebd072282f46ed689c00c28557083895b5e8","bd8e2c8148a0d9540dc20716455706beeb16fa86","0.2.0","block_low_rank_v1","low_rank",0.999,"",""
"sparse_homogeneous",2,"low_rank_full","sbayesc","ok",4,"7bed83d1f6efc39a1f13109df946471cc7ed516dcff94ae64e2e3608486f5a20","bd8e2c8148a0d9540dc20716455706beeb16fa86","0.2.0","block_low_rank_v1","low_rank",1,"",""
"sparse_homogeneous",3,"bed","bayesc","ok",4,"6e707332f33555a55e046d50964ab88c8d36ddda7faa7aa70b220f79577deb17","bd8e2c8148a0d9540dc20716455706beeb16fa86","0.2.0",,,,"",""
"sparse_homogeneous",3,"block_csr","sbayesc","ok",4,"e94f782a3c27cef68488fbeb9a1a4084cf6f0994b6f5feec75e381dac78c4987","bd8e2c8148a0d9540dc20716455706beeb16fa86","0.2.0",,,,"",""
"sparse_homogeneous",3,"full_csr","sbayesc","ok",4,"576ef8ff199335fa744c950c4cb5071e96aa405d017334110d38bb97eb9bb2ea","bd8e2c8148a0d9540dc20716455706beeb16fa86","0.2.0",,,,"",""
"sparse_homogeneous",3,"low_rank_0995","sbayesc","ok",4,"55f2d1b7e7d174dd05293ab4685a85c7960e40761bd7c698c43ad8335ef4f4a1","bd8e2c8148a0d9540dc20716455706beeb16fa86","0.2.0","block_low_rank_v1","low_rank",0.995,"",""
"sparse_homogeneous",3,"low_rank_0999","sbayesc","ok",4,"726e987525f45fc11412088ad237a230e799b801f85111e1bee2e0897248f6e4","bd8e2c8148a0d9540dc20716455706beeb16fa86","0.2.0","block_low_rank_v1","low_rank",0.999,"",""
"sparse_homogeneous",3,"low_rank_full","sbayesc","ok",4,"7b942407287ffe135740ec271c5a35ac323720c221d54d0329351302160c4709","bd8e2c8148a0d9540dc20716455706beeb16fa86","0.2.0","block_low_rank_v1","low_rank",1,"",""
"sparse_homogeneous",4,"bed","bayesc","ok",4,"eda76af7a92e47bc65725f7cef3a5abaeb79d59bfe7403057a7dbcdb302be0b2","bd8e2c8148a0d9540dc20716455706beeb16fa86","0.2.0",,,,"",""
"sparse_homogeneous",4,"block_csr","sbayesc","ok",4,"70f177d78211e80d4ae4f17328c3b0098791c2dcd965bfd779c1eec61a32e426","bd8e2c8148a0d9540dc20716455706beeb16fa86","0.2.0",,,,"",""
"sparse_homogeneous",4,"full_csr","sbayesc","ok",4,"f8a30a9b37693e4c31c557a57d0485dc6bdfb91289ab52dcdf305b6aca164a1f","bd8e2c8148a0d9540dc20716455706beeb16fa86","0.2.0",,,,"",""
"sparse_homogeneous",4,"low_rank_0995","sbayesc","ok",4,"be367f911ae75da187cb7119b70e33786c16c07656be3c28b2c170a839fb117b","bd8e2c8148a0d9540dc20716455706beeb16fa86","0.2.0","block_low_rank_v1","low_rank",0.995,"",""
"sparse_homogeneous",4,"low_rank_0999","sbayesc","ok",4,"7ef93384f236cea187d8f719459ee5f8611878a356ecadea500fc6f607966324","bd8e2c8148a0d9540dc20716455706beeb16fa86","0.2.0","block_low_rank_v1","low_rank",0.999,"",""
"sparse_homogeneous",4,"low_rank_full","sbayesc","ok",4,"12c575af5d93fef31b6ffd925a8b5fdf542a70178e873816072cc4021d73dac1","bd8e2c8148a0d9540dc20716455706beeb16fa86","0.2.0","block_low_rank_v1","low_rank",1,"",""
