"architecture","replicate","comparison_id","orientation","posterior_mean_effect_correlation","posterior_mean_effect_rmse","posterior_mean_effect_maximum_absolute_difference","nonnull_probability_correlation","high_pip_overlap"
"sparse_homogeneous",1,"block_csr_minus_full_csr","block_csr minus full_csr",0.999409918883704,0.000105310290859913,0.00933669120009842,0.997275034519182,1
"sparse_homogeneous",1,"full_csr_minus_bed","full_csr minus bed",0.975195329800823,0.000685008053279869,0.0685988769450096,0.938019212433578,0.842105263157895
"sparse_homogeneous",1,"low_rank_0995_minus_full_csr","low_rank_0995 minus full_csr",0.998817951722975,0.000147900903403314,0.0109258540756133,0.995758508543998,1
"sparse_homogeneous",1,"low_rank_0995_minus_low_rank_0999","low_rank_0995 minus low_rank_0999",0.999297549797783,0.000114446075093306,0.0101096149972451,0.9975699268041,1
"sparse_homogeneous",1,"low_rank_0995_minus_low_rank_full","low_rank_0995 minus low_rank_full",0.999290996954697,0.00011460097210372,0.0108129028225994,0.997322058890931,1
"sparse_homogeneous",1,"low_rank_0999_minus_low_rank_full","low_rank_0999 minus low_rank_full",0.999753514299176,6.79774787067214e-05,0.0046088184459568,0.998498664916097,1
"sparse_homogeneous",1,"low_rank_full_minus_block_csr","low_rank_full minus block_csr",0.999840718986538,5.50032799120939e-05,0.00230709655425452,0.998753405434401,1
"sparse_homogeneous",2,"block_csr_minus_full_csr","block_csr minus full_csr",0.999095101979751,0.000124372437341797,0.0101937517730124,0.996910398505655,1
"sparse_homogeneous",2,"full_csr_minus_bed","full_csr minus bed",0.982242774041408,0.00055353809703716,0.0597100298642742,0.952117675745981,0.941176470588235
"sparse_homogeneous",2,"low_rank_0995_minus_full_csr","low_rank_0995 minus full_csr",0.998735571019737,0.000147021478503749,0.0132766405362723,0.995458520133393,1
"sparse_homogeneous",2,"low_rank_0995_minus_low_rank_0999","low_rank_0995 minus low_rank_0999",0.999385939451403,0.000101993577689594,0.00803965732917016,0.997520187839539,1
"sparse_homogeneous",2,"low_rank_0995_minus_low_rank_full","low_rank_0995 minus low_rank_full",0.999312949753753,0.000107953218949649,0.0109038818340166,0.997347747358279,1
"sparse_homogeneous",2,"low_rank_0999_minus_low_rank_full","low_rank_0999 minus low_rank_full",0.999641369412038,7.8048649268731e-05,0.00496641796029013,0.998062019305655,1
"sparse_homogeneous",2,"low_rank_full_minus_block_csr","low_rank_full minus block_csr",0.999749641017055,6.51851709299302e-05,0.00355804333637123,0.998351767240826,1
"sparse_homogeneous",3,"block_csr_minus_full_csr","block_csr minus full_csr",0.997757938722258,0.000204094023045382,0.0268763075602346,0.993656809081258,0.952380952380952
"sparse_homogeneous",3,"full_csr_minus_bed","full_csr minus bed",0.982463413651998,0.000583062819083456,0.0504433209310202,0.959163616987187,0.857142857142857
"sparse_homogeneous",3,"low_rank_0995_minus_full_csr","low_rank_0995 minus full_csr",0.996273217185879,0.000263423618430929,0.0396765334977686,0.991021434787876,0.952380952380952
"sparse_homogeneous",3,"low_rank_0995_minus_low_rank_0999","low_rank_0995 minus low_rank_0999",0.999259357847458,0.000117753953608483,0.0164191745307513,0.997770865068684,1
"sparse_homogeneous",3,"low_rank_0995_minus_low_rank_full","low_rank_0995 minus low_rank_full",0.999144435900316,0.000126538493983807,0.0144249660577302,0.997533260516374,1
"sparse_homogeneous",3,"low_rank_0999_minus_low_rank_full","low_rank_0999 minus low_rank_full",0.999716175066556,7.24696046073723e-05,0.00548024436663078,0.998581639296212,1
"sparse_homogeneous",3,"low_rank_full_minus_block_csr","low_rank_full minus block_csr",0.999796785602788,6.13292030857881e-05,0.00369650917295333,0.99873182243751,1
"sparse_homogeneous",4,"block_csr_minus_full_csr","block_csr minus full_csr",0.998805134338137,0.000151829051857228,0.0175411658929735,0.996411423453667,0.95
"sparse_homogeneous",4,"full_csr_minus_bed","full_csr minus bed",0.973263775630708,0.000722576354183409,0.0692630898719131,0.93302111974986,0.85
"sparse_homogeneous",4,"low_rank_0995_minus_full_csr","low_rank_0995 minus full_csr",0.998874574136324,0.000147379664425872,0.0125428163728778,0.996595025981554,0.95
"sparse_homogeneous",4,"low_rank_0995_minus_low_rank_0999","low_rank_0995 minus low_rank_0999",0.999210686316571,0.000123398406934517,0.00992145591912821,0.997158894657914,1
"sparse_homogeneous",4,"low_rank_0995_minus_low_rank_full","low_rank_0995 minus low_rank_full",0.999289839844076,0.000117081572366513,0.0119292993254995,0.997257503878472,1
"sparse_homogeneous",4,"low_rank_0999_minus_low_rank_full","low_rank_0999 minus low_rank_full",0.999657844034524,8.11498676228921e-05,0.00425983666769977,0.998246799909692,1
"sparse_homogeneous",4,"low_rank_full_minus_block_csr","low_rank_full minus block_csr",0.999804201207041,6.13779365890519e-05,0.00322942468121552,0.998702393657063,1
"sparse_homogeneous",5,"block_csr_minus_full_csr","block_csr minus full_csr",0.999424807405891,0.00011250384632498,0.0127784619556509,0.997976207461123,1
"sparse_homogeneous",5,"full_csr_minus_bed","full_csr minus bed",0.98479388751699,0.000573379416733516,0.0461522240647981,0.965671098597424,0.916666666666667
"sparse_homogeneous",5,"low_rank_0995_minus_full_csr","low_rank_0995 minus full_csr",0.998851997444171,0.000158147426072017,0.0137486053568656,0.996799686744592,0.958333333333333
"sparse_homogeneous",5,"low_rank_0995_minus_low_rank_0999","low_rank_0995 minus low_rank_0999",0.999425057114059,0.000114657450676575,0.0127447478221902,0.99813511224411,0.958333333333333
"sparse_homogeneous",5,"low_rank_0995_minus_low_rank_full","low_rank_0995 minus low_rank_full",0.999341434228534,0.000121751620336308,0.011747873700635,0.99783522984686,0.958333333333333
"sparse_homogeneous",5,"low_rank_0999_minus_low_rank_full","low_rank_0999 minus low_rank_full",0.999684847145848,8.32946828287826e-05,0.00609966961680079,0.998590866642647,1
"sparse_homogeneous",5,"low_rank_full_minus_block_csr","low_rank_full minus block_csr",0.999795811010444,6.70556307176345e-05,0.00353538722774824,0.998919126189319,1
"sparse_mixture",1,"block_csr_minus_full_csr","block_csr minus full_csr",0.998846270048998,0.000137742529742728,0.0151839380849374,0.990641583141743,0.933333333333333
"sparse_mixture",1,"full_csr_minus_bed","full_csr minus bed",0.969018221697504,0.000711921501745021,0.0429726357503612,0.833436774099364,0.571428571428571
"sparse_mixture",1,"low_rank_0995_minus_full_csr","low_rank_0995 minus full_csr",0.998164225632387,0.000173534206819746,0.0116034249519157,0.987489264158549,0.866666666666667
"sparse_mixture",1,"low_rank_0995_minus_low_rank_0999","low_rank_0995 minus low_rank_0999",0.998638589306141,0.00014966292887384,0.0145160159952341,0.989316730559537,0.933333333333333
"sparse_mixture",1,"low_rank_0995_minus_low_rank_full","low_rank_0995 minus low_rank_full",0.998634485223935,0.000150082819434532,0.0121365183362033,0.988908161060567,0.933333333333333
"sparse_mixture",1,"low_rank_0999_minus_low_rank_full","low_rank_0999 minus low_rank_full",0.999669150686694,7.3852941428024e-05,0.00386224413193914,0.993307076792818,1
"sparse_mixture",1,"low_rank_full_minus_block_csr","low_rank_full minus block_csr",0.999816876462157,5.4969737116772e-05,0.00241444686918099,0.994060934574973,1
"sparse_mixture",2,"block_csr_minus_full_csr","block_csr minus full_csr",0.999098864537907,0.000131985418198573,0.0106702885641488,0.991877972697573,0.947368421052632
"sparse_mixture",2,"full_csr_minus_bed","full_csr minus bed",0.960481764490778,0.000870690498100011,0.0485411986050423,0.783243674947193,0.421052631578947
"sparse_mixture",2,"low_rank_0995_minus_full_csr","low_rank_0995 minus full_csr",0.997101158727808,0.000237415206114413,0.0184150938808018,0.98437799333797,0.80952380952381
"sparse_mixture",2,"low_rank_0995_minus_low_rank_0999","low_rank_0995 minus low_rank_0999",0.998608051348136,0.000164608358778858,0.0137886152301494,0.989824686345661,0.904761904761905
"sparse_mixture",2,"low_rank_0995_minus_low_rank_full","low_rank_0995 minus low_rank_full",0.998198071740735,0.000187425380491592,0.0141047136357838,0.988283606880603,0.857142857142857
"sparse_mixture",2,"low_rank_0999_minus_low_rank_full","low_rank_0999 minus low_rank_full",0.999478843731806,0.000101365275466527,0.0112605590996737,0.993290055605681,0.95
"sparse_mixture",2,"low_rank_full_minus_block_csr","low_rank_full minus block_csr",0.999840988291106,5.54755155528889e-05,0.00184890367438841,0.994887576622256,1
"sparse_mixture",3,"block_csr_minus_full_csr","block_csr minus full_csr",0.999097593375412,0.000140854044665738,0.0171648319931729,0.992290464131455,1
"sparse_mixture",3,"full_csr_minus_bed","full_csr minus bed",0.957285801971936,0.000961855253494906,0.0724343383883384,0.748012420435254,0.5
"sparse_mixture",3,"low_rank_0995_minus_full_csr","low_rank_0995 minus full_csr",0.997766301283147,0.000222318464280976,0.0226661801506916,0.985227415140701,0.866666666666667
"sparse_mixture",3,"low_rank_0995_minus_low_rank_0999","low_rank_0995 minus low_rank_0999",0.998956688430825,0.000147947175357233,0.0107996897271498,0.989542107356584,0.8
"sparse_mixture",3,"low_rank_0995_minus_low_rank_full","low_rank_0995 minus low_rank_full",0.99875593142516,0.000162058752182041,0.0119310369203447,0.988660454045469,0.866666666666667
"sparse_mixture",3,"low_rank_0999_minus_low_rank_full","low_rank_0999 minus low_rank_full",0.999731880138019,7.51385000543522e-05,0.00510130408482722,0.993935298554965,0.928571428571429
"sparse_mixture",3,"low_rank_full_minus_block_csr","low_rank_full minus block_csr",0.99986803995595,5.29428062590455e-05,0.00125234107637043,0.994746084151082,1
"sparse_mixture",4,"block_csr_minus_full_csr","block_csr minus full_csr",0.999170098203267,0.000131318122920391,0.0120442017224591,0.991807425326595,1
"sparse_mixture",4,"full_csr_minus_bed","full_csr minus bed",0.962758974403828,0.000887861197439843,0.070313928105192,0.796788397110643,0.529411764705882
"sparse_mixture",4,"low_rank_0995_minus_full_csr","low_rank_0995 minus full_csr",0.998112878631856,0.000198393721785164,0.0132372501397929,0.986422710719652,0.882352941176471
"sparse_mixture",4,"low_rank_0995_minus_low_rank_0999","low_rank_0995 minus low_rank_0999",0.999034992221457,0.000141142702622073,0.00731724652956867,0.990652894920322,0.833333333333333
"sparse_mixture",4,"low_rank_0995_minus_low_rank_full","low_rank_0995 minus low_rank_full",0.99891903278735,0.000149069521786078,0.00721469599106478,0.990164144866196,0.882352941176471
"sparse_mixture",4,"low_rank_0999_minus_low_rank_full","low_rank_0999 minus low_rank_full",0.999672925448123,8.19359425956993e-05,0.00447681376677686,0.994049261385582,0.944444444444444
