"architecture","configuration","recommendation_status","nburn","nit","nthin","nchains","ncores","limiting_estimand","maximum_rhat","minimum_bulk_ess","minimum_tail_ess","maximum_relative_mcse","reason"
"sparse_homogeneous","block_csr","available",250,250,1,4,4,"global_nonnull_proportion",1.00359571144126,628.453170849849,838.50758949119,0.039936040633192,"earliest stable operational pass"
"sparse_homogeneous","full_csr","available",250,250,1,4,4,"vld",1.00336854595536,578.160749433232,727.823586944983,0.0419166774820807,"earliest stable operational pass"
"sparse_homogeneous","low_rank_0995","available",250,250,1,4,4,"vbs",1.00945227603534,657.41783642377,810.264208977359,0.0385375563253474,"earliest stable operational pass"
"sparse_homogeneous","low_rank_0999","available",500,250,1,4,4,"heritability",1.00604890843452,714.200872184442,822.143803785162,0.0374884766818194,"earliest stable operational pass"
"sparse_homogeneous","low_rank_full","available",250,250,1,4,4,"ves",1.00481475341526,540.496041538386,771.460816403776,0.0429674220952515,"earliest stable operational pass"
"sparse_mixture","block_csr","available",250,1000,1,4,4,"vbs",1.00530518519221,459.376117196418,871.772062665106,0.0472245794050413,"earliest stable operational pass"
"sparse_mixture","full_csr","available",250,2000,1,4,4,"vbs",1.00902805584196,852.897112443078,1613.56495742748,0.0341912672207134,"earliest stable operational pass"
"sparse_mixture","low_rank_0995","available",500,1000,1,4,4,"vbs",1.00375885238358,495.824364610102,868.767221541306,0.0450470961355458,"earliest stable operational pass"
"sparse_mixture","low_rank_0999","available",250,1000,1,4,4,"vbs",1.00902867231064,554.040960435818,966.183818308441,0.04281962564986,"earliest stable operational pass"
"sparse_mixture","low_rank_full","available",250,1000,1,4,4,"vbs",1.00585916251092,478.535758179586,927.526133709393,0.045919937235536,"earliest stable operational pass"
