"model","configuration","marker_count","h2","nub","nue","marker_scale","initial_inclusion_weight","prior_mean_inclusion_weight","initial_mixture_multiplier_weight","prior_mean_mixture_multiplier_weight","mixture_multipliers","old_B_per_phenotypic_variance","current_B_per_phenotypic_variance","old_ssb_prior_per_phenotypic_variance","current_ssb_prior_per_phenotypic_variance","old_E_per_phenotypic_variance","current_E_per_phenotypic_variance","old_sse_prior_per_phenotypic_variance","current_sse_prior_per_phenotypic_variance","annotation_weight","identical_resolved_prior"
"bayesc","bed",37991,0.3,4,4,1,0.01,0.001,0.01,0.001,"1",0.000789660709115317,0.000789660709115317,0.00394830354557658,0.00394830354557658,0.7,0.7,0.35,0.35,,TRUE
"bayesc","full_csr",37991,0.3,4,4,1,0.01,0.001,0.01,0.001,"1",0.000789660709115317,0.000789660709115317,0.00394830354557658,0.00394830354557658,0.7,0.7,0.35,0.35,,TRUE
"bayesc","block_csr",37991,0.3,4,4,1,0.01,0.001,0.01,0.001,"1",0.000789660709115317,0.000789660709115317,0.00394830354557658,0.00394830354557658,0.7,0.7,0.35,0.35,,TRUE
"bayesc","low_rank_full",37991,0.3,4,4,1,0.01,0.001,0.01,0.001,"1",0.000789660709115317,0.000789660709115317,0.00394830354557658,0.00394830354557658,0.7,0.7,0.35,0.35,,TRUE
"bayesc","low_rank_0999",37991,0.3,4,4,1,0.01,0.001,0.01,0.001,"1",0.000789660709115317,0.000789660709115317,0.00394830354557658,0.00394830354557658,0.7,0.7,0.35,0.35,,TRUE
"bayesc","low_rank_0995",37991,0.3,4,4,1,0.01,0.001,0.01,0.001,"1",0.000789660709115317,0.000789660709115317,0.00394830354557658,0.00394830354557658,0.7,0.7,0.35,0.35,,TRUE
"bayesr","bed",37991,0.3,4,4,1,0.01,0.01,0.0037,0.0037,"0.00;0.01;0.10;1.00",0.0021342181327441,0.0021342181327441,0.00106710906637205,0.00106710906637205,0.7,0.7,0.35,0.35,,TRUE
"bayesr","full_csr",37991,0.3,4,4,1,0.01,0.01,0.0037,0.0037,"0.00;0.01;0.10;1.00",0.0021342181327441,0.0021342181327441,0.00106710906637205,0.00106710906637205,0.7,0.7,0.35,0.35,,TRUE
"bayesr","block_csr",37991,0.3,4,4,1,0.01,0.01,0.0037,0.0037,"0.00;0.01;0.10;1.00",0.0021342181327441,0.0021342181327441,0.00106710906637205,0.00106710906637205,0.7,0.7,0.35,0.35,,TRUE
"bayesr","low_rank_full",37991,0.3,4,4,1,0.01,0.01,0.0037,0.0037,"0.00;0.01;0.10;1.00",0.0021342181327441,0.0021342181327441,0.00106710906637205,0.00106710906637205,0.7,0.7,0.35,0.35,,TRUE
"bayesr","low_rank_0999",37991,0.3,4,4,1,0.01,0.01,0.0037,0.0037,"0.00;0.01;0.10;1.00",0.0021342181327441,0.0021342181327441,0.00106710906637205,0.00106710906637205,0.7,0.7,0.35,0.35,,TRUE
"bayesr","low_rank_0995",37991,0.3,4,4,1,0.01,0.01,0.0037,0.0037,"0.00;0.01;0.10;1.00",0.0021342181327441,0.0021342181327441,0.00106710906637205,0.00106710906637205,0.7,0.7,0.35,0.35,,TRUE
