"effect_state","operator","maximum_absolute_score_error","score_rmse"
"all_zero","exact",0,0
"all_zero","hard_sparse",0,0
"all_zero","block_eigen_full_rank",0,0
"all_zero","block_eigen_retained",0,0
"truth","exact",0,0
"truth","hard_sparse",135.05263220289,43.0756125712567
"truth","block_eigen_full_rank",133.424842677375,41.6540580384715
"truth","block_eigen_retained",133.951439513892,41.7962957305556
"bed_exact_data","exact",0,0
"bed_exact_data","hard_sparse",133.236772509024,41.5022489491233
"bed_exact_data","block_eigen_full_rank",132.162198361035,40.0055463209436
"bed_exact_data","block_eigen_retained",132.75556290505,40.1403771494132
"csr_exact_ld","exact",0,0
"csr_exact_ld","hard_sparse",132.956237000673,41.4818843414513
"csr_exact_ld","block_eigen_full_rank",132.219656224042,39.9887455212354
"csr_exact_ld","block_eigen_retained",132.809952681437,40.1231966064722
"csr_sparse_ld","exact",0,0
"csr_sparse_ld","hard_sparse",138.178493250041,42.4939039588856
"csr_sparse_ld","block_eigen_full_rank",128.885119716014,40.9352671321903
"csr_sparse_ld","block_eigen_retained",129.560160765795,41.0850071172521
"block_eigen_full_rank","exact",0,0
"block_eigen_full_rank","hard_sparse",138.19503456546,42.4275921453882
"block_eigen_full_rank","block_eigen_full_rank",128.946095311156,40.8755521067546
"block_eigen_full_rank","block_eigen_retained",129.697547504718,41.0277558990702
"block_eigen_retained","exact",0,0
"block_eigen_retained","hard_sparse",137.980314468573,42.325727712293
"block_eigen_retained","block_eigen_full_rank",128.91334849754,40.7913315080635
"block_eigen_retained","block_eigen_retained",129.627305268995,40.9392759100478
