"variant","label","quantity","mean","sd","lower_025","upper_975"
"bed_exact_data","BED exact data","active_probability",0.00999622657803656,0.000141150282492389,0.00972720006326535,0.0102791483141441
"csr_exact_ld","CSR exact LD","active_probability",0.00999709287872201,0.000141787400785418,0.00971768018968724,0.0102768774684578
"csr_sparse_ld","CSR hard sparse","active_probability",0.0100009979961604,0.000141206942701145,0.0097322733904699,0.0102806131599497
"bed_exact_data","BED exact data","pi_component_0",0.990003773421963,0.000141150282492389,0.989720851685856,0.990272799936735
"csr_exact_ld","CSR exact LD","pi_component_0",0.990002907121278,0.000141787400785418,0.989723122531542,0.990282319810313
"csr_sparse_ld","CSR hard sparse","pi_component_0",0.98999900200384,0.000141206942701145,0.98971938684005,0.99026772660953
"bed_exact_data","BED exact data","pi_component_1",0.00333153515096353,8.27962683671995e-05,0.00317386565902955,0.00349782795691062
"csr_exact_ld","CSR exact LD","pi_component_1",0.00333095452781938,8.04759164492172e-05,0.00317320113903225,0.0034862433456983
"csr_sparse_ld","CSR hard sparse","pi_component_1",0.00333528823010321,8.4320467018102e-05,0.00317297024574193,0.00350582544315462
"bed_exact_data","BED exact data","pi_component_2",0.00333181204321348,8.1874522152378e-05,0.00317218533812824,0.00349775498913471
"csr_exact_ld","CSR exact LD","pi_component_2",0.00333090570301823,8.16256530304526e-05,0.00317040809819605,0.00348960275572563
"csr_sparse_ld","CSR hard sparse","pi_component_2",0.0033329124297613,7.97172557402822e-05,0.00317781850554781,0.00349394510098023
"bed_exact_data","BED exact data","pi_component_3",0.00333287938385954,8.17653587816852e-05,0.00317609193480933,0.00349435137410864
"csr_exact_ld","CSR exact LD","pi_component_3",0.00333523264788441,8.17774347373412e-05,0.00317180087879712,0.0034991570437343
"csr_sparse_ld","CSR hard sparse","pi_component_3",0.00333279733629594,8.23670778562436e-05,0.00317392625988887,0.00349338847383903
"block_eigen_full_rank","Block eigen full rank","active_probability",0.0100040605007171,0.000142477981536709,0.00971845329074786,0.0102806163379992
"block_eigen_retained","Block eigen retained 0.995","active_probability",0.00999745002977639,0.000141914553761576,0.00972092880398911,0.0102745933287093
"block_eigen_full_rank","Block eigen full rank","pi_component_0",0.989995939499283,0.000142477981536709,0.989719383662001,0.990281546709252
"block_eigen_retained","Block eigen retained 0.995","pi_component_0",0.990002549970224,0.000141914553761576,0.989725406671291,0.990279071196011
"block_eigen_full_rank","Block eigen full rank","pi_component_1",0.00333492061362148,8.10282456122314e-05,0.00317517266506153,0.00349938955998313
"block_eigen_retained","Block eigen retained 0.995","pi_component_1",0.00333384209836956,8.22102601083349e-05,0.00317899981536733,0.00349501882888985
"block_eigen_full_rank","Block eigen full rank","pi_component_2",0.00333502491346421,8.18622928149507e-05,0.00317669798603487,0.00349228775370207
"block_eigen_retained","Block eigen retained 0.995","pi_component_2",0.00333382816090298,8.09486142006115e-05,0.00317426277519255,0.0034909046038649
"block_eigen_full_rank","Block eigen full rank","pi_component_3",0.0033341149736314,8.25953588197183e-05,0.00317576766737638,0.00349029100187458
"block_eigen_retained","Block eigen retained 0.995","pi_component_3",0.00332977977050386,8.2132711570919e-05,0.00317088941165487,0.00348626467734149
