"variant","label","quantity","mean","sd","lower_025","upper_975"
"bed_full_sweep","BED full sweep","active_probability",0.00985889581721146,0.000137977027014685,0.00958937179051984,0.0101356375744519
"bed_scheduled_current","BED scheduled","active_probability",0.00985432739242306,0.000139707690221065,0.00958447002954124,0.0101116061502036
"csr_current","CSR current","active_probability",0.00995736526368846,0.000139961027031323,0.00968114585917854,0.0102386520181473
"bed_full_sweep","BED full sweep","heritability",0.299364948913818,0.0131188725300406,0.273495211161613,0.324995043925993
"bed_scheduled_current","BED scheduled","heritability",0.301251418098525,0.0131629822090639,0.275673833887312,0.327089453691481
"csr_current","CSR current","heritability",0.389430592720345,0.0177789605849708,0.354302975150341,0.423282920756605
"bed_full_sweep","BED full sweep","vbs",0.00377943882088124,0.000555165085984793,0.00283853225493791,0.00499689959600568
"bed_scheduled_current","BED scheduled","vbs",0.00378619014248476,0.000547794651028549,0.00283981495561249,0.00497595711042306
"csr_current","CSR current","vbs",0.00469883317776294,0.00073579006113546,0.00344148415239428,0.00635119501261298
"bed_full_sweep","BED full sweep","ves",1.00886423157613,0.0221270646319626,0.966788981283325,1.05328626954177
"bed_scheduled_current","BED scheduled","ves",1.00546263880347,0.0222181023661056,0.962924456012497,1.05032365076778
"csr_current","CSR current","ves",0.878714859775622,0.0267985805138819,0.827129933266912,0.931885290517286
"bed_full_sweep","BED full sweep","vgs",0.431278529725241,0.0238129911351472,0.385546031419457,0.479037640412146
"bed_scheduled_current","BED scheduled","vgs",0.433687371324437,0.0236775892362984,0.388845853612756,0.481532682173516
"csr_current","CSR current","vgs",0.560731351560408,0.0314415131889264,0.500287740680202,0.623363845200452
