"variant","label","quantity","mean","sd","lower_025","upper_975"
"bed_exact_data","BED exact data","active_probability",0.00999622657803656,0.000141150282492389,0.00972720006326535,0.0102791483141441
"csr_exact_ld","CSR exact LD","active_probability",0.00999709287872201,0.000141787400785418,0.00971768018968724,0.0102768774684578
"csr_sparse_ld","CSR hard sparse","active_probability",0.0100009979961604,0.000141206942701145,0.0097322733904699,0.0102806131599497
"bed_exact_data","BED exact data","heritability",0.285339827009884,0.0114807766671081,0.26270631388635,0.307996918505178
"csr_exact_ld","CSR exact LD","heritability",0.285150038437324,0.0116706979261428,0.262094801835949,0.307356400723643
"csr_sparse_ld","CSR hard sparse","heritability",0.294881746569763,0.0118361723758838,0.271845092960869,0.31729182824039
"bed_exact_data","BED exact data","pi_component_0",0.990003773421963,0.000141150282492389,0.989720851685856,0.990272799936735
"csr_exact_ld","CSR exact LD","pi_component_0",0.990002907121278,0.000141787400785418,0.989723122531542,0.990282319810313
"csr_sparse_ld","CSR hard sparse","pi_component_0",0.98999900200384,0.000141206942701145,0.98971938684005,0.99026772660953
"bed_exact_data","BED exact data","pi_component_1",0.00333153515096353,8.27962683671995e-05,0.00317386565902955,0.00349782795691062
"csr_exact_ld","CSR exact LD","pi_component_1",0.00333095452781938,8.04759164492172e-05,0.00317320113903225,0.0034862433456983
"csr_sparse_ld","CSR hard sparse","pi_component_1",0.00333528823010321,8.4320467018102e-05,0.00317297024574193,0.00350582544315462
"bed_exact_data","BED exact data","pi_component_2",0.00333181204321348,8.1874522152378e-05,0.00317218533812824,0.00349775498913471
"csr_exact_ld","CSR exact LD","pi_component_2",0.00333090570301823,8.16256530304526e-05,0.00317040809819605,0.00348960275572563
"csr_sparse_ld","CSR hard sparse","pi_component_2",0.0033329124297613,7.97172557402822e-05,0.00317781850554781,0.00349394510098023
"bed_exact_data","BED exact data","pi_component_3",0.00333287938385954,8.17653587816852e-05,0.00317609193480933,0.00349435137410864
"csr_exact_ld","CSR exact LD","pi_component_3",0.00333523264788441,8.17774347373412e-05,0.00317180087879712,0.0034991570437343
