"field","v1","v2","disposition"
"architectures","sparse_homogeneous; sparse_mixture","identical","held_identical"
"bed","packed BED","retained","held_identical"
"block_boundaries","38 contiguous blocks; target 1000","identical","held_identical"
"block_csr","runtime-matched block CSR","retained","held_identical"
"block_eigen_policies","unfiltered; hard; fixed ridge","removed; historical only","no_longer_relevant"
"full_csr","full CSR","retained","held_identical"
"operator_contract","block_dense_reconstructed_v1","block_low_rank_v1","intentionally_changed"
"replicates","5 paired","identical","held_identical"
"residual_state","marker-space dense","retained Q/w residual","intentionally_changed"
"sample_marker_resource","5000 x 37991 qgdata chromosome 1","identical","held_identical"
"simulation_seeds","base 61000; frozen strides","identical","held_identical"
"simulation_truth","50 causal; realized h2 0.30","identical","held_identical"
"training_test_split","70/30; seed 3101","identical","held_identical"
