stick,parameter,mean_eligible,mean_enriched_eligible,truth_mean,posterior_mean,bias,rmse,mean_post_sd,coverage_95,mean_rhat,max_rhat
1,Intercept,1500,149.05,-1.54672875922909,-1.55127685959394,-0.00454810036484267,0.0531959190262187,0.0562623553356066,1,1.00073666814997,1.00197896961884
1,enriched_binary,1500,149.05,1.6,1.58284852301261,-0.0171514769873879,0.0960166907803222,0.118408405188092,1,1.00029520745061,1.00119375944119
1,continuous_signal,1500,149.05,0.3,0.296739353396032,-0.00326064660396782,0.0493306267873233,0.0495033904698406,1,1.00057644909631,1.0019912120968
1,null_annotation,1500,149.05,0,-0.00726936529855392,-0.00726936529855392,0.0538207574792919,0.0477042235580203,0.9,1.00052401056617,1.00132007450337
2,Intercept,170.7,77.2,-0.172680560352209,-0.207938838625648,-0.0352582782734391,0.132680210653285,0.143468104276375,0.95,1.00010586463073,1.00066336283578
2,enriched_binary,170.7,77.2,0.3,0.298237077657307,-0.00176292234269313,0.16547649082803,0.197555768259777,0.95,1.00009729410092,1.00054334396456
2,continuous_signal,170.7,77.2,0.15,0.147191874714778,-0.00280812528522154,0.0751279041151455,0.102645383423275,1,1.0000869603874,1.0003563727999
2,null_annotation,170.7,77.2,0,0.0480248825885452,0.0480248825885452,0.108305022545242,0.0997073446251151,0.95,1.00009793327592,1.00056789348128
3,Intercept,84.2,42.3,-0.338952910828576,-0.273693610226808,0.0652593006017679,0.221630558106613,0.221565359261831,0.9,1.0000865720027,1.00055395339524
3,enriched_binary,84.2,42.3,0.2,0.187777166222024,-0.0122228337779758,0.232300791190892,0.279271182549945,0.95,1.00004440784661,1.00057437855164
3,continuous_signal,84.2,42.3,0.1,0.0398740306307191,-0.0601259693692809,0.119973970729154,0.149565979377747,1,1.00013937623937,1.00073640089916
3,null_annotation,84.2,42.3,0,0.0116169740989921,0.0116169740989921,0.128469429458307,0.147215978933378,1,1.00008206457617,1.00038593159087
