section,quantity,truth,official_sbayesrc_D1,sblr_learned_BED,sblr_learned_block,fixed_oracle_or_ablation,evidence_note
raw_alpha_stick1,intercept,-1.652796,-2.405809,-2.933683,-2.200900,-1.652796,"truth; official single-trajectory descriptive; sblr selected-window pooled learned posterior under EST-R2; fixed-alpha oracle"
raw_alpha_stick1,enriched_binary,1.600000,1.507168,1.897212,1.642282,1.600000,"same evidence labels; direction agrees, quantitative equality not established"
raw_alpha_stick1,continuous_signal,0.300000,0.585737,0.638467,0.622483,0.300000,"same evidence labels; learned raw magnitudes exceed truth"
raw_alpha_stick1,null_annotation,0.000000,-0.156235,-0.042171,-0.371310,0.000000,"same evidence labels; interpret with induced contrast and interval"
annotation_variance,stick1,NA,1.976,2.136713,2.043671,1.000000,"descriptive scale consistency only; official final sigma_anno and sblr posterior sigmaSqAlpha are not established as identical estimands; fixed value is an ablation"
annotation_variance,stick2,NA,1.043,1.897327,1.539999,1.000000,"descriptive scale consistency only; official history unavailable"
annotation_variance,stick3,NA,4.803,3.135814,1.787686,1.000000,"descriptive scale consistency only; official history unavailable"
active_contrast,enriched_binary,0.422976,"0.204057 [0.116903, 0.301956]","0.191915 [0.081380, 0.396827]","0.298580 [0.119324, 0.642119]",NA,"counterfactual 1 versus 0; official is single-trajectory descriptive"
active_contrast,continuous_signal,0.088568,"0.077068 [0.042080, 0.118253]","0.055523 [0.023924, 0.104374]","0.112452 [0.038271, 0.235579]",NA,"counterfactual +1 SD versus -1 SD; official is single-trajectory descriptive"
active_contrast,null_annotation,0.000000,"-0.023855 [-0.096395, 0.023731]","-0.006973 [-0.067631, 0.046074]","-0.068016 [-0.267729, 0.059591]",NA,"counterfactual +1 SD versus -1 SD; all intervals include zero"
probability_stability,minimum_active_prior_rank_correlation,NA,NA,0.986,0.950,NA,"sblr minimum pairwise Spearman"
probability_stability,minimum_largest_component_prior_rank_correlation,NA,NA,0.999,0.995,NA,"sblr minimum pairwise Spearman"
probability_stability,minimum_nonconstant_induced_probability_correlation,NA,0.999,NA,NA,NA,"official minimum half-to-half Pearson from one native trajectory"
snp_stability,minimum_PIP_correlation,NA,NA,0.994,0.969,NA,"minimum pairwise Pearson across retained sblr chains"
snp_stability,minimum_signed_beta_correlation,NA,NA,0.9999,0.9991,NA,"minimum pairwise Pearson across retained sblr chains"
snp_stability,minimum_genetic_value_chain_correlation,NA,NA,0.99994,0.99925,NA,"minimum pairwise correlation across retained validation genetic values"
snp_performance,AUPRC,NA,NA,0.591-0.597,0.514-0.560,NA,"range across retained sblr chains"
snp_performance,AUROC,NA,NA,0.849-0.856,0.818-0.840,NA,"range across retained sblr chains"
snp_performance,genetic_value_correlation_to_truth,NA,NA,0.917-0.918,0.896-0.897,NA,"range across retained sblr chains"
snp_performance,phenotype_prediction_correlation,NA,NA,0.654-0.655,0.631-0.633,NA,"range across retained sblr chains"
