"architecture","replicate","configuration","method","metric","value","available","unavailable_reason"
"sparse_homogeneous",1,"bed","bayesc","causal_marker_effect_correlation",0.920987164938688,TRUE,""
"sparse_homogeneous",1,"bed","bayesc","genetic_value_reconstruction_correlation",0.923848906283986,TRUE,""
"sparse_homogeneous",1,"bed","bayesc","high_pip_marker_count",16,TRUE,""
"sparse_homogeneous",1,"bed","bayesc","marker_effect_correlation",0.922270767371729,TRUE,""
"sparse_homogeneous",1,"bed","bayesc","marker_effect_rmse",0.00129577436597753,TRUE,""
"sparse_homogeneous",1,"bed","bayesc","noncausal_marker_rmse",8.14153461438304e-05,TRUE,""
"sparse_homogeneous",1,"bed","bayesc","nonnull_probability_mean",0.000539864704798505,TRUE,""
"sparse_homogeneous",1,"block_csr","sbayesc","causal_marker_effect_correlation",0.933799460571292,TRUE,""
"sparse_homogeneous",1,"block_csr","sbayesc","genetic_value_reconstruction_correlation",0.922610419558783,TRUE,""
"sparse_homogeneous",1,"block_csr","sbayesc","high_pip_marker_count",19,TRUE,""
"sparse_homogeneous",1,"block_csr","sbayesc","marker_effect_correlation",0.920866192391643,TRUE,""
"sparse_homogeneous",1,"block_csr","sbayesc","marker_effect_rmse",0.00130743248626798,TRUE,""
"sparse_homogeneous",1,"block_csr","sbayesc","noncausal_marker_rmse",0.00052197507938078,TRUE,""
"sparse_homogeneous",1,"block_csr","sbayesc","nonnull_probability_mean",0.00110005001184491,TRUE,""
"sparse_homogeneous",1,"full_csr","sbayesc","causal_marker_effect_correlation",0.93600259734551,TRUE,""
"sparse_homogeneous",1,"full_csr","sbayesc","genetic_value_reconstruction_correlation",0.925154378087014,TRUE,""
"sparse_homogeneous",1,"full_csr","sbayesc","high_pip_marker_count",19,TRUE,""
"sparse_homogeneous",1,"full_csr","sbayesc","marker_effect_correlation",0.923417206108352,TRUE,""
"sparse_homogeneous",1,"full_csr","sbayesc","marker_effect_rmse",0.00128777136840201,TRUE,""
"sparse_homogeneous",1,"full_csr","sbayesc","noncausal_marker_rmse",0.000512687360185736,TRUE,""
"sparse_homogeneous",1,"full_csr","sbayesc","nonnull_probability_mean",0.00110836777131426,TRUE,""
"sparse_homogeneous",1,"low_rank_0995","sbayesc","causal_marker_effect_correlation",0.932734518780809,TRUE,""
"sparse_homogeneous",1,"low_rank_0995","sbayesc","genetic_value_reconstruction_correlation",0.92137865559981,TRUE,""
"sparse_homogeneous",1,"low_rank_0995","sbayesc","high_pip_marker_count",19,TRUE,""
"sparse_homogeneous",1,"low_rank_0995","sbayesc","marker_effect_correlation",0.919579968155446,TRUE,""
"sparse_homogeneous",1,"low_rank_0995","sbayesc","marker_effect_rmse",0.00131770300318961,TRUE,""
"sparse_homogeneous",1,"low_rank_0995","sbayesc","noncausal_marker_rmse",0.000525215149371699,TRUE,""
"sparse_homogeneous",1,"low_rank_0995","sbayesc","nonnull_probability_mean",0.00110502487431234,TRUE,""
"sparse_homogeneous",1,"low_rank_0999","sbayesc","causal_marker_effect_correlation",0.933574066853431,TRUE,""
"sparse_homogeneous",1,"low_rank_0999","sbayesc","genetic_value_reconstruction_correlation",0.922291367496145,TRUE,""
"sparse_homogeneous",1,"low_rank_0999","sbayesc","high_pip_marker_count",19,TRUE,""
"sparse_homogeneous",1,"low_rank_0999","sbayesc","marker_effect_correlation",0.920715570475458,TRUE,""
