"architecture","configuration","estimand","replicate_count","successful_replicates","mean_bias","rmse","mae","observed_coverage_count","observed_coverage_proportion","mean_interval_width","coverage_interpretation"
"sparse_homogeneous","bed","heritability",5,5,-0.0301622187033839,0.0332051909133165,0.0301622187033839,3,0.6,0.0580247688702631,"coarse five-replicate observed coverage; each miss changes 20 percentage points"
"sparse_homogeneous","block_csr","heritability",5,5,0.00105797849026029,0.0184878218618252,0.014828528662328,5,1,0.0689640455942922,"coarse five-replicate observed coverage; each miss changes 20 percentage points"
"sparse_homogeneous","full_csr","heritability",5,5,0.000253227675366141,0.017524049864275,0.0142188745505586,5,1,0.0707108338714435,"coarse five-replicate observed coverage; each miss changes 20 percentage points"
"sparse_homogeneous","low_rank_0995","heritability",5,5,-0.00077242863655923,0.0175805622713215,0.0143466680270715,5,1,0.0720740051859567,"coarse five-replicate observed coverage; each miss changes 20 percentage points"
"sparse_homogeneous","low_rank_0999","heritability",5,5,0.000671515624430474,0.0190090657939102,0.0151577164031566,5,1,0.0713781368933239,"coarse five-replicate observed coverage; each miss changes 20 percentage points"
"sparse_homogeneous","low_rank_full","heritability",5,5,0.000959155288625191,0.0185087991132126,0.0148896024324174,5,1,0.0704089569446763,"coarse five-replicate observed coverage; each miss changes 20 percentage points"
"sparse_mixture","bed","heritability",5,5,-0.000841388227148354,0.0146295022712337,0.0122836250437049,5,1,0.0632319043213584,"coarse five-replicate observed coverage; each miss changes 20 percentage points"
"sparse_mixture","block_csr","heritability",5,5,0.113036488387167,0.11597164815596,0.113036488387167,0,0,0.0919507639613415,"coarse five-replicate observed coverage; each miss changes 20 percentage points"
"sparse_mixture","full_csr","heritability",5,5,0.116257381408056,0.119416493518874,0.116257381408056,0,0,0.0923938589680106,"coarse five-replicate observed coverage; each miss changes 20 percentage points"
"sparse_mixture","low_rank_0995","heritability",5,5,0.109958107571294,0.112879915010664,0.109958107571294,0,0,0.0917927984339999,"coarse five-replicate observed coverage; each miss changes 20 percentage points"
"sparse_mixture","low_rank_0999","heritability",5,5,0.112719747000405,0.115636127237392,0.112719747000405,0,0,0.0917390391765744,"coarse five-replicate observed coverage; each miss changes 20 percentage points"
"sparse_mixture","low_rank_full","heritability",5,5,0.113025248383332,0.115894072914413,0.113025248383332,0,0,0.0910072316941191,"coarse five-replicate observed coverage; each miss changes 20 percentage points"
