"effect_state","operator","quadratic","exact_quadratic","quadratic_error","residual_sse"
"all_zero","exact",0,0,0,7044.36371318446
"all_zero","hard_sparse",0,0,0,7044.36371318446
"all_zero","block_eigen_full_rank",0,0,0,7044.36371318446
"all_zero","block_eigen_retained",0,0,0,7044.36371318446
"truth","exact",2142.42857114504,2142.42857114504,0,4998.99999971647
"truth","hard_sparse",2102.98172311363,2142.42857114504,-39.446848031415,4959.55315168505
"truth","block_eigen_full_rank",2104.30120251421,2142.42857114504,-38.1273686308348,4960.87263108563
"truth","block_eigen_retained",2097.73741433385,2142.42857114504,-44.6911568111955,4954.30884290527
"bed_exact_data","exact",1974.26223412453,1974.26223412453,0,4997.36787435884
"bed_exact_data","hard_sparse",1942.05955423061,1974.26223412453,-32.2026798939194,4965.16519446492
"bed_exact_data","block_eigen_full_rank",1946.84042739532,1974.26223412453,-27.4218067292104,4969.94606762963
"bed_exact_data","block_eigen_retained",1940.52745178434,1974.26223412453,-33.734782340186,4963.63309201865
"csr_exact_ld","exact",1972.59857163539,1972.59857163539,0,4996.54865235526
"csr_exact_ld","hard_sparse",1940.42408331533,1972.59857163539,-32.1744883200678,4964.37416403519
"csr_exact_ld","block_eigen_full_rank",1945.13840421895,1972.59857163539,-27.4601674164454,4969.08848493881
"csr_exact_ld","block_eigen_retained",1938.8355954817,1972.59857163539,-33.7629761536908,4962.78567620157
"csr_sparse_ld","exact",2083.57276381913,2083.57276381913,0,4970.50416086507
"csr_sparse_ld","hard_sparse",2020.87618634952,2083.57276381913,-62.6965774696099,4907.80758339546
"csr_sparse_ld","block_eigen_full_rank",2029.00079909827,2083.57276381913,-54.5719647208627,4915.9321961442
"csr_sparse_ld","block_eigen_retained",2022.26229985071,2083.57276381913,-61.3104639684166,4909.19369689665
"block_eigen_full_rank","exact",2076.68610935647,2076.68610935647,0,4967.02837218749
"block_eigen_full_rank","hard_sparse",2016.27985187036,2076.68610935647,-60.4062574861103,4906.62211470138
"block_eigen_full_rank","block_eigen_full_rank",2018.89751666256,2076.68610935647,-57.7885926939073,4909.23977949359
"block_eigen_full_rank","block_eigen_retained",2012.11394853358,2076.68610935647,-64.5721608228824,4902.45621136461
"block_eigen_retained","exact",2067.82895115325,2067.82895115325,0,4967.87803594888
"block_eigen_retained","hard_sparse",2008.67699351438,2067.82895115325,-59.1519576388676,4908.72607831001
"block_eigen_retained","block_eigen_full_rank",2011.47605980983,2067.82895115325,-56.35289134342,4911.52514460546
"block_eigen_retained","block_eigen_retained",2004.84086498479,2067.82895115325,-62.9880861684643,4904.88994978041
