"architecture","configuration","nburn","nit","failed_estimands","maximum_rhat","minimum_bulk_ess","minimum_tail_ess","maximum_relative_mcse","limiting_estimand","pass"
"sparse_homogeneous","block_csr",250,250,0,1.00359571144126,628.453170849849,838.50758949119,0.0399360406303074,"global_nonnull_proportion",TRUE
"sparse_homogeneous","block_csr",250,500,0,1.00144715718424,1044.64870185395,1569.94543094344,0.029967981839659,"vbs",TRUE
"sparse_homogeneous","block_csr",250,1000,0,1.00067478605791,2200.11756242336,3045.81888497879,0.0206531520401989,"global_nonnull_proportion",TRUE
"sparse_homogeneous","block_csr",250,2000,0,1.00045173079003,4855.28374953646,5980.43248714953,0.0140506070506579,"vbs",TRUE
"sparse_homogeneous","block_csr",500,250,0,1.00897772133129,434.34181421039,734.381929982548,0.0469524608361042,"vbs",TRUE
"sparse_homogeneous","block_csr",500,500,0,1.00169731374983,969.592187172641,1467.42922441322,0.0304384144931798,"global_nonnull_proportion",TRUE
"sparse_homogeneous","block_csr",500,1000,0,1.00091054436973,2288.84577785064,2909.89466167269,0.0201087273549277,"vbs",TRUE
"sparse_homogeneous","block_csr",500,2000,0,1.00049728696011,4776.72458402309,6036.52635380231,0.0142685697740721,"vld",TRUE
"sparse_homogeneous","block_csr",1000,250,0,1.00488224361428,708.998952620957,769.828635233869,0.0382498735232441,"vbs",TRUE
"sparse_homogeneous","block_csr",1000,500,0,1.00261287069242,1279.19628594663,1213.0975454944,0.0278442071597554,"vgs",TRUE
"sparse_homogeneous","block_csr",1000,1000,0,1.00092764216845,2457.758280878,3103.07824236439,0.0199837852048237,"vbs",TRUE
"sparse_homogeneous","block_csr",1000,2000,0,1.0009647725887,4860.05747778687,6122.30438084561,0.0142302937311687,"ves",TRUE
"sparse_homogeneous","block_eigen_hard",250,250,0,1.00753816520281,520.616697532161,764.430689618839,0.0425495177274837,"vbs",TRUE
"sparse_homogeneous","block_eigen_hard",250,500,0,1.00340529534889,1308.61109845531,1516.98413746265,0.0274290937583863,"global_nonnull_proportion",TRUE
"sparse_homogeneous","block_eigen_hard",250,1000,0,1.00172864917123,2385.69324643876,3222.79467181822,0.0204903213773349,"vbs",TRUE
"sparse_homogeneous","block_eigen_hard",250,2000,0,1.00047842502595,4503.21408173659,6413.03450921807,0.0147360917560093,"heritability",TRUE
"sparse_homogeneous","block_eigen_hard",500,250,0,1.00852090544417,698.075116673034,762.252067978627,0.0375605672112783,"global_nonnull_proportion",TRUE
"sparse_homogeneous","block_eigen_hard",500,500,0,1.00148333703532,1324.86576650346,1600.23267093244,0.0270206325271752,"global_nonnull_proportion",TRUE
"sparse_homogeneous","block_eigen_hard",500,1000,0,1.00112343367043,2528.44919464708,3364.88004742269,0.0199450479749441,"vbs",TRUE
"sparse_homogeneous","block_eigen_hard",500,2000,0,1.00046628146923,4527.67943962407,6342.17495248956,0.0147439119817582,"vbs",TRUE
"sparse_homogeneous","block_eigen_hard",1000,250,0,1.00536824014057,572.046797213048,687.91915388213,0.0439939885212552,"global_nonnull_proportion",TRUE
"sparse_homogeneous","block_eigen_hard",1000,500,0,1.00237792098841,1186.47425111706,1621.27466016068,0.0297662913498142,"vbs",TRUE
"sparse_homogeneous","block_eigen_hard",1000,1000,0,1.00154150331141,2151.15865056772,3235.10690255603,0.0214127782098833,"heritability",TRUE
"sparse_homogeneous","block_eigen_hard",1000,2000,0,1.00063178002301,4321.88138748022,6429.57894551497,0.0151349142112417,"vbs",TRUE
"sparse_homogeneous","block_eigen_ridge_fixed",250,250,0,1.00570786472536,617.915974568393,679.010592956894,0.0401165566866038,"global_nonnull_proportion",TRUE
"sparse_homogeneous","block_eigen_ridge_fixed",250,500,0,1.00192936696035,1250.18553289826,1626.83907888971,0.0279881798994547,"global_nonnull_proportion",TRUE
