"file","size_bytes","md5"
"benchmark_manifest.json",3027,"6dd90c59db95d12147ac29f693cf4fa3"
"block_design_candidates.csv",1273,"fa2e2c1f222a8b0dd560a04f46b6eb38"
"block_level_operator_diagnostics.csv",20308,"423cb40b8e6d881ef9254e367fe42144"
"candidate_settings.csv",13137,"a481923cd4189a77ad5f207190b3df29"
"computational_summary.csv",711,"8d08922a14a887379a15df66438fe867"
"config.R",3985,"95b35b7a58743ce28985295287534e56"
"contract_smoke_test.R",3136,"c79b30fce5a0d7dedc01c5376685b195"
"convergence_diagnostics.csv",155291,"d81a8baae8f07012d8633c119f353329"
"example_data_manifest.csv",1587,"fb5be7c21b86eec5bba53f876fe66afb"
"fit_status.csv",711,"8d08922a14a887379a15df66438fe867"
"fixed_ridge_candidates.csv",816,"d95601ec8deabb78f6dfe2fb0625cd1c"
"full_csr_operator_action_metrics.csv",400,"f4d4b3b58903a9acedf074643a4cd59f"
"hard_filter_candidates.csv",1087,"7e3678950c5e5df0a043f375cd558907"
"interface_audit_sources.csv",2762,"1358bcd3c701b767e648a1f155f7f610"
"method_recommendations.csv",1668,"ed2ce5fab1b7044766eb4af586c0a443"
"one_replicate_operator_pilot.csv",2360,"654a46d449af2ea31f52661c4c558e7d"
"operator_equivalence_summary.csv",811,"ba0b11a515f2858b350c3de8ba95c28e"
"operator_perturbation_metrics.csv",72049,"24364489554cd28284827ce6a3403e27"
"README.md",344,"a819aaee2e0e8c1287765b31ae2da6c2"
"reproduce.R",17935,"f5d6e2615cd9709c294c751227583568"
"ridge_lw_audit.csv",736,"ea556e71a47f48cb70e2f2c538d58da3"
"ridge_lw_diagnostics.csv",970,"d4e7ba9250337867fcf5a53e3929b077"
"seed_registry.csv",2340,"f2ffee15e38011155414c362a41f6f44"
"selected_block_definitions.csv",2248,"680eb524dcba0a23d55f396a214f306d"
"selected_block_design.csv",841,"840593e787e90d9bd35352d5abb7a1e2"
"selected_hard_filter.csv",651,"92fe74a6fc3b496b79563a37d396f31d"
"selected_ridge_filter.csv",422,"76551270b5ebe7c5275590adf0ff772e"
"session_info.txt",2498,"c02cb16937df8cb02bf23bae364dde8d"
"source_files.csv",966,"93c8e0268a4328edf304d1a725266aa5"
"synthetic_filter_validation.csv",1458,"ad52edd4aa537ee97a8bd9b75c6a24dd"
