"architecture","replicate","configuration","posterior_heritability","vgs","ves","vbs","vld","vle","pis","prediction_correlation","marker_effect_correlation","runtime_seconds","warnings"
"sparse_homogeneous",1,"block_csr",0.295866603285829,0.423684272132008,1.00832686878983,0.0102188095788532,-0.000844775893198393,0.424529048025206,0.00101015323261312,0.519883464072673,0.920866192477667,11.67,""
"sparse_homogeneous",1,"block_eigen_hard",0.295230330642691,0.422838176347708,1.00939331364597,0.0101328306801622,-0.000852684793399725,0.423690861141108,0.00100910333165559,0.519681613222836,0.92117270672489,176.22,""
"sparse_homogeneous",1,"block_eigen_ridge_fixed",0.294911324972025,0.422016129964754,1.008977169478,0.0102262526698025,-0.000791859923581777,0.422807989888336,0.00100961086480259,0.52046662674672,0.920799545908856,132.46,""
"sparse_homogeneous",1,"block_eigen_unfiltered",0.294384946850388,0.421131610806459,1.00941575689059,0.010180134435557,-0.00084816869823187,0.421979779504691,0.00100910046320178,0.519399988288117,0.920418623677595,151.13,""
"sparse_homogeneous",1,"full_csr",0.294401553910005,0.421150030421575,1.00937920703726,0.0102366977330176,-0.000551427864552722,0.421701458286127,0.00101145572495694,0.520953571091519,0.923417206108352,10.05,""
"sparse_mixture",1,"block_csr",0.377341167073726,0.526937838191673,0.869511540173445,0.00440298582766213,-0.00081175422299536,0.527749592414668,0.00996390605019532,0.499538415426896,0.914827574017173,57.37,""
"sparse_mixture",1,"block_eigen_hard",0.377437373503994,0.527045875508456,0.869333795681892,0.0044746470346668,-0.000800194568899124,0.527846070077355,0.00995986544262128,0.49963014455252,0.915497516891382,243.75,""
"sparse_mixture",1,"block_eigen_ridge_fixed",0.377900652499037,0.527541354430802,0.868437591205304,0.0044417066309564,-0.000784617885094203,0.528325972315896,0.00996280604373315,0.498688970829547,0.91507632844737,212.68,""
"sparse_mixture",1,"block_eigen_unfiltered",0.378421119803179,0.529094201136869,0.86906825187859,0.00453773793523293,-0.000830728689778801,0.529924929826648,0.0099607475160096,0.498653690552984,0.915471812253792,205.87,""
"sparse_mixture",1,"full_csr",0.3766954952754,0.52638843417032,0.870996033582553,0.00444816995540399,-0.00014924936999735,0.526537683540317,0.00996660234325824,0.50036527703396,0.91665255655612,52.71,""
