"start","size","n_kept","mu_min","shrink"
0,1000,1000,0,1
1000,1000,1000,0,1
2000,1000,1000,0,1
3000,1000,1000,0,1
4000,1000,1000,0,0.997907231949277
5000,1000,1000,0,0.999325493169249
6000,1000,1000,0,0.995658732538803
7000,1000,1000,0,1
8000,1000,1000,0,1
9000,1000,1000,0,1
10000,1000,1000,0,1
11000,1000,1000,0,1
12000,1000,1000,0,1
13000,1000,1000,0,1
14000,1000,1000,0,0.997740310855278
15000,1000,1000,0,0.997019829482807
16000,1000,1000,0,1
17000,1000,1000,0,1
18000,1000,1000,0,0.998722858756178
19000,1000,1000,0,1
20000,1000,1000,0,0.999546724975223
21000,1000,1000,0,1
22000,1000,1000,0,1
23000,1000,1000,0,1
24000,1000,1000,0,1
25000,1000,1000,0,1
26000,1000,1000,0,0.996656083927337
27000,1000,1000,0,1
28000,1000,1000,0,1
29000,1000,1000,0,1
30000,1000,1000,0,1
31000,1000,1000,0,1
32000,1000,1000,0,1
33000,1000,1000,0,0.999504658342463
34000,1000,1000,0,1
35000,1000,1000,0,1
36000,1000,1000,0,1
37000,991,991,0,1
