"architecture","replicate","configuration","chain","data_selection_seed","simulation_seed","fit_seed","chain_seed"
"sparse_homogeneous",1,"block_csr",1,3101,61100,664100,664201
"sparse_homogeneous",1,"block_csr",2,3101,61100,664100,664302
"sparse_homogeneous",1,"block_csr",3,3101,61100,664100,664403
"sparse_homogeneous",1,"block_csr",4,3101,61100,664100,664504
"sparse_homogeneous",1,"block_eigen_hard",1,3101,61100,666100,666201
"sparse_homogeneous",1,"block_eigen_hard",2,3101,61100,666100,666302
"sparse_homogeneous",1,"block_eigen_hard",3,3101,61100,666100,666403
"sparse_homogeneous",1,"block_eigen_hard",4,3101,61100,666100,666504
"sparse_homogeneous",1,"block_eigen_ridge_fixed",1,3101,61100,667100,667201
"sparse_homogeneous",1,"block_eigen_ridge_fixed",2,3101,61100,667100,667302
"sparse_homogeneous",1,"block_eigen_ridge_fixed",3,3101,61100,667100,667403
"sparse_homogeneous",1,"block_eigen_ridge_fixed",4,3101,61100,667100,667504
"sparse_homogeneous",1,"block_eigen_unfiltered",1,3101,61100,665100,665201
"sparse_homogeneous",1,"block_eigen_unfiltered",2,3101,61100,665100,665302
"sparse_homogeneous",1,"block_eigen_unfiltered",3,3101,61100,665100,665403
"sparse_homogeneous",1,"block_eigen_unfiltered",4,3101,61100,665100,665504
"sparse_mixture",1,"block_csr",1,3101,71100,674100,674201
"sparse_mixture",1,"block_csr",2,3101,71100,674100,674302
"sparse_mixture",1,"block_csr",3,3101,71100,674100,674403
"sparse_mixture",1,"block_csr",4,3101,71100,674100,674504
"sparse_mixture",1,"block_eigen_hard",1,3101,71100,676100,676201
"sparse_mixture",1,"block_eigen_hard",2,3101,71100,676100,676302
"sparse_mixture",1,"block_eigen_hard",3,3101,71100,676100,676403
"sparse_mixture",1,"block_eigen_hard",4,3101,71100,676100,676504
"sparse_mixture",1,"block_eigen_ridge_fixed",1,3101,71100,677100,677201
"sparse_mixture",1,"block_eigen_ridge_fixed",2,3101,71100,677100,677302
"sparse_mixture",1,"block_eigen_ridge_fixed",3,3101,71100,677100,677403
"sparse_mixture",1,"block_eigen_ridge_fixed",4,3101,71100,677100,677504
"sparse_mixture",1,"block_eigen_unfiltered",1,3101,71100,675100,675201
"sparse_mixture",1,"block_eigen_unfiltered",2,3101,71100,675100,675302
"sparse_mixture",1,"block_eigen_unfiltered",3,3101,71100,675100,675403
"sparse_mixture",1,"block_eigen_unfiltered",4,3101,71100,675100,675504
