"architecture","replicate","configuration","method","preprocessing_time","summary_statistic_time","ld_construction_time","model_fitting_time","prediction_time","metric_generation_time","total_time","output_size_bytes","memory_bytes_estimate","warnings","failures"
"sparse_homogeneous",1,"bed","bayesc",0.199999999999989,0,0.199999999999989,26.0300000000002,,,26.0300000000002,77403864,21156528,"",""
"sparse_homogeneous",1,"block_csr","sbayesc",0.199999999999989,0,0.199999999999989,10.1399999999999,,,10.1399999999999,76919944,16160784,"",""
"sparse_homogeneous",1,"block_eigen_hard","sbayesc",0.199999999999989,0,0.199999999999989,186.42,,,186.42,76929288,16160784,"",""
"sparse_homogeneous",1,"block_eigen_ridge_fixed","sbayesc",0.199999999999989,0,0.199999999999989,139.21,,,139.21,76929288,16160784,"",""
"sparse_homogeneous",1,"block_eigen_unfiltered","sbayesc",0.199999999999989,0,0.199999999999989,164.56,,,164.56,76929288,16160784,"",""
"sparse_homogeneous",1,"full_csr","sbayesc",0.199999999999989,0,0.199999999999989,10.48,,,10.48,76919944,16160784,"",""
"sparse_homogeneous",2,"bed","bayesc",0.199999999999989,0,0.199999999999989,26.8000000000002,,,26.8000000000002,77403864,21156528,"",""
"sparse_homogeneous",2,"block_csr","sbayesc",0.199999999999989,0,0.199999999999989,10.6299999999997,,,10.6299999999997,76919944,16160784,"",""
"sparse_homogeneous",2,"block_eigen_hard","sbayesc",0.199999999999989,0,0.199999999999989,173.02,,,173.02,76929288,16160784,"",""
"sparse_homogeneous",2,"block_eigen_ridge_fixed","sbayesc",0.199999999999989,0,0.199999999999989,157.36,,,157.36,76929288,16160784,"",""
"sparse_homogeneous",2,"block_eigen_unfiltered","sbayesc",0.199999999999989,0,0.199999999999989,140.14,,,140.14,76929288,16160784,"",""
"sparse_homogeneous",2,"full_csr","sbayesc",0.199999999999989,0,0.199999999999989,9.83999999999969,,,9.83999999999969,76919944,16160784,"",""
"sparse_homogeneous",3,"bed","bayesc",0.199999999999989,0,0.199999999999989,27.2399999999998,,,27.2399999999998,77403864,21156528,"",""
"sparse_homogeneous",3,"block_csr","sbayesc",0.199999999999989,0,0.199999999999989,10.5199999999995,,,10.5199999999995,76919944,16160784,"",""
"sparse_homogeneous",3,"block_eigen_hard","sbayesc",0.199999999999989,0,0.199999999999989,171.94,,,171.94,76929408,16160784,"",""
"sparse_homogeneous",3,"block_eigen_ridge_fixed","sbayesc",0.199999999999989,0,0.199999999999989,149.25,,,149.25,76929288,16160784,"",""
"sparse_homogeneous",3,"block_eigen_unfiltered","sbayesc",0.199999999999989,0,0.199999999999989,140.8,,,140.8,76929288,16160784,"",""
"sparse_homogeneous",3,"full_csr","sbayesc",0.199999999999989,0,0.199999999999989,10.6700000000001,,,10.6700000000001,76919944,16160784,"",""
"sparse_homogeneous",4,"bed","bayesc",0.199999999999989,0,0.199999999999989,27.0799999999999,,,27.0799999999999,77403864,21156528,"",""
"sparse_homogeneous",4,"block_csr","sbayesc",0.199999999999989,0,0.199999999999989,12.1800000000003,,,12.1800000000003,76919944,16160784,"",""
"sparse_homogeneous",4,"block_eigen_hard","sbayesc",0.199999999999989,0,0.199999999999989,154.21,,,154.21,76929288,16160784,"",""
"sparse_homogeneous",4,"block_eigen_ridge_fixed","sbayesc",0.199999999999989,0,0.199999999999989,131.12,,,131.12,76929288,16160784,"",""
"sparse_homogeneous",4,"block_eigen_unfiltered","sbayesc",0.199999999999989,0,0.199999999999989,151.23,,,151.23,76929288,16160784,"",""
"sparse_homogeneous",4,"full_csr","sbayesc",0.199999999999989,0,0.199999999999989,10.25,,,10.25,76919944,16160784,"",""
"sparse_homogeneous",5,"bed","bayesc",0.199999999999989,0,0.199999999999989,28.6999999999998,,,28.6999999999998,77403864,21156528,"",""
"sparse_homogeneous",5,"block_csr","sbayesc",0.199999999999989,0,0.199999999999989,10.5299999999997,,,10.5299999999997,76919944,16160784,"",""
"sparse_homogeneous",5,"block_eigen_hard","sbayesc",0.199999999999989,0,0.199999999999989,160.12,,,160.12,76929288,16160784,"",""
"sparse_homogeneous",5,"block_eigen_ridge_fixed","sbayesc",0.199999999999989,0,0.199999999999989,161.36,,,161.36,76929288,16160784,"",""
