"architecture","replicate","configuration","method","status","error_message","chain_count","warnings"
"sparse_homogeneous",1,"bed","bayesc","ok","",4,""
"sparse_homogeneous",1,"block_csr","sbayesc","ok","",4,""
"sparse_homogeneous",1,"block_eigen_hard","sbayesc","ok","",4,""
"sparse_homogeneous",1,"block_eigen_ridge_fixed","sbayesc","ok","",4,""
"sparse_homogeneous",1,"block_eigen_unfiltered","sbayesc","ok","",4,""
"sparse_homogeneous",1,"full_csr","sbayesc","ok","",4,""
"sparse_homogeneous",2,"bed","bayesc","ok","",4,""
"sparse_homogeneous",2,"block_csr","sbayesc","ok","",4,""
"sparse_homogeneous",2,"block_eigen_hard","sbayesc","ok","",4,""
"sparse_homogeneous",2,"block_eigen_ridge_fixed","sbayesc","ok","",4,""
"sparse_homogeneous",2,"block_eigen_unfiltered","sbayesc","ok","",4,""
"sparse_homogeneous",2,"full_csr","sbayesc","ok","",4,""
"sparse_homogeneous",3,"bed","bayesc","ok","",4,""
"sparse_homogeneous",3,"block_csr","sbayesc","ok","",4,""
"sparse_homogeneous",3,"block_eigen_hard","sbayesc","ok","",4,""
"sparse_homogeneous",3,"block_eigen_ridge_fixed","sbayesc","ok","",4,""
"sparse_homogeneous",3,"block_eigen_unfiltered","sbayesc","ok","",4,""
"sparse_homogeneous",3,"full_csr","sbayesc","ok","",4,""
"sparse_homogeneous",4,"bed","bayesc","ok","",4,""
"sparse_homogeneous",4,"block_csr","sbayesc","ok","",4,""
"sparse_homogeneous",4,"block_eigen_hard","sbayesc","ok","",4,""
"sparse_homogeneous",4,"block_eigen_ridge_fixed","sbayesc","ok","",4,""
"sparse_homogeneous",4,"block_eigen_unfiltered","sbayesc","ok","",4,""
"sparse_homogeneous",4,"full_csr","sbayesc","ok","",4,""
"sparse_homogeneous",5,"bed","bayesc","ok","",4,""
"sparse_homogeneous",5,"block_csr","sbayesc","ok","",4,""
"sparse_homogeneous",5,"block_eigen_hard","sbayesc","ok","",4,""
"sparse_homogeneous",5,"block_eigen_ridge_fixed","sbayesc","ok","",4,""
"sparse_homogeneous",5,"block_eigen_unfiltered","sbayesc","ok","",4,""
"sparse_homogeneous",5,"full_csr","sbayesc","ok","",4,""
"sparse_mixture",1,"bed","bayesr","ok","",4,""
"sparse_mixture",1,"block_csr","sbayesr","ok","",4,""
"sparse_mixture",1,"block_eigen_hard","sbayesr","ok","",4,""
"sparse_mixture",1,"block_eigen_ridge_fixed","sbayesr","ok","",4,""
"sparse_mixture",1,"block_eigen_unfiltered","sbayesr","ok","",4,""
"sparse_mixture",1,"full_csr","sbayesr","ok","",4,""
"sparse_mixture",2,"bed","bayesr","ok","",4,""
"sparse_mixture",2,"block_csr","sbayesr","ok","",4,""
"sparse_mixture",2,"block_eigen_hard","sbayesr","ok","",4,""
"sparse_mixture",2,"block_eigen_ridge_fixed","sbayesr","ok","",4,""
"sparse_mixture",2,"block_eigen_unfiltered","sbayesr","ok","",4,""
"sparse_mixture",2,"full_csr","sbayesr","ok","",4,""
"sparse_mixture",3,"bed","bayesr","ok","",4,""
"sparse_mixture",3,"block_csr","sbayesr","ok","",4,""
"sparse_mixture",3,"block_eigen_hard","sbayesr","ok","",4,""
"sparse_mixture",3,"block_eigen_ridge_fixed","sbayesr","ok","",4,""
"sparse_mixture",3,"block_eigen_unfiltered","sbayesr","ok","",4,""
"sparse_mixture",3,"full_csr","sbayesr","ok","",4,""
"sparse_mixture",4,"bed","bayesr","ok","",4,""
"sparse_mixture",4,"block_csr","sbayesr","ok","",4,""
"sparse_mixture",4,"block_eigen_hard","sbayesr","ok","",4,""
"sparse_mixture",4,"block_eigen_ridge_fixed","sbayesr","ok","",4,""
"sparse_mixture",4,"block_eigen_unfiltered","sbayesr","ok","",4,""
"sparse_mixture",4,"full_csr","sbayesr","ok","",4,""
"sparse_mixture",5,"bed","bayesr","ok","",4,""
"sparse_mixture",5,"block_csr","sbayesr","ok","",4,""
"sparse_mixture",5,"block_eigen_hard","sbayesr","ok","",4,""
"sparse_mixture",5,"block_eigen_ridge_fixed","sbayesr","ok","",4,""
"sparse_mixture",5,"block_eigen_unfiltered","sbayesr","ok","",4,""
"sparse_mixture",5,"full_csr","sbayesr","ok","",4,""
