"installed_commit","consulted_path","access","sibling_modified"
"92ff3f6e7a0b1228f9f04b693d91a36d86934b0f","R/stblr-public.R","read_only_git_show_or_read_only_worktree",FALSE
"92ff3f6e7a0b1228f9f04b693d91a36d86934b0f","R/stblr-block-eigen.R","read_only_git_show_or_read_only_worktree",FALSE
"92ff3f6e7a0b1228f9f04b693d91a36d86934b0f","R/stblr-csr-annot.R","read_only_git_show_or_read_only_worktree",FALSE
"92ff3f6e7a0b1228f9f04b693d91a36d86934b0f","R/mtblr-bed.R","read_only_git_show_or_read_only_worktree",FALSE
"92ff3f6e7a0b1228f9f04b693d91a36d86934b0f","R/mtblr-csr.R","read_only_git_show_or_read_only_worktree",FALSE
"92ff3f6e7a0b1228f9f04b693d91a36d86934b0f","R/mtblr-block-eigen.R","read_only_git_show_or_read_only_worktree",FALSE
"92ff3f6e7a0b1228f9f04b693d91a36d86934b0f","R/mtblr-bayesr.R","read_only_git_show_or_read_only_worktree",FALSE
"92ff3f6e7a0b1228f9f04b693d91a36d86934b0f","R/mtblr-bayesrc.R","read_only_git_show_or_read_only_worktree",FALSE
"92ff3f6e7a0b1228f9f04b693d91a36d86934b0f","R/interface_mtblr.R","read_only_git_show_or_read_only_worktree",FALSE
"92ff3f6e7a0b1228f9f04b693d91a36d86934b0f","R/sparse_ld_bed_helper.R","read_only_git_show_or_read_only_worktree",FALSE
"92ff3f6e7a0b1228f9f04b693d91a36d86934b0f","src/st_bed_decode.h","read_only_git_show_or_read_only_worktree",FALSE
"92ff3f6e7a0b1228f9f04b693d91a36d86934b0f","src/st_block_eigen.cpp","read_only_git_show_or_read_only_worktree",FALSE
"92ff3f6e7a0b1228f9f04b693d91a36d86934b0f","src/blr_block_eigen.h","read_only_git_show_or_read_only_worktree",FALSE
"92ff3f6e7a0b1228f9f04b693d91a36d86934b0f","tests/testthat/helper-blr-fixtures.R","read_only_git_show_or_read_only_worktree",FALSE
"92ff3f6e7a0b1228f9f04b693d91a36d86934b0f","tests/testthat/test-stblr-block-eigen.R","read_only_git_show_or_read_only_worktree",FALSE
"92ff3f6e7a0b1228f9f04b693d91a36d86934b0f","tests/testthat/test-blr-operator-reductions.R","read_only_git_show_or_read_only_worktree",FALSE
"92ff3f6e7a0b1228f9f04b693d91a36d86934b0f","docs/methods/block_eigen_operator.qmd","read_only_git_show_or_read_only_worktree",FALSE
"92ff3f6e7a0b1228f9f04b693d91a36d86934b0f","docs/dev/blr_output_schema.md","read_only_git_show_or_read_only_worktree",FALSE
"92ff3f6e7a0b1228f9f04b693d91a36d86934b0f","docs/dev/blr_model_capability_matrix.md","read_only_git_show_or_read_only_worktree",FALSE
"92ff3f6e7a0b1228f9f04b693d91a36d86934b0f","docs/methods/mt_bayesr_sbayesr.qmd","read_only_git_show_or_read_only_worktree",FALSE
"92ff3f6e7a0b1228f9f04b693d91a36d86934b0f","docs/methods/mt_bayesrc_sbayesrc.qmd","read_only_git_show_or_read_only_worktree",FALSE
"92ff3f6e7a0b1228f9f04b693d91a36d86934b0f","examples/workflows/operator_comparison_workflow.R","read_only_git_show_or_read_only_worktree",FALSE
