"architecture","replicate","configuration","method","metric","value","available","unavailable_reason"
"sparse_homogeneous",1,"bed","bayesc","causal_marker_effect_correlation",0.920987164938688,TRUE,""
"sparse_homogeneous",1,"bed","bayesc","genetic_value_reconstruction_correlation",0.923848906283986,TRUE,""
"sparse_homogeneous",1,"bed","bayesc","high_pip_marker_count",16,TRUE,""
"sparse_homogeneous",1,"bed","bayesc","marker_effect_correlation",0.922270767371729,TRUE,""
"sparse_homogeneous",1,"bed","bayesc","marker_effect_rmse",0.00129577436597753,TRUE,""
"sparse_homogeneous",1,"bed","bayesc","noncausal_marker_rmse",8.14153461438304e-05,TRUE,""
"sparse_homogeneous",1,"bed","bayesc","nonnull_probability_mean",0.000539864704798505,TRUE,""
"sparse_homogeneous",1,"block_csr","sbayesc","causal_marker_effect_correlation",0.933799460583325,TRUE,""
"sparse_homogeneous",1,"block_csr","sbayesc","genetic_value_reconstruction_correlation",0.922610419633947,TRUE,""
"sparse_homogeneous",1,"block_csr","sbayesc","high_pip_marker_count",19,TRUE,""
"sparse_homogeneous",1,"block_csr","sbayesc","marker_effect_correlation",0.920866192477667,TRUE,""
"sparse_homogeneous",1,"block_csr","sbayesc","marker_effect_rmse",0.00130743248558474,TRUE,""
"sparse_homogeneous",1,"block_csr","sbayesc","noncausal_marker_rmse",0.000521975078155107,TRUE,""
"sparse_homogeneous",1,"block_csr","sbayesc","nonnull_probability_mean",0.00110005001184491,TRUE,""
"sparse_homogeneous",1,"block_eigen_hard","sbayesc","causal_marker_effect_correlation",0.934116093324217,TRUE,""
"sparse_homogeneous",1,"block_eigen_hard","sbayesc","genetic_value_reconstruction_correlation",0.922865733877605,TRUE,""
"sparse_homogeneous",1,"block_eigen_hard","sbayesc","high_pip_marker_count",19,TRUE,""
"sparse_homogeneous",1,"block_eigen_hard","sbayesc","marker_effect_correlation",0.92117270672489,TRUE,""
"sparse_homogeneous",1,"block_eigen_hard","sbayesc","marker_effect_rmse",0.00130516396504649,TRUE,""
"sparse_homogeneous",1,"block_eigen_hard","sbayesc","noncausal_marker_rmse",0.000520386609514269,TRUE,""
"sparse_homogeneous",1,"block_eigen_hard","sbayesc","nonnull_probability_mean",0.00111636966649996,TRUE,""
"sparse_homogeneous",1,"block_eigen_ridge_fixed","sbayesc","causal_marker_effect_correlation",0.933552082558679,TRUE,""
"sparse_homogeneous",1,"block_eigen_ridge_fixed","sbayesc","genetic_value_reconstruction_correlation",0.922466108473438,TRUE,""
"sparse_homogeneous",1,"block_eigen_ridge_fixed","sbayesc","high_pip_marker_count",19,TRUE,""
"sparse_homogeneous",1,"block_eigen_ridge_fixed","sbayesc","marker_effect_correlation",0.920799545908856,TRUE,""
"sparse_homogeneous",1,"block_eigen_ridge_fixed","sbayesc","marker_effect_rmse",0.00130815402320604,TRUE,""
"sparse_homogeneous",1,"block_eigen_ridge_fixed","sbayesc","noncausal_marker_rmse",0.000517390598112429,TRUE,""
"sparse_homogeneous",1,"block_eigen_ridge_fixed","sbayesc","nonnull_probability_mean",0.00110897317785791,TRUE,""
"sparse_homogeneous",1,"block_eigen_unfiltered","sbayesc","causal_marker_effect_correlation",0.93333639638283,TRUE,""
"sparse_homogeneous",1,"block_eigen_unfiltered","sbayesc","genetic_value_reconstruction_correlation",0.922010251671533,TRUE,""
