"configuration","output","available","reason"
"bed","component_probabilities",FALSE,"not returned by the installed public fit contract"
"bed","log_cpo",FALSE,"not returned by the installed public fit contract"
"bed","marker_effects",TRUE,""
"bed","mean_log_cpo",FALSE,"not returned by the installed public fit contract"
"bed","nonnull_probabilities",TRUE,""
"bed","vbs",TRUE,""
"bed","ves",TRUE,""
"bed","vgs",TRUE,""
"bed","vld",TRUE,""
"bed","vle",TRUE,""
"block_csr","component_probabilities",FALSE,"not returned by the installed public fit contract"
"block_csr","log_cpo",FALSE,"not returned by the installed public fit contract"
"block_csr","marker_effects",TRUE,""
"block_csr","mean_log_cpo",FALSE,"not returned by the installed public fit contract"
"block_csr","nonnull_probabilities",TRUE,""
"block_csr","vbs",TRUE,""
"block_csr","ves",TRUE,""
"block_csr","vgs",TRUE,""
"block_csr","vld",TRUE,""
"block_csr","vle",TRUE,""
"block_eigen_hard","component_probabilities",FALSE,"not returned by the installed public fit contract"
"block_eigen_hard","log_cpo",FALSE,"not returned by the installed public fit contract"
"block_eigen_hard","marker_effects",TRUE,""
"block_eigen_hard","mean_log_cpo",FALSE,"not returned by the installed public fit contract"
"block_eigen_hard","nonnull_probabilities",TRUE,""
"block_eigen_hard","vbs",TRUE,""
"block_eigen_hard","ves",TRUE,""
"block_eigen_hard","vgs",TRUE,""
"block_eigen_hard","vld",TRUE,""
"block_eigen_hard","vle",TRUE,""
"block_eigen_ridge_fixed","component_probabilities",FALSE,"not returned by the installed public fit contract"
"block_eigen_ridge_fixed","log_cpo",FALSE,"not returned by the installed public fit contract"
"block_eigen_ridge_fixed","marker_effects",TRUE,""
"block_eigen_ridge_fixed","mean_log_cpo",FALSE,"not returned by the installed public fit contract"
"block_eigen_ridge_fixed","nonnull_probabilities",TRUE,""
"block_eigen_ridge_fixed","vbs",TRUE,""
"block_eigen_ridge_fixed","ves",TRUE,""
"block_eigen_ridge_fixed","vgs",TRUE,""
"block_eigen_ridge_fixed","vld",TRUE,""
"block_eigen_ridge_fixed","vle",TRUE,""
"block_eigen_unfiltered","component_probabilities",FALSE,"not returned by the installed public fit contract"
"block_eigen_unfiltered","log_cpo",FALSE,"not returned by the installed public fit contract"
"block_eigen_unfiltered","marker_effects",TRUE,""
"block_eigen_unfiltered","mean_log_cpo",FALSE,"not returned by the installed public fit contract"
"block_eigen_unfiltered","nonnull_probabilities",TRUE,""
"block_eigen_unfiltered","vbs",TRUE,""
"block_eigen_unfiltered","ves",TRUE,""
"block_eigen_unfiltered","vgs",TRUE,""
"block_eigen_unfiltered","vld",TRUE,""
"block_eigen_unfiltered","vle",TRUE,""
"full_csr","component_probabilities",FALSE,"not returned by the installed public fit contract"
"full_csr","log_cpo",FALSE,"not returned by the installed public fit contract"
"full_csr","marker_effects",TRUE,""
"full_csr","mean_log_cpo",FALSE,"not returned by the installed public fit contract"
"full_csr","nonnull_probabilities",TRUE,""
"full_csr","vbs",TRUE,""
"full_csr","ves",TRUE,""
"full_csr","vgs",TRUE,""
"full_csr","vld",TRUE,""
"full_csr","vle",TRUE,""
