"architecture","configuration","estimand","replicate_count","successful_replicates","mean_bias","rmse","mae","observed_coverage_count","observed_coverage_proportion","mean_interval_width","coverage_interpretation"
"sparse_homogeneous","bed","heritability",5,5,-0.0301622187033839,0.0332051909133165,0.0301622187033839,3,0.6,0.0580247688702631,"coarse five-replicate observed coverage; each miss changes 20 percentage points"
"sparse_homogeneous","block_csr","heritability",5,5,0.00105797848041124,0.0184878218044033,0.014828528646102,5,1,0.0689640456104597,"coarse five-replicate observed coverage; each miss changes 20 percentage points"
"sparse_homogeneous","block_eigen_hard","heritability",5,5,0.000864898659563873,0.0183015700564511,0.0146360695467344,5,1,0.0719737652317445,"coarse five-replicate observed coverage; each miss changes 20 percentage points"
"sparse_homogeneous","block_eigen_ridge_fixed","heritability",5,5,0.000903011180667601,0.0186850479451872,0.015141909239529,5,1,0.0725876117764055,"coarse five-replicate observed coverage; each miss changes 20 percentage points"
"sparse_homogeneous","block_eigen_unfiltered","heritability",5,5,0.000932956462100687,0.0185775846790261,0.0150768182112195,5,1,0.0701678834582604,"coarse five-replicate observed coverage; each miss changes 20 percentage points"
"sparse_homogeneous","full_csr","heritability",5,5,0.000253227675366141,0.017524049864275,0.0142188745505586,5,1,0.0707108338714435,"coarse five-replicate observed coverage; each miss changes 20 percentage points"
"sparse_mixture","bed","heritability",5,5,-0.00102905015019529,0.0146902477007768,0.0122057952656596,5,1,0.0630426382691121,"coarse five-replicate observed coverage; each miss changes 20 percentage points"
"sparse_mixture","block_csr","heritability",5,5,0.112786623208647,0.115703627537216,0.112786623208647,0,0,0.0912760564728085,"coarse five-replicate observed coverage; each miss changes 20 percentage points"
"sparse_mixture","block_eigen_hard","heritability",5,5,0.112813326611427,0.115791318158079,0.112813326611427,0,0,0.0913312977215848,"coarse five-replicate observed coverage; each miss changes 20 percentage points"
"sparse_mixture","block_eigen_ridge_fixed","heritability",5,5,0.112731571998905,0.115617932538419,0.112731571998905,0,0,0.0925171273284086,"coarse five-replicate observed coverage; each miss changes 20 percentage points"
"sparse_mixture","block_eigen_unfiltered","heritability",5,5,0.112860427075096,0.115755938950311,0.112860427075096,0,0,0.0923554428625017,"coarse five-replicate observed coverage; each miss changes 20 percentage points"
"sparse_mixture","full_csr","heritability",5,5,0.116056198798261,0.119272647487377,0.116056198798261,0,0,0.092502826288449,"coarse five-replicate observed coverage; each miss changes 20 percentage points"
