"architecture","replicate","configuration","chain","data_selection_seed","simulation_seed","fit_seed","chain_seed"
"sparse_homogeneous",1,"bed",1,3101,61100,662100,662201
"sparse_homogeneous",1,"bed",2,3101,61100,662100,662302
"sparse_homogeneous",1,"bed",3,3101,61100,662100,662403
"sparse_homogeneous",1,"bed",4,3101,61100,662100,662504
"sparse_homogeneous",1,"block_csr",1,3101,61100,664100,664201
"sparse_homogeneous",1,"block_csr",2,3101,61100,664100,664302
"sparse_homogeneous",1,"block_csr",3,3101,61100,664100,664403
"sparse_homogeneous",1,"block_csr",4,3101,61100,664100,664504
"sparse_homogeneous",1,"block_eigen_hard",1,3101,61100,666100,666201
"sparse_homogeneous",1,"block_eigen_hard",2,3101,61100,666100,666302
"sparse_homogeneous",1,"block_eigen_hard",3,3101,61100,666100,666403
"sparse_homogeneous",1,"block_eigen_hard",4,3101,61100,666100,666504
"sparse_homogeneous",1,"block_eigen_ridge_fixed",1,3101,61100,667100,667201
"sparse_homogeneous",1,"block_eigen_ridge_fixed",2,3101,61100,667100,667302
"sparse_homogeneous",1,"block_eigen_ridge_fixed",3,3101,61100,667100,667403
"sparse_homogeneous",1,"block_eigen_ridge_fixed",4,3101,61100,667100,667504
"sparse_homogeneous",1,"block_eigen_unfiltered",1,3101,61100,665100,665201
"sparse_homogeneous",1,"block_eigen_unfiltered",2,3101,61100,665100,665302
"sparse_homogeneous",1,"block_eigen_unfiltered",3,3101,61100,665100,665403
"sparse_homogeneous",1,"block_eigen_unfiltered",4,3101,61100,665100,665504
"sparse_homogeneous",1,"full_csr",1,3101,61100,663100,663201
"sparse_homogeneous",1,"full_csr",2,3101,61100,663100,663302
"sparse_homogeneous",1,"full_csr",3,3101,61100,663100,663403
"sparse_homogeneous",1,"full_csr",4,3101,61100,663100,663504
"sparse_homogeneous",2,"bed",1,3101,61200,662200,662301
"sparse_homogeneous",2,"bed",2,3101,61200,662200,662402
"sparse_homogeneous",2,"bed",3,3101,61200,662200,662503
"sparse_homogeneous",2,"bed",4,3101,61200,662200,662604
"sparse_homogeneous",2,"block_csr",1,3101,61200,664200,664301
"sparse_homogeneous",2,"block_csr",2,3101,61200,664200,664402
"sparse_homogeneous",2,"block_csr",3,3101,61200,664200,664503
"sparse_homogeneous",2,"block_csr",4,3101,61200,664200,664604
"sparse_homogeneous",2,"block_eigen_hard",1,3101,61200,666200,666301
"sparse_homogeneous",2,"block_eigen_hard",2,3101,61200,666200,666402
"sparse_homogeneous",2,"block_eigen_hard",3,3101,61200,666200,666503
"sparse_homogeneous",2,"block_eigen_hard",4,3101,61200,666200,666604
"sparse_homogeneous",2,"block_eigen_ridge_fixed",1,3101,61200,667200,667301
"sparse_homogeneous",2,"block_eigen_ridge_fixed",2,3101,61200,667200,667402
"sparse_homogeneous",2,"block_eigen_ridge_fixed",3,3101,61200,667200,667503
"sparse_homogeneous",2,"block_eigen_ridge_fixed",4,3101,61200,667200,667604
"sparse_homogeneous",2,"block_eigen_unfiltered",1,3101,61200,665200,665301
"sparse_homogeneous",2,"block_eigen_unfiltered",2,3101,61200,665200,665402
"sparse_homogeneous",2,"block_eigen_unfiltered",3,3101,61200,665200,665503
"sparse_homogeneous",2,"block_eigen_unfiltered",4,3101,61200,665200,665604
"sparse_homogeneous",2,"full_csr",1,3101,61200,663200,663301
"sparse_homogeneous",2,"full_csr",2,3101,61200,663200,663402
"sparse_homogeneous",2,"full_csr",3,3101,61200,663200,663503
"sparse_homogeneous",2,"full_csr",4,3101,61200,663200,663604
"sparse_homogeneous",3,"bed",1,3101,61300,662300,662401
"sparse_homogeneous",3,"bed",2,3101,61300,662300,662502
"sparse_homogeneous",3,"bed",3,3101,61300,662300,662603
"sparse_homogeneous",3,"bed",4,3101,61300,662300,662704
"sparse_homogeneous",3,"block_csr",1,3101,61300,664300,664401
"sparse_homogeneous",3,"block_csr",2,3101,61300,664300,664502
"sparse_homogeneous",3,"block_csr",3,3101,61300,664300,664603
"sparse_homogeneous",3,"block_csr",4,3101,61300,664300,664704
"sparse_homogeneous",3,"block_eigen_hard",1,3101,61300,666300,666401
"sparse_homogeneous",3,"block_eigen_hard",2,3101,61300,666300,666502
"sparse_homogeneous",3,"block_eigen_hard",3,3101,61300,666300,666603
"sparse_homogeneous",3,"block_eigen_hard",4,3101,61300,666300,666704
"sparse_homogeneous",3,"block_eigen_ridge_fixed",1,3101,61300,667300,667401
"sparse_homogeneous",3,"block_eigen_ridge_fixed",2,3101,61300,667300,667502
"sparse_homogeneous",3,"block_eigen_ridge_fixed",3,3101,61300,667300,667603
"sparse_homogeneous",3,"block_eigen_ridge_fixed",4,3101,61300,667300,667704
"sparse_homogeneous",3,"block_eigen_unfiltered",1,3101,61300,665300,665401
"sparse_homogeneous",3,"block_eigen_unfiltered",2,3101,61300,665300,665502
"sparse_homogeneous",3,"block_eigen_unfiltered",3,3101,61300,665300,665603
"sparse_homogeneous",3,"block_eigen_unfiltered",4,3101,61300,665300,665704
"sparse_homogeneous",3,"full_csr",1,3101,61300,663300,663401
"sparse_homogeneous",3,"full_csr",2,3101,61300,663300,663502
"sparse_homogeneous",3,"full_csr",3,3101,61300,663300,663603
"sparse_homogeneous",3,"full_csr",4,3101,61300,663300,663704
"sparse_homogeneous",4,"bed",1,3101,61400,662400,662501
"sparse_homogeneous",4,"bed",2,3101,61400,662400,662602
"sparse_homogeneous",4,"bed",3,3101,61400,662400,662703
