"file","size_bytes","md5"
"benchmark_manifest.json",1462,"e692a1b29b3b2e0aa8aeae9b04983ad3"
"candidate_settings.csv",15588,"5198d271baf370422d64ce6dd6547003"
"config.R",4123,"f4462561700decee02a784bc616a87de"
"contract_smoke_test.R",743,"438373b33a38fd4b807e7b4797eb27ee"
"convergence_diagnostics.csv",188791,"753ecf008ceab30f409ed2ee5cea8d9d"
"deterministic_identity_summary.csv",1915,"c6984d8dccc76b8cfaf354158b303faa"
"deterministic_validation_manifest.json",525,"6fa0502c8b3422016591ec9948c300f5"
"example_data_manifest.csv",1587,"fb5be7c21b86eec5bba53f876fe66afb"
"fit_status.csv",670,"ab3619ba906138121ee81c0740c309a9"
"historical_runtime_context.csv",1522,"31dc146a9f977c08361e8417a2d9abd6"
"historical_v1_inventory.md",1546,"07b5e378217bccccee3d80da2a335ce0"
"low_rank_block_diagnostics.csv",23092,"dc6ead22361a37ff9f30d9be19b62971"
"method_recommendations.csv",1945,"82aaebc79e3416b588b68eb8ad3a7e9a"
"one_replicate_operator_pilot.csv",7848,"68cfb28b7d341501b1834b908d7bbbdb"
"optimized_hash_inventory.csv",1970,"54eec013f8320c24facdd80996daf58f"
"pilot_gate.csv",388,"a700bb7c820ea0a117495d5cd392d632"
"pilot_paired_comparisons.csv",1991,"cc11176459dc23730c0b822a0c0d01a5"
"pilot_runtime_comparison.csv",590,"9aa94fb67e547872132c7879bfe446c4"
"projected_complete_grid_runtime.csv",732,"3e660a93ab1a883d58f09b802af59287"
"README.md",276,"89ba89dcbde3ca9d4f2d1d677b86ce75"
"reproduce.R",8513,"59ca72a6ac94d433616811052195192d"
"session_info.txt",922,"9f3ccb679b8055eb10458dc15f467728"
"source_files.csv",1390,"6a55150a53a1e85d11a0166c0488970a"
"v1_to_v2_design_crosswalk.csv",1028,"ad66b3ca3a48b57ca336306642763b80"
