"architecture","replicate","configuration","status","chain_count","elapsed_seconds","warnings","error_message"
"sparse_homogeneous",1,"block_csr","ok",4,34.97,"",""
"sparse_homogeneous",1,"full_csr","ok",4,34.73,"",""
"sparse_homogeneous",1,"low_rank_0995","ok",4,292.9,"",""
"sparse_homogeneous",1,"low_rank_0999","ok",4,294.6,"",""
"sparse_homogeneous",1,"low_rank_full","ok",4,300.16,"",""
"sparse_mixture",1,"block_csr","ok",4,111.03,"",""
"sparse_mixture",1,"full_csr","ok",4,106.69,"",""
"sparse_mixture",1,"low_rank_0995","ok",4,345.14,"",""
"sparse_mixture",1,"low_rank_0999","ok",4,353.75,"",""
"sparse_mixture",1,"low_rank_full","ok",4,351.36,"",""
